income,income_budget_year,income_future_year,etr_pre_budget_2026,etr_budget_year,etr_future_year,diff,diff_doll
1000,1050.625,1344.8888242463,0,0,0,0,0
1500,1575.9375,2017.33323636945,0,0,0,0,0
2000,2101.25,2689.77764849259,0,0,0,0,0
2500,2626.5625,3362.22206061574,0,0,0,0,0
3000,3151.875,4034.66647273889,0,0,0,0,0
3500,3677.1875,4707.11088486204,0,0,0,0,0
4000,4202.5,5379.55529698519,0,0,0,0,0
4500,4727.8125,6051.99970910834,0,0,0,0,0
5000,5253.125,6724.44412123149,0,0,0,0,0
5500,5778.4375,7396.88853335463,0,0,0,0,0
6000,6303.75,8069.33294547778,0,0,0,0,0
6500,6829.0625,8741.77735760093,0,0,0,0,0
7000,7354.375,9414.22176972408,0,0,0,0,0
7500,7879.6875,10086.6661818472,0,0,0,0,0
8000,8405,10759.1105939704,0,0,0,0,0
8500,8930.3125,11431.5550060935,0,0,0,0,0
9000,9455.625,12103.9994182167,0,0,0,0,0
9500,9980.9375,12776.4438303398,0,0,0,0,0
10000,10506.25,13448.888242463,0,0,0,0,0
10500,11031.5625,14121.3326545861,0,0,0,0,0
11000,11556.875,14793.7770667093,0,0,0,0,0
11500,12082.1875,15466.2214788324,0,0,0,0,0
12000,12607.5,16138.6658909556,0,0,0,0,0
12500,13132.8125,16811.1103030787,0,0,0,0,0
13000,13658.125,17483.5547152019,0,0,0,0,0
13500,14183.4375,18155.999127325,0,0,0,0,0
14000,14708.75,18828.4435394482,0,0,0,0,0
14500,15234.0625,19500.8879515713,0,0,0,0,0
15000,15759.375,20173.3323636945,0,0,0,0,0
15500,16284.6875,20845.7767758176,0,0,0,0,0
16000,16810,21518.2211879408,0,0,0,0,0
16500,17335.3125,22190.6656000639,0,0,0,0,0
17000,17860.625,22863.1100121871,0,0,0,0,0
17500,18385.9375,23535.5544243102,0,0,0,0,0
18000,18911.25,24207.9988364334,0,0,0,0,0
18500,19436.5625,24880.4432485565,0,0,0,0,0
19000,19961.875,25552.8876606796,0,0,0.00310744811113212,0.00310744811113212,59.0415141115103
19500,20487.1875,26225.3320728028,0,0,0.00661751354418002,0.00661751354418002,129.04151411151
20000,21012.5,26897.7764849259,0,0,0.00995207570557551,0.00995207570557551,199.04151411151
20500,21537.8125,27570.2208970491,0,0,0.0131239762981225,0.0131239762981225,269.04151411151
21000,22063.125,28242.6653091722,0,0,0.01614483400531,0.01614483400531,339.041514111511
21500,22588.4375,28915.1097212954,0,0,0.019025186702861,0.019025186702861,409.04151411151
22000,23113.75,29587.5541334185,0,0,0.0217746142777959,0.0217746142777959,479.041514111511
22500,23639.0625,30259.9985455417,0,0,0.0244018450716227,0.0244018450716227,549.04151411151
23000,24164.375,30932.4429576648,0.00295652173913044,0,0.0269148484396309,0.0269148484396309,619.04151411151
23500,24689.6875,31604.887369788,0.00629787234042553,0,0.0293209154941068,0.0293209154941068,689.04151411151
24000,25215,32277.3317819111,0.0095,0.00127305175490778,0.0316267297546463,0.0303536779997385,728.488271993724
24500,25740.3125,32949.7761940343,0.0125714285714286,0.00410421396399129,0.0338384291474086,0.0297342151834173,728.488271993724
25000,26265.625,33622.2206061574,0.01552,0.00682212968471147,0.0359616605644604,0.0291395308797489,728.488271993724
