"nominal_return","annual_real_return","treatment","final_wealth"
0,-0.0243902439024389,"No capital gains tax",1e+06
0,-0.0243902439024389,"50% discount",1e+06
0,-0.0243902439024389,"Inflation indexation",1e+06
0,-0.0243902439024389,"Full nominal gain taxed",1e+06
0.001,-0.0234146341463415,"No capital gains tax",1010045.12021025
0.001,-0.0234146341463415,"50% discount",1010045.12021025
0.001,-0.0234146341463415,"Inflation indexation",1010045.12021025
0.001,-0.0234146341463415,"Full nominal gain taxed",1010045.12021025
0.002,-0.0224390243902438,"No capital gains tax",1020180.96336808
0.002,-0.0224390243902438,"50% discount",1020180.96336808
0.002,-0.0224390243902438,"Inflation indexation",1020180.96336808
0.002,-0.0224390243902438,"Full nominal gain taxed",1019864.00922919
0.003,-0.0214634146341464,"No capital gains tax",1030408.25707139
0.003,-0.0214634146341464,"50% discount",1030408.25707139
0.003,-0.0214634146341464,"Inflation indexation",1030408.25707139
0.003,-0.0214634146341464,"Full nominal gain taxed",1028454.93593997
0.004,-0.0204878048780487,"No capital gains tax",1040727.73401891
0.004,-0.0204878048780487,"50% discount",1040381.5152974
0.004,-0.0204878048780487,"Inflation indexation",1040727.73401891
0.004,-0.0204878048780487,"Full nominal gain taxed",1037123.29657588
0.005,-0.0195121951219512,"No capital gains tax",1051140.13204079
0.005,-0.0195121951219512,"50% discount",1049960.92147753
0.005,-0.0195121951219512,"Inflation indexation",1051140.13204079
0.005,-0.0195121951219512,"Full nominal gain taxed",1045010.09242855
0.006,-0.0185365853658536,"No capital gains tax",1061646.19412938
0.006,-0.0185365853658536,"50% discount",1059626.49859903
0.006,-0.0185365853658536,"Inflation indexation",1061646.19412938
0.006,-0.0185365853658536,"Full nominal gain taxed",1052364.33589057
0.007,-0.0175609756097561,"No capital gains tax",1072246.66847017
0.007,-0.0175609756097561,"50% discount",1069378.93499255
0.007,-0.0175609756097561,"Inflation indexation",1072246.66847017
0.007,-0.0175609756097561,"Full nominal gain taxed",1059784.66792912
0.008,-0.0165853658536584,"No capital gains tax",1082942.30847284
0.008,-0.0165853658536584,"50% discount",1079218.92379501
0.008,-0.0165853658536584,"Inflation indexation",1082942.30847284
0.008,-0.0165853658536584,"Full nominal gain taxed",1067271.61593099
0.009,-0.015609756097561,"No capital gains tax",1093733.87280253
0.009,-0.015609756097561,"50% discount",1088885.79188215
0.009,-0.015609756097561,"Inflation indexation",1093733.87280253
0.009,-0.015609756097561,"Full nominal gain taxed",1074825.71096177
0.01,-0.0146341463414633,"No capital gains tax",1104622.1254112
0.01,-0.0146341463414633,"50% discount",1098140.80659952
0.01,-0.0146341463414633,"Inflation indexation",1104622.1254112
0.01,-0.0146341463414633,"Full nominal gain taxed",1082447.48778784
0.011,-0.0136585365853659,"No capital gains tax",1115607.83556923
0.011,-0.0136585365853659,"50% discount",1107478.66023384
0.011,-0.0136585365853659,"Inflation indexation",1115607.83556923
0.011,-0.0136585365853659,"Full nominal gain taxed",1090137.48489846
0.012,-0.0126829268292682,"No capital gains tax",1126691.77789704
0.012,-0.0126829268292682,"50% discount",1116900.01121248
0.012,-0.0126829268292682,"Inflation indexation",1126691.77789704
0.012,-0.0126829268292682,"Full nominal gain taxed",1097896.24452793
0.013,-0.0117073170731707,"No capital gains tax",1137874.73239703
0.013,-0.0117073170731707,"50% discount",1126405.52253748
0.013,-0.0117073170731707,"Inflation indexation",1137874.73239703
0.013,-0.0117073170731707,"Full nominal gain taxed",1105523.08141013
0.014,-0.0107317073170731,"No capital gains tax",1149157.48448557
0.014,-0.0107317073170731,"50% discount",1135995.86181273
0.014,-0.0107317073170731,"Inflation indexation",1149157.48448557
0.014,-0.0107317073170731,"Full nominal gain taxed",1112631.21522591
0.015,-0.00975609756097562,"No capital gains tax",1160540.82502515
0.015,-0.00975609756097562,"50% discount",1145671.70127138
0.015,-0.00975609756097562,"Inflation indexation",1160540.82502515
0.015,-0.00975609756097562,"Full nominal gain taxed",1119802.71976584
0.016,-0.00878048780487795,"No capital gains tax",1172025.55035677
0.016,-0.00878048780487795,"50% discount",1155433.71780326
0.016,-0.00878048780487795,"Inflation indexation",1172025.55035677
0.016,-0.00878048780487795,"Full nominal gain taxed",1127038.09672477
0.017,-0.00780487804878049,"No capital gains tax",1183612.46233241
0.017,-0.00780487804878049,"50% discount",1165282.59298255
0.017,-0.00780487804878049,"Inflation indexation",1183612.46233241
0.017,-0.00780487804878049,"Full nominal gain taxed",1134337.85126942
0.018,-0.00682926829268282,"No capital gains tax",1195302.36834767
0.018,-0.00682926829268282,"50% discount",1175219.01309552
0.018,-0.00682926829268282,"Inflation indexation",1195302.36834767
0.018,-0.00682926829268282,"Full nominal gain taxed",1141278.30259122
0.019,-0.00585365853658537,"No capital gains tax",1207096.08137461
0.019,-0.00585365853658537,"50% discount",1185243.66916842
0.019,-0.00585365853658537,"Inflation indexation",1207096.08137461
0.019,-0.00585365853658537,"Full nominal gain taxed",1147764.84475604
0.02,-0.0048780487804877,"No capital gains tax",1218994.41999476
0.02,-0.0048780487804877,"50% discount",1195357.25699554
0.02,-0.0048780487804877,"Inflation indexation",1218994.41999476
0.02,-0.0048780487804877,"Full nominal gain taxed",1154308.93099712
0.021,-0.00390243902439025,"No capital gains tax",1230998.20843218
0.021,-0.00390243902439025,"50% discount",1205560.47716735
0.021,-0.00390243902439025,"Inflation indexation",1230998.20843218
0.021,-0.00390243902439025,"Full nominal gain taxed",1160911.0146377
0.022,-0.00292682926829257,"No capital gains tax",1243108.27658685
0.022,-0.00292682926829257,"50% discount",1215854.03509882
0.022,-0.00292682926829257,"Inflation indexation",1243108.27658685
0.022,-0.00292682926829257,"Full nominal gain taxed",1167571.55212277
0.023,-0.00195121951219512,"No capital gains tax",1255325.46006809
0.023,-0.00195121951219512,"50% discount",1226238.64105788
0.023,-0.00195121951219512,"Inflation indexation",1255325.46006809
0.023,-0.00195121951219512,"Full nominal gain taxed",1174291.00303745
0.024,-0.000975609756097451,"No capital gains tax",1267650.60022823
0.024,-0.000975609756097451,"50% discount",1236715.010194
0.024,-0.000975609756097451,"Inflation indexation",1267650.60022823
0.024,-0.000975609756097451,"Full nominal gain taxed",1181069.83012553
0.025,0,"No capital gains tax",1280084.54419636
0.025,0,"50% discount",1246930.90352003
0.025,0,"Inflation indexation",1280084.54419636
0.025,0,"Full nominal gain taxed",1187908.499308
0.026,0.000975609756097562,"No capital gains tax",1292628.14491233
0.026,0.000975609756097562,"50% discount",1257153.93810355
0.026,0.000975609756097562,"Inflation indexation",1292628.14491233
0.026,0.000975609756097562,"Full nominal gain taxed",1194807.47970178
0.027,0.00195121951219512,"No capital gains tax",1305282.26116089
0.027,0.00195121951219512,"50% discount",1267467.04284613
0.027,0.00195121951219512,"Inflation indexation",1304162.62644657
0.027,0.00195121951219512,"Full nominal gain taxed",1201767.24363849
0.028,0.00292682926829269,"No capital gains tax",1318047.75760596
0.028,0.00292682926829269,"50% discount",1277870.92244886
0.028,0.00292682926829269,"Inflation indexation",1314885.64346042
0.028,0.00292682926829269,"Full nominal gain taxed",1208788.26668328
0.029,0.00390243902439025,"No capital gains tax",1330925.50482509
0.029,0.00390243902439025,"50% discount",1288366.28643245
0.029,0.00390243902439025,"Inflation indexation",1324885.21663647
0.029,0.00390243902439025,"Full nominal gain taxed",1215871.0276538
0.03,0.00487804878048781,"No capital gains tax",1343916.37934412
0.03,0.00487804878048781,"50% discount",1298953.84916546
0.03,0.00487804878048781,"Inflation indexation",1333978.82879979
0.03,0.00487804878048781,"Full nominal gain taxed",1223016.00863927
0.031,0.00585365853658537,"No capital gains tax",1357021.26367198
0.031,0.00585365853658537,"50% discount",1309634.32989267
0.031,0.00585365853658537,"Inflation indexation",1343152.24782929
0.031,0.00585365853658537,"Full nominal gain taxed",1230223.69501959
0.032,0.00682926829268293,"No capital gains tax",1370241.04633565
0.032,0.00682926829268293,"50% discount",1320408.45276355
0.032,0.00682926829268293,"Inflation indexation",1352406.09569386
0.032,0.00682926829268293,"Full nominal gain taxed",1237494.57548461
0.033,0.00780487804878049,"No capital gains tax",1383576.62191528
0.033,0.00780487804878049,"50% discount",1331133.88198434
0.033,0.00780487804878049,"Inflation indexation",1361740.9985996
0.033,0.00780487804878049,"Full nominal gain taxed",1244829.1420534
0.034,0.00878048780487806,"No capital gains tax",1397028.89107955
