"nominal_return","annual_real_return","treatment","tax_paid"
0,-0.0243902439024389,"50% discount",0
0,-0.0243902439024389,"Inflation indexation",0
0,-0.0243902439024389,"Full nominal gain taxed",0
0.001,-0.0234146341463415,"50% discount",1506.76803153768
0.001,-0.0234146341463415,"Inflation indexation",0
0.001,-0.0234146341463415,"Full nominal gain taxed",3013.53606307536
0.002,-0.0224390243902438,"50% discount",3027.14450521161
0.002,-0.0224390243902438,"Inflation indexation",0
0.002,-0.0224390243902438,"Full nominal gain taxed",6054.28901042322
0.003,-0.0214634146341464,"50% discount",4561.23856070823
0.003,-0.0214634146341464,"Inflation indexation",0
0.003,-0.0214634146341464,"Full nominal gain taxed",9122.47712141646
0.004,-0.0204878048780487,"50% discount",6109.16010283651
0.004,-0.0204878048780487,"Inflation indexation",0
0.004,-0.0204878048780487,"Full nominal gain taxed",12218.320205673
0.005,-0.0195121951219512,"50% discount",7671.01980611844
0.005,-0.0195121951219512,"Inflation indexation",0
0.005,-0.0195121951219512,"Full nominal gain taxed",15342.0396122369
0.006,-0.0185365853658536,"50% discount",9246.92911940755
0.006,-0.0185365853658536,"Inflation indexation",0
0.006,-0.0185365853658536,"Full nominal gain taxed",18493.8582388151
0.007,-0.0175609756097561,"50% discount",10837.0002705252
0.007,-0.0175609756097561,"Inflation indexation",0
0.007,-0.0175609756097561,"Full nominal gain taxed",21674.0005410505
0.008,-0.0165853658536584,"50% discount",12441.3462709258
0.008,-0.0165853658536584,"Inflation indexation",0
0.008,-0.0165853658536584,"Full nominal gain taxed",24882.6925418516
0.009,-0.015609756097561,"50% discount",14060.0809203788
0.009,-0.015609756097561,"Inflation indexation",0
0.009,-0.015609756097561,"Full nominal gain taxed",28120.1618407577
0.01,-0.0146341463414633,"50% discount",15693.3188116807
0.01,-0.0146341463414633,"Inflation indexation",0
0.01,-0.0146341463414633,"Full nominal gain taxed",31386.6376233614
0.011,-0.0136585365853659,"50% discount",17341.175335384
0.011,-0.0136585365853659,"Inflation indexation",0
0.011,-0.0136585365853659,"Full nominal gain taxed",34682.350670768
0.012,-0.0126829268292682,"50% discount",19003.766684556
0.012,-0.0126829268292682,"Inflation indexation",0
0.012,-0.0126829268292682,"Full nominal gain taxed",38007.533369112
0.013,-0.0117073170731707,"50% discount",20681.2098595547
0.013,-0.0117073170731707,"Inflation indexation",0
0.013,-0.0117073170731707,"Full nominal gain taxed",41362.4197191094
0.014,-0.0107317073170731,"50% discount",22373.6226728351
0.014,-0.0107317073170731,"Inflation indexation",0
0.014,-0.0107317073170731,"Full nominal gain taxed",44747.2453456701
0.015,-0.00975609756097562,"50% discount",24081.1237537723
0.015,-0.00975609756097562,"Inflation indexation",0
0.015,-0.00975609756097562,"Full nominal gain taxed",48162.2475075447
0.016,-0.00878048780487795,"50% discount",25803.8325535161
