"nominal_return","annual_real_return","treatment","tax_paid"
0,-0.0243902439024389,"50% discount",0
0,-0.0243902439024389,"Inflation indexation",0
0,-0.0243902439024389,"Full nominal gain taxed",0
0.001,-0.0234146341463415,"50% discount",0
0.001,-0.0234146341463415,"Inflation indexation",0
0.001,-0.0234146341463415,"Full nominal gain taxed",0
0.002,-0.0224390243902438,"50% discount",0
0.002,-0.0224390243902438,"Inflation indexation",0
0.002,-0.0224390243902438,"Full nominal gain taxed",316.954138892386
0.003,-0.0214634146341464,"50% discount",0
0.003,-0.0214634146341464,"Inflation indexation",0
0.003,-0.0214634146341464,"Full nominal gain taxed",1953.32113142211
0.004,-0.0204878048780487,"50% discount",346.218721512808
0.004,-0.0204878048780487,"Inflation indexation",0
0.004,-0.0204878048780487,"Full nominal gain taxed",3604.43744302562
0.005,-0.0195121951219512,"50% discount",1179.21056326317
0.005,-0.0195121951219512,"Inflation indexation",0
0.005,-0.0195121951219512,"Full nominal gain taxed",6130.03961223687
0.006,-0.0185365853658536,"50% discount",2019.69553035069
0.006,-0.0185365853658536,"Inflation indexation",0
0.006,-0.0185365853658536,"Full nominal gain taxed",9281.8582388151
0.007,-0.0175609756097561,"50% discount",2867.73347761346
0.007,-0.0175609756097561,"Inflation indexation",0
0.007,-0.0175609756097561,"Full nominal gain taxed",12462.0005410505
0.008,-0.0165853658536584,"50% discount",3723.3846778271
0.008,-0.0165853658536584,"Inflation indexation",0
0.008,-0.0165853658536584,"Full nominal gain taxed",15670.6925418516
0.009,-0.015609756097561,"50% discount",4848.08092037883
0.009,-0.015609756097561,"Inflation indexation",0
0.009,-0.015609756097561,"Full nominal gain taxed",18908.1618407577
0.01,-0.0146341463414633,"50% discount",6481.31881168068
0.01,-0.0146341463414633,"Inflation indexation",0
0.01,-0.0146341463414633,"Full nominal gain taxed",22174.6376233614
0.011,-0.0136585365853659,"50% discount",8129.175335384
0.011,-0.0136585365853659,"Inflation indexation",0
0.011,-0.0136585365853659,"Full nominal gain taxed",25470.350670768
0.012,-0.0126829268292682,"50% discount",9791.76668455598
0.012,-0.0126829268292682,"Inflation indexation",0
0.012,-0.0126829268292682,"Full nominal gain taxed",28795.533369112
0.013,-0.0117073170731707,"50% discount",11469.2098595547
0.013,-0.0117073170731707,"Inflation indexation",0
0.013,-0.0117073170731707,"Full nominal gain taxed",32351.6509869017
0.014,-0.0107317073170731,"50% discount",13161.6226728351
0.014,-0.0107317073170731,"Inflation indexation",0
0.014,-0.0107317073170731,"Full nominal gain taxed",36526.2692596598
0.015,-0.00975609756097562,"50% discount",14869.1237537723
0.015,-0.00975609756097562,"Inflation indexation",0
0.015,-0.00975609756097562,"Full nominal gain taxed",40738.1052593051
0.016,-0.00878048780487795,"50% discount",16591.8325535161
0.016,-0.00878048780487795,"Inflation indexation",0
