"years_to_exit","scenario","final_after_tax_wealth","pv_tax","tax_paid_nominal","pre_tax_exit_value"
1,"Tax paid each year",70000,30000,30000,1e+05
1,"Deferred tax at exit",70000,28554.4318857823,30000,1e+05
1,"Deferred tax at exit: 50% discount",85000,14277.2159428911,15000,1e+05
2,"Tax paid each year",144230.625,60280.1903628792,61813.125,207562.5
2,"Deferred tax at exit",145293.75,56412.4142133747,62268.75,207562.5
2,"Deferred tax at exit: 50% discount",176428.125,28206.2071066874,31134.375,207562.5
3,"Tax paid each year",222885.547773437,90819.1095071381,95522.3776171875,323132.8515625
3,"Deferred tax at exit",226192.99609375,83590.9335573674,96939.85546875,323132.8515625
3,"Deferred tax at exit: 50% discount",274662.923828125,41795.4667786837,48469.927734375,323132.8515625
4,"Tax paid each year",306166.398122659,121596.030757421,131214.170623997,447180.514672851
4,"Deferred tax at exit",313026.360270996,110106.562185653,134154.154401855,447180.514672851
4,"Deferred tax at exit: 50% discount",380103.437471924,55053.2810928264,67077.0772009277,447180.514672851
5,"Tax paid each year",394283.07219988,152590.941363278,168978.459514234,580200.317290664
5,"Deferred tax at exit",406140.222103465,135975.468164468,174060.095187199,580200.317290664
5,"Deferred tax at exit: 50% discount",493170.269697065,67987.734082234,87030.0475935997,580200.317290664
6,"Tax paid each year",487454.053473307,183784.522073858,208908.880059989,722713.779642567
6,"Deferred tax at exit",505899.645749797,161213.425216971,216814.13389277,722713.779642567
6,"Deferred tax at exit: 50% discount",614306.712696182,80606.7126084853,108407.066946385,722713.779642567
7,"Tax paid each year",585906.74576817,215158.127254315,251102.891043501,875270.506558261
7,"Deferred tax at exit",612689.354590783,185835.822341363,262581.151967478,875270.506558261
7,"Deferred tax at exit: 50% discount",743979.930574522,92917.9111706817,131290.575983739,875270.506558261
8,"Tax paid each year",689877.818828104,246693.765530113,295661.922354902,1038449.65131959
8,"Deferred tax at exit",726914.755923716,209857.673194429,311534.895395878,1038449.65131959
8,"Deferred tax at exit: 50% discount",882682.203621655,104928.836597215,155767.447697939,1038449.65131959
9,"Tax paid each year",799613.566858519,278374.080945707,342691.528653651,1212861.45466864
9,"Deferred tax at exit",849003.018268048,233293.625246201,363858.436400592,1212861.45466864
9,"Deferred tax at exit: 50% discount",1030932.23646834,116646.812623101,181929.218200296,1212861.45466864
10,"Tax paid each year",915370.280530405,310182.334624464,392301.548798745,1399148.86280601
10,"Deferred tax at exit",979404.203964204,256157.968711344,419744.658841802,1399148.86280601
10,"Deferred tax at exit: 50% discount",1189276.53338511,128078.984355672,209872.329420901,1399148.86280601
11,"Tax paid each year",1037414.63294045,342102.38691698,444606.271260191,1597989.2284052
11,"Deferred tax at exit",1118592.45988364,278464.645262704,479396.768521559,1597989.2284052
11,"Deferred tax at exit: 50% discount",1358290.84414442,139232.322631352,239698.384260779,1597989.2284052
12,"Tax paid each year",1166024.08004136,374118.680025298,499724.605732012,1810096.09887334
12,"Deferred tax at exit",1267067.26921133,300227.256532322,543028.829662001,1810096.09887334
12,"Deferred tax at exit: 50% discount",1538581.68404234,150113.628266161,271514.414831,1810096.09887334
13,"Tax paid each year",1301487.27607507,406216.221090828,557780.261175029,2036221.09630343
13,"Deferred tax at exit",1425354.7674124,321459.072405121,610866.328891028,2036221.09630343
13,"Deferred tax at exit: 50% discount",1730787.93185791,160729.536202561,305433.164445514,2036221.09630343
14,"Tax paid each year",1444104.50456065,438380.565734087,618901.930525993,2277155.89378903
14,"Deferred tax at exit",1594009.12565232,342173.039110291,683146.76813671,2277155.89378903
14,"Deferred tax at exit: 50% discount",1935582.50972068,171086.519555145,341573.384068355,2277155.89378903
15,"Tax paid each year",1594188.12540918,470597.802034665,683223.48231822,2533734.29300948
15,"Deferred tax at exit",1773614.00510664,362381.787115334,760120.287902844,2533734.29300948
15,"Deferred tax at exit: 50% discount",2153674.14905806,181190.893557667,380060.143951422,2533734.29300948
16,"Tax paid each year",1752063.03875824,502854.534940126,750884.159467816,2806834.4082429
16,"Deferred tax at exit",1964784.08577003,382097.638827572,842050.322472869,2806834.4082429
16,"Deferred tax at exit: 50% discount",2385809.24700646,191048.819413786,421025.161236434,2806834.4082429
17,"Tax paid each year",1918067.16614047,535137.871092823,822028.785488773,3097380.96222625
17,"Deferred tax at exit",2168166.67355837,401332.616107803,929214.288667874,3097380.96222625
17,"Deferred tax at exit: 50% discount",2632773.81789231,200666.308053902,464607.144333937,3097380.96222625
18,"Tax paid each year",2092551.94962297,567435.404063897,896807.978409844,3406347.69955666
18,"Deferred tax at exit",2384443.38968966,420098.447600712,1021904.309867,3406347.69955666
18,"Deferred tax at exit: 50% discount",2895395.54462316,210049.223800356,510952.154933499,3406347.69955666
19,"Tax paid each year",2275882.86957719,599735.199983984,975378.372675938,3734759.92361736
19,"Deferred tax at exit",2614331.94653216,438406.575886477,1120427.97708521,3734759.92361736
19,"Deferred tax at exit: 50% discount",3174545.93507476,219203.287943239,560213.988542605,3734759.92361736
20,"Tax paid each year",2468439.98176327,632025.783560438,1057902.84932712,4083697.16331541
20,"Deferred tax at exit",2858588.01432079,456268.164457955,1225109.14899462,4083697.16331541
20,"Deferred tax at exit: 50% discount",3471142.5888181,228134.082228978,612554.574497311,4083697.16331541
