"nominal_return","annual_real_return","allowance","tax_paid"
0,-0.0243902439024389,"50% discount",0
0,-0.0243902439024389,"CPI indexation",0
0,-0.0243902439024389,"CPI plus normal return allowance",0
0.001,-0.0234146341463415,"50% discount",0
0.001,-0.0234146341463415,"CPI indexation",0
0.001,-0.0234146341463415,"CPI plus normal return allowance",0
0.002,-0.0224390243902438,"50% discount",0
0.002,-0.0224390243902438,"CPI indexation",0
0.002,-0.0224390243902438,"CPI plus normal return allowance",0
0.003,-0.0214634146341464,"50% discount",0
0.003,-0.0214634146341464,"CPI indexation",0
0.003,-0.0214634146341464,"CPI plus normal return allowance",0
0.004,-0.0204878048780487,"50% discount",346.218721512808
0.004,-0.0204878048780487,"CPI indexation",0
0.004,-0.0204878048780487,"CPI plus normal return allowance",0
0.005,-0.0195121951219512,"50% discount",1179.21056326317
0.005,-0.0195121951219512,"CPI indexation",0
0.005,-0.0195121951219512,"CPI plus normal return allowance",0
0.006,-0.0185365853658536,"50% discount",2019.69553035069
0.006,-0.0185365853658536,"CPI indexation",0
0.006,-0.0185365853658536,"CPI plus normal return allowance",0
0.007,-0.0175609756097561,"50% discount",2867.73347761346
0.007,-0.0175609756097561,"CPI indexation",0
0.007,-0.0175609756097561,"CPI plus normal return allowance",0
0.008,-0.0165853658536584,"50% discount",3723.3846778271
0.008,-0.0165853658536584,"CPI indexation",0
0.008,-0.0165853658536584,"CPI plus normal return allowance",0
0.009,-0.015609756097561,"50% discount",4848.08092037883
0.009,-0.015609756097561,"CPI indexation",0
0.009,-0.015609756097561,"CPI plus normal return allowance",0
0.01,-0.0146341463414633,"50% discount",6481.31881168068
0.01,-0.0146341463414633,"CPI indexation",0
0.01,-0.0146341463414633,"CPI plus normal return allowance",0
0.011,-0.0136585365853659,"50% discount",8129.175335384
0.011,-0.0136585365853659,"CPI indexation",0
0.011,-0.0136585365853659,"CPI plus normal return allowance",0
0.012,-0.0126829268292682,"50% discount",9791.76668455598
0.012,-0.0126829268292682,"CPI indexation",0
0.012,-0.0126829268292682,"CPI plus normal return allowance",0
0.013,-0.0117073170731707,"50% discount",11469.2098595547
0.013,-0.0117073170731707,"CPI indexation",0
0.013,-0.0117073170731707,"CPI plus normal return allowance",0
0.014,-0.0107317073170731,"50% discount",13161.6226728351
0.014,-0.0107317073170731,"CPI indexation",0
0.014,-0.0107317073170731,"CPI plus normal return allowance",0
0.015,-0.00975609756097562,"50% discount",14869.1237537723
0.015,-0.00975609756097562,"CPI indexation",0
0.015,-0.00975609756097562,"CPI plus normal return allowance",0
0.016,-0.00878048780487795,"50% discount",16591.8325535161
0.016,-0.00878048780487795,"CPI indexation",0
0.016,-0.00878048780487795,"CPI plus normal return allowance",0
0.017,-0.00780487804878049,"50% discount",18329.8693498612
0.017,-0.00780487804878049,"CPI indexation",0
0.017,-0.00780487804878049,"CPI plus normal return allowance",0
0.018,-0.00682926829268282,"50% discount",20083.3552521501
0.018,-0.00682926829268282,"CPI indexation",0
0.018,-0.00682926829268282,"CPI plus normal return allowance",0
0.019,-0.00585365853658537,"50% discount",21852.4122061921
0.019,-0.00585365853658537,"CPI indexation",0
0.019,-0.00585365853658537,"CPI plus normal return allowance",0
0.02,-0.0048780487804877,"50% discount",23637.1629992136
0.02,-0.0048780487804877,"CPI indexation",0
0.02,-0.0048780487804877,"CPI plus normal return allowance",0
0.021,-0.00390243902439025,"50% discount",25437.7312648265
0.021,-0.00390243902439025,"CPI indexation",0
0.021,-0.00390243902439025,"CPI plus normal return allowance",0
0.022,-0.00292682926829257,"50% discount",27254.2414880273
0.022,-0.00292682926829257,"CPI indexation",0
0.022,-0.00292682926829257,"CPI plus normal return allowance",0
0.023,-0.00195121951219512,"50% discount",29086.8190102139
0.023,-0.00195121951219512,"CPI indexation",0
0.023,-0.00195121951219512,"CPI plus normal return allowance",0
0.024,-0.000975609756097451,"50% discount",30935.5900342345
0.024,-0.000975609756097451,"CPI indexation",0
0.024,-0.000975609756097451,"CPI plus normal return allowance",0
0.025,0,"50% discount",33153.640676326
0.025,0,"CPI indexation",0
0.025,0,"CPI plus normal return allowance",0
0.026,0.000975609756097562,"50% discount",35474.2068087818
0.026,0.000975609756097562,"CPI indexation",0
0.026,0.000975609756097562,"CPI plus normal return allowance",0
0.027,0.00195121951219512,"50% discount",37815.2183147654
0.027,0.00195121951219512,"CPI indexation",1119.63471432596
0.027,0.00195121951219512,"CPI plus normal return allowance",0
0.028,0.00292682926829269,"50% discount",40176.8351571024
0.028,0.00292682926829269,"CPI indexation",3162.11414553635
0.028,0.00292682926829269,"CPI plus normal return allowance",0
0.029,0.00390243902439025,"50% discount",42559.2183926409
0.029,0.00390243902439025,"CPI indexation",6040.28818861886
0.029,0.00390243902439025,"CPI plus normal return allowance",0
0.03,0.00487804878048781,"50% discount",44962.5301786626
0.03,0.00487804878048781,"CPI indexation",9937.55054432971
0.03,0.00487804878048781,"CPI plus normal return allowance",0
0.031,0.00585365853658537,"50% discount",47386.9337793169
0.031,0.00585365853658537,"CPI indexation",13869.0158426879
0.031,0.00585365853658537,"CPI plus normal return allowance",0
0.032,0.00682926829268293,"50% discount",49832.5935720947
0.032,0.00682926829268293,"CPI indexation",17834.9506417871
0.032,0.00682926829268293,"CPI plus normal return allowance",0
0.033,0.00780487804878049,"50% discount",52442.739930937
0.033,0.00780487804878049,"CPI indexation",21835.6233156757
0.033,0.00780487804878049,"CPI plus normal return allowance",0
0.034,0.00878048780487806,"50% discount",55469.5004928982
0.034,0.00878048780487806,"CPI indexation",25871.3040649573
0.034,0.00878048780487806,"CPI plus normal return allowance",0
0.035,0.00975609756097562,"50% discount",58522.7211397522
0.035,0.00975609756097562,"CPI indexation",29942.2649274293
0.035,0.00975609756097562,"CPI plus normal return allowance",0
0.036,0.0107317073170732,"50% discount",61602.6072857702
0.036,0.0107317073170732,"CPI indexation",34692.9617395035
0.036,0.0107317073170732,"CPI plus normal return allowance",0
0.037,0.0117073170731707,"50% discount",64709.3657392025
0.037,0.0117073170731707,"CPI indexation",39801.8534184811
0.037,0.0117073170731707,"CPI plus normal return allowance",0
0.038,0.0126829268292683,"50% discount",67843.2047103851
0.038,0.0126829268292683,"CPI indexation",44955.2775044258
0.038,0.0126829268292683,"CPI plus normal return allowance",0
0.039,0.0136585365853659,"50% discount",71004.3338198735
0.039,0.0136585365853659,"CPI indexation",50153.5787066956
0.039,0.0136585365853659,"CPI plus normal return allowance",0
0.04,0.0146341463414634,"50% discount",74192.9641066275
0.04,0.0146341463414634,"CPI indexation",56209.8833248945
0.04,0.0146341463414634,"CPI plus normal return allowance",0
0.041,0.015609756097561,"50% discount",77409.3080362242
0.041,0.015609756097561,"CPI indexation",62642.571184088
0.041,0.015609756097561,"CPI plus normal return allowance",0
0.042,0.0165853658536586,"50% discount",80653.5795091222
0.042,0.0165853658536586,"CPI indexation",69131.1141298839
0.042,0.0165853658536586,"CPI plus normal return allowance",0
0.043,0.0175609756097561,"50% discount",83925.9938689532
0.043,0.0175609756097561,"CPI indexation",75675.9428495459
0.043,0.0175609756097561,"CPI plus normal return allowance",0
0.044,0.0185365853658537,"50% discount",87226.7679108666
0.044,0.0185365853658537,"CPI indexation",82277.4909333729
0.044,0.0185365853658537,"CPI plus normal return allowance",0
0.045,0.0195121951219512,"50% discount",90556.1198899016
0.045,0.0195121951219512,"CPI indexation",88936.1948914427
0.045,0.0195121951219512,"CPI plus normal return allowance",0
0.046,0.0204878048780488,"50% discount",93914.269529411
0.046,0.0204878048780488,"CPI indexation",95652.4941704615
0.046,0.0204878048780488,"CPI plus normal return allowance",0
0.047,0.0214634146341464,"50% discount",97301.4380295144
0.047,0.0214634146341464,"CPI indexation",102426.831170668
0.047,0.0214634146341464,"CPI plus normal return allowance",0
0.048,0.0224390243902439,"50% discount",100717.848075604
0.048,0.0224390243902439,"CPI indexation",109259.651262847
0.048,0.0224390243902439,"CPI plus normal return allowance",0
0.049,0.0234146341463415,"50% discount",104163.723846877
0.049,0.0234146341463415,"CPI indexation",116151.402805393
0.049,0.0234146341463415,"CPI plus normal return allowance",0
0.05,0.024390243902439,"50% discount",107639.291024924
0.05,0.024390243902439,"CPI indexation",123102.537161488
0.05,0.024390243902439,"CPI plus normal return allowance",0
0.051,0.0253658536585366,"50% discount",111144.776802347
0.051,0.0253658536585366,"CPI indexation",130113.508716335
0.051,0.0253658536585366,"CPI plus normal return allowance",0
0.052,0.0263414634146342,"50% discount",114680.409891424
0.052,0.0263414634146342,"CPI indexation",137184.774894488
0.052,0.0263414634146342,"CPI plus normal return allowance",539.527698549405
0.053,0.0273170731707317,"50% discount",118246.42053281
0.053,0.0273170731707317,"CPI indexation",144316.79617726
0.053,0.0273170731707317,"CPI plus normal return allowance",3075.35748797942
0.054,0.0282926829268293,"50% discount",121843.04050429
0.054,0.0282926829268293,"CPI indexation",151510.036120219
0.054,0.0282926829268293,"CPI plus normal return allowance",6809.78858526764
0.055,0.0292682926829269,"50% discount",125470.503129558
0.055,0.0292682926829269,"CPI indexation",158764.961370756
0.055,0.0292682926829269,"CPI plus normal return allowance",11646.4054189589
0.056,0.0302439024390244,"50% discount",129129.043287057
0.056,0.0302439024390244,"CPI indexation",166082.041685754
0.056,0.0302439024390244,"CPI plus normal return allowance",16524.4589622905
0.057,0.031219512195122,"50% discount",132818.897418839
0.057,0.031219512195122,"CPI indexation",173461.749949317
0.057,0.031219512195122,"CPI plus normal return allowance",21444.2644713331
0.058,0.0321951219512198,"50% discount",136540.303539489
0.058,0.0321951219512198,"CPI indexation",180904.562190617
0.058,0.0321951219512198,"CPI plus normal return allowance",26406.1392988664
0.059,0.0331707317073171,"50% discount",140293.501245073
0.059,0.0331707317073171,"CPI indexation",188410.957601785
0.059,0.0331707317073171,"CPI plus normal return allowance",31438.9635844507
0.06,0.0341463414634149,"50% discount",144078.731722142
0.06,0.0341463414634149,"CPI indexation",195981.418555924
0.06,0.0341463414634149,"CPI plus normal return allowance",37663.5648134097
0.061,0.0351219512195122,"50% discount",147896.237756771
0.061,0.0351219512195122,"CPI indexation",203616.430625181
0.061,0.0351219512195122,"CPI plus normal return allowance",43941.2414036872
0.062,0.03609756097561,"50% discount",151746.263743641
0.062,0.03609756097561,"CPI indexation",211316.482598922
0.062,0.03609756097561,"CPI plus normal return allowance",50272.3952487634
0.063,0.0370731707317074,"50% discount",155629.055695169
0.063,0.0370731707317074,"CPI indexation",219082.066501978
0.063,0.0370731707317074,"CPI plus normal return allowance",57742.7132596607
0.064,0.0380487804878051,"50% discount",159544.861250679
0.064,0.0380487804878051,"CPI indexation",226913.677612997
0.064,0.0380487804878051,"CPI plus normal return allowance",65574.3243706788
0.065,0.0390243902439025,"50% discount",163493.929685606
0.065,0.0390243902439025,"CPI indexation",234811.814482851
0.065,0.0390243902439025,"CPI plus normal return allowance",73472.4612405333
0.066,0.0400000000000003,"50% discount",167476.511920767
0.066,0.0400000000000003,"CPI indexation",242776.978953173
0.066,0.0400000000000003,"CPI plus normal return allowance",81437.625710855
0.067,0.0409756097560976,"50% discount",171492.860531648
0.067,0.0409756097560976,"CPI indexation",250809.676174935
0.067,0.0409756097560976,"CPI plus normal return allowance",89470.322932617
0.068,0.0419512195121954,"50% discount",175543.229757757
0.068,0.0419512195121954,"CPI indexation",258910.414627154
0.068,0.0419512195121954,"CPI plus normal return allowance",97571.0613848364
0.069,0.0429268292682927,"50% discount",179627.875512008
0.069,0.0429268292682927,"CPI indexation",267079.706135655
0.069,0.0429268292682927,"CPI plus normal return allowance",105740.352893337
0.07,0.0439024390243905,"50% discount",183747.055390152
0.07,0.0439024390243905,"CPI indexation",275318.065891944
0.07,0.0439024390243905,"CPI plus normal return allowance",113978.712649627
0.071,0.0448780487804878,"50% discount",187901.028680257
0.071,0.0448780487804878,"CPI indexation",283626.012472154
0.071,0.0448780487804878,"CPI plus normal return allowance",122286.659229836
0.072,0.0458536585365856,"50% discount",192090.056372226
0.072,0.0458536585365856,"CPI indexation",292004.067856092
0.072,0.0458536585365856,"CPI plus normal return allowance",130664.714613774
0.073,0.046829268292683,"50% discount",196314.401167362
0.073,0.046829268292683,"CPI indexation",300452.757446363
0.073,0.046829268292683,"CPI plus normal return allowance",139113.404204045
0.074,0.0478048780487808,"50% discount",200574.32748798
0.074,0.0478048780487808,"CPI indexation",308972.610087599
0.074,0.0478048780487808,"CPI plus normal return allowance",147633.256845281
0.075,0.0487804878048781,"50% discount",204870.10148706
0.075,0.0487804878048781,"CPI indexation",317564.15808576
0.075,0.0487804878048781,"CPI plus normal return allowance",156224.804843442
0.076,0.0497560975609759,"50% discount",209201.991057951
0.076,0.0497560975609759,"CPI indexation",326227.937227541
0.076,0.0497560975609759,"CPI plus normal return allowance",164888.583985223
0.077,0.0507317073170732,"50% discount",213570.265844109
0.077,0.0507317073170732,"CPI indexation",334964.486799857
0.077,0.0507317073170732,"CPI plus normal return allowance",173625.133557539
0.078,0.051707317073171,"50% discount",217975.197248897
0.078,0.051707317073171,"CPI indexation",343774.349609433
0.078,0.051707317073171,"CPI plus normal return allowance",182434.996367116
0.079,0.0526829268292683,"50% discount",222417.058445412
0.079,0.0526829268292683,"CPI indexation",352658.072002464
0.079,0.0526829268292683,"CPI plus normal return allowance",191318.718760146
0.08,0.0536585365853661,"50% discount",226896.124386377
0.08,0.0536585365853661,"CPI indexation",361616.203884394
0.08,0.0536585365853661,"CPI plus normal return allowance",200276.850642076
0.081,0.0546341463414635,"50% discount",231412.671814059
0.081,0.0546341463414635,"CPI indexation",370649.298739758
0.081,0.0546341463414635,"CPI plus normal return allowance",209309.94549744
0.082,0.0556097560975612,"50% discount",235966.979270253
0.082,0.0556097560975612,"CPI indexation",379757.913652145
0.082,0.0556097560975612,"CPI plus normal return allowance",218418.560409827
0.083,0.0565853658536586,"50% discount",240559.327106292
0.083,0.0565853658536586,"CPI indexation",388942.609324223
0.083,0.0565853658536586,"CPI plus normal return allowance",227603.256081905
0.084,0.0575609756097564,"50% discount",245189.997493125
0.084,0.0575609756097564,"CPI indexation",398203.95009789
0.084,0.0575609756097564,"CPI plus normal return allowance",236864.596855573
0.085,0.0585365853658537,"50% discount",249859.274431422
0.085,0.0585365853658537,"CPI indexation",407542.503974484
0.085,0.0585365853658537,"CPI plus normal return allowance",246203.150732167
0.086,0.0595121951219515,"50% discount",254567.443761741
0.086,0.0595121951219515,"CPI indexation",416958.842635121
0.086,0.0595121951219515,"CPI plus normal return allowance",255619.489392803
0.087,0.0604878048780488,"50% discount",259314.793174726
0.087,0.0604878048780488,"CPI indexation",426453.541461092
0.087,0.0604878048780488,"CPI plus normal return allowance",265114.188218774
0.088,0.0614634146341466,"50% discount",264101.612221375
0.088,0.0614634146341466,"CPI indexation",436027.17955439
0.088,0.0614634146341466,"CPI plus normal return allowance",274687.826312072
0.089,0.062439024390244,"50% discount",268928.192323328
0.089,0.062439024390244,"CPI indexation",445680.339758295
0.089,0.062439024390244,"CPI plus normal return allowance",284340.986515977
0.09,0.0634146341463417,"50% discount",273794.826783227
0.09,0.0634146341463417,"CPI indexation",455413.608678093
0.09,0.0634146341463417,"CPI plus normal return allowance",294074.255435775
0.091,0.0643902439024391,"50% discount",278701.810795105
0.091,0.0643902439024391,"CPI indexation",465227.57670185
0.091,0.0643902439024391,"CPI plus normal return allowance",303888.223459532
0.092,0.0653658536585369,"50% discount",283649.441454839
0.092,0.0653658536585369,"CPI indexation",475122.838021318
0.092,0.0653658536585369,"CPI plus normal return allowance",313783.484779
0.093,0.0663414634146342,"50% discount",288638.017770634
0.093,0.0663414634146342,"CPI indexation",485099.990652908
0.093,0.0663414634146342,"CPI plus normal return allowance",323760.63741059
0.094,0.067317073170732,"50% discount",293667.840673573
0.094,0.067317073170732,"CPI indexation",495159.636458785
0.094,0.067317073170732,"CPI plus normal return allowance",333820.283216467
0.095,0.0682926829268293,"50% discount",298739.213028195
0.095,0.0682926829268293,"CPI indexation",505302.38116803
0.095,0.0682926829268293,"CPI plus normal return allowance",343963.027925712
0.096,0.0692682926829271,"50% discount",303852.439643149
0.096,0.0692682926829271,"CPI indexation",515528.834397937
0.096,0.0692682926829271,"CPI plus normal return allowance",354189.481155619
0.097,0.0702439024390245,"50% discount",309007.827281863
0.097,0.0702439024390245,"CPI indexation",525839.609675365
0.097,0.0702439024390245,"CPI plus normal return allowance",364500.256433047
0.098,0.0712195121951222,"50% discount",314205.684673294
0.098,0.0712195121951222,"CPI indexation",536235.324458228
0.098,0.0712195121951222,"CPI plus normal return allowance",374895.97121591
0.099,0.0721951219512196,"50% discount",319446.322522704
0.099,0.0721951219512196,"CPI indexation",546716.600157049
0.099,0.0721951219512196,"CPI plus normal return allowance",385377.246914731
0.1,0.0731707317073174,"50% discount",324730.053522501
0.1,0.0731707317073174,"CPI indexation",557284.06215664
0.1,0.0731707317073174,"CPI plus normal return allowance",395944.708914323
