"annual_real_return","nominal_return","treatment","after_tax_real_gain"
-0.0243902439024389,0,"50% discount; nominal losses recognised",-280084.544196357
-0.0243902439024389,0,"Real gains taxed; nominal losses recognised",-280084.544196357
-0.0243902439024389,0,"Real gains taxed; full loss offset",-196059.18093745
-0.0234146341463415,0.001,"50% discount; nominal losses recognised",-271546.192017643
-0.0234146341463415,0.001,"Real gains taxed; nominal losses recognised",-270039.423986105
-0.0234146341463415,0.001,"Real gains taxed; full loss offset",-189027.596790274
-0.0224390243902438,0.002,"50% discount; nominal losses recognised",-262930.725333491
-0.0224390243902438,0.002,"Real gains taxed; nominal losses recognised",-259903.580828279
-0.0224390243902438,0.002,"Real gains taxed; full loss offset",-181932.506579795
-0.0214634146341464,0.003,"50% discount; nominal losses recognised",-254237.525685677
-0.0214634146341464,0.003,"Real gains taxed; nominal losses recognised",-249676.287124968
-0.0214634146341464,0.003,"Real gains taxed; full loss offset",-174773.400987478
-0.0204878048780487,0.004,"50% discount; nominal losses recognised",-245465.970280283
-0.0204878048780487,0.004,"Real gains taxed; nominal losses recognised",-239356.810177446
-0.0204878048780487,0.004,"Real gains taxed; full loss offset",-167549.767124213
-0.0195121951219512,0.005,"50% discount; nominal losses recognised",-236615.431961685
-0.0195121951219512,0.005,"Real gains taxed; nominal losses recognised",-228944.412155567
-0.0195121951219512,0.005,"Real gains taxed; full loss offset",-160261.088508897
-0.0185365853658536,0.006,"50% discount; nominal losses recognised",-227685.27918638
-0.0185365853658536,0.006,"Real gains taxed; nominal losses recognised",-218438.350066973
-0.0185365853658536,0.006,"Real gains taxed; full loss offset",-152906.845046881
-0.0175609756097561,0.007,"50% discount; nominal losses recognised",-218674.875996714
-0.0175609756097561,0.007,"Real gains taxed; nominal losses recognised",-207837.875726188
-0.0175609756097561,0.007,"Real gains taxed; full loss offset",-145486.513008332
-0.0165853658536584,0.008,"50% discount; nominal losses recognised",-209583.581994444
-0.0165853658536584,0.008,"Real gains taxed; nominal losses recognised",-197142.235723518
-0.0165853658536584,0.008,"Real gains taxed; full loss offset",-137999.565006462
-0.015609756097561,0.009,"50% discount; nominal losses recognised",-200410.75231421
-0.015609756097561,0.009,"Real gains taxed; nominal losses recognised",-186350.671393831
-0.015609756097561,0.009,"Real gains taxed; full loss offset",-130445.469975682
-0.0146341463414633,0.01,"50% discount; nominal losses recognised",-191155.737596833
-0.0146341463414633,0.01,"Real gains taxed; nominal losses recognised",-175462.418785152
-0.0146341463414633,0.01,"Real gains taxed; full loss offset",-122823.693149606
-0.0136585365853659,0.011,"50% discount; nominal losses recognised",-181817.883962514
-0.0136585365853659,0.011,"Real gains taxed; nominal losses recognised",-164476.70862713
-0.0136585365853659,0.011,"Real gains taxed; full loss offset",-115133.696038991
-0.0126829268292682,0.012,"50% discount; nominal losses recognised",-172396.532983873
-0.0126829268292682,0.012,"Real gains taxed; nominal losses recognised",-153392.766299317
-0.0126829268292682,0.012,"Real gains taxed; full loss offset",-107374.936409522
-0.0117073170731707,0.013,"50% discount; nominal losses recognised",-162891.02165888
-0.0117073170731707,0.013,"Real gains taxed; nominal losses recognised",-142209.811799325
-0.0117073170731707,0.013,"Real gains taxed; full loss offset",-99546.8682595275
-0.0107317073170731,0.014,"50% discount; nominal losses recognised",-153300.682383625
-0.0107317073170731,0.014,"Real gains taxed; nominal losses recognised",-130927.059710789
-0.0107317073170731,0.014,"Real gains taxed; full loss offset",-91648.9417975526
-0.00975609756097562,0.015,"50% discount; nominal losses recognised",-143624.84292498
-0.00975609756097562,0.015,"Real gains taxed; nominal losses recognised",-119543.719171208
-0.00975609756097562,0.015,"Real gains taxed; full loss offset",-83680.6034198453
-0.00878048780487795,0.016,"50% discount; nominal losses recognised",-133862.826393099
-0.00878048780487795,0.016,"Real gains taxed; nominal losses recognised",-108058.993839583
-0.00878048780487795,0.016,"Real gains taxed; full loss offset",-75641.2956877079
-0.00780487804878049,0.017,"50% discount; nominal losses recognised",-124013.95121381
-0.00780487804878049,0.017,"Real gains taxed; nominal losses recognised",-96472.0818639486
-0.00780487804878049,0.017,"Real gains taxed; full loss offset",-67530.457304764
-0.00682926829268282,0.018,"50% discount; nominal losses recognised",-114077.531100839
-0.00682926829268282,0.018,"Real gains taxed; nominal losses recognised",-84782.1758486889
-0.00682926829268282,0.018,"Real gains taxed; full loss offset",-59347.5230940822
-0.00585365853658537,0.019,"50% discount; nominal losses recognised",-104052.875027935
-0.00585365853658537,0.019,"Real gains taxed; nominal losses recognised",-72988.4628217425
-0.00585365853658537,0.019,"Real gains taxed; full loss offset",-51091.9239752198
-0.0048780487804877,0.02,"50% discount; nominal losses recognised",-93939.2872008129
-0.0048780487804877,0.02,"Real gains taxed; nominal losses recognised",-61090.1242015993
-0.0048780487804877,0.02,"Real gains taxed; full loss offset",-42763.0869411195
-0.00390243902439025,0.021,"50% discount; nominal losses recognised",-83736.0670290062
-0.00390243902439025,0.021,"Real gains taxed; nominal losses recognised",-49086.3357641797
-0.00390243902439025,0.021,"Real gains taxed; full loss offset",-34360.4350349258
-0.00292682926829257,0.022,"50% discount; nominal losses recognised",-73442.5090975353
-0.00292682926829257,0.022,"Real gains taxed; nominal losses recognised",-36976.267609508
-0.00292682926829257,0.022,"Real gains taxed; full loss offset",-25883.3873266556
-0.00195121951219512,0.023,"50% discount; nominal losses recognised",-63057.9031384778
-0.00195121951219512,0.023,"Real gains taxed; nominal losses recognised",-24759.0841282639
-0.00195121951219512,0.023,"Real gains taxed; full loss offset",-17331.3588897847
