"annual_real_return","nominal_return","treatment","after_tax_real_gain"
-0.0243902439024389,0,"50% discount; nominal losses recognised",-280084.544196357
-0.0243902439024389,0,"Real gains taxed; nominal losses recognised",-280084.544196357
-0.0243902439024389,0,"Real gains taxed; full loss offset",-187908.499307996
-0.0234146341463415,0.001,"50% discount; nominal losses recognised",-270039.423986105
-0.0234146341463415,0.001,"Real gains taxed; nominal losses recognised",-270039.423986105
-0.0234146341463415,0.001,"Real gains taxed; full loss offset",-182383.683192358
-0.0224390243902438,0.002,"50% discount; nominal losses recognised",-259903.580828279
-0.0224390243902438,0.002,"Real gains taxed; nominal losses recognised",-259903.580828279
-0.0224390243902438,0.002,"Real gains taxed; full loss offset",-176808.969455554
-0.0214634146341464,0.003,"50% discount; nominal losses recognised",-249676.287124968
-0.0214634146341464,0.003,"Real gains taxed; nominal losses recognised",-249676.287124968
-0.0214634146341464,0.003,"Real gains taxed; full loss offset",-171183.957918733
-0.0204878048780487,0.004,"50% discount; nominal losses recognised",-239703.028898959
-0.0204878048780487,0.004,"Real gains taxed; nominal losses recognised",-239356.810177446
-0.0204878048780487,0.004,"Real gains taxed; full loss offset",-165508.245597596
-0.0195121951219512,0.005,"50% discount; nominal losses recognised",-230123.62271883
-0.0195121951219512,0.005,"Real gains taxed; nominal losses recognised",-228944.412155567
-0.0195121951219512,0.005,"Real gains taxed; full loss offset",-159781.426685562
-0.0185365853658536,0.006,"50% discount; nominal losses recognised",-220458.045597324
-0.0185365853658536,0.006,"Real gains taxed; nominal losses recognised",-218438.350066973
-0.0185365853658536,0.006,"Real gains taxed; full loss offset",-154003.092536835
-0.0175609756097561,0.007,"50% discount; nominal losses recognised",-210705.609203802
-0.0175609756097561,0.007,"Real gains taxed; nominal losses recognised",-207837.875726188
-0.0175609756097561,0.007,"Real gains taxed; full loss offset",-148172.831649404
-0.0165853658536584,0.008,"50% discount; nominal losses recognised",-200865.620401345
-0.0165853658536584,0.008,"Real gains taxed; nominal losses recognised",-197142.235723518
-0.0165853658536584,0.008,"Real gains taxed; full loss offset",-142290.229647935
-0.015609756097561,0.009,"50% discount; nominal losses recognised",-191198.75231421
-0.015609756097561,0.009,"Real gains taxed; nominal losses recognised",-186350.671393831
-0.015609756097561,0.009,"Real gains taxed; full loss offset",-136062.922978114
-0.0146341463414633,0.01,"50% discount; nominal losses recognised",-181943.737596833
-0.0146341463414633,0.01,"Real gains taxed; nominal losses recognised",-175462.418785152
-0.0146341463414633,0.01,"Real gains taxed; full loss offset",-129203.323834646
-0.0136585365853659,0.011,"50% discount; nominal losses recognised",-172605.883962514
-0.0136585365853659,0.011,"Real gains taxed; nominal losses recognised",-164476.70862713
-0.0136585365853659,0.011,"Real gains taxed; full loss offset",-122282.326435092
-0.0126829268292682,0.012,"50% discount; nominal losses recognised",-163184.532983873
-0.0126829268292682,0.012,"Real gains taxed; nominal losses recognised",-153392.766299317
-0.0126829268292682,0.012,"Real gains taxed; full loss offset",-115299.442768569
-0.0117073170731707,0.013,"50% discount; nominal losses recognised",-153679.02165888
-0.0117073170731707,0.013,"Real gains taxed; nominal losses recognised",-142209.811799325
-0.0117073170731707,0.013,"Real gains taxed; full loss offset",-108254.181433575
-0.0107317073170731,0.014,"50% discount; nominal losses recognised",-144088.682383625
-0.0107317073170731,0.014,"Real gains taxed; nominal losses recognised",-130927.059710789
-0.0107317073170731,0.014,"Real gains taxed; full loss offset",-100860.941797553
-0.00975609756097562,0.015,"50% discount; nominal losses recognised",-134412.84292498
-0.00975609756097562,0.015,"Real gains taxed; nominal losses recognised",-119543.719171208
-0.00975609756097562,0.015,"Real gains taxed; full loss offset",-92892.6034198453
-0.00878048780487795,0.016,"50% discount; nominal losses recognised",-124650.826393099
-0.00878048780487795,0.016,"Real gains taxed; nominal losses recognised",-108058.993839583
-0.00878048780487795,0.016,"Real gains taxed; full loss offset",-84853.2956877079
-0.00780487804878049,0.017,"50% discount; nominal losses recognised",-114801.95121381
-0.00780487804878049,0.017,"Real gains taxed; nominal losses recognised",-96472.0818639486
-0.00780487804878049,0.017,"Real gains taxed; full loss offset",-76742.457304764
-0.00682926829268282,0.018,"50% discount; nominal losses recognised",-104865.531100839
-0.00682926829268282,0.018,"Real gains taxed; nominal losses recognised",-84782.1758486889
-0.00682926829268282,0.018,"Real gains taxed; full loss offset",-68559.5230940823
-0.00585365853658537,0.019,"50% discount; nominal losses recognised",-94840.8750279346
-0.00585365853658537,0.019,"Real gains taxed; nominal losses recognised",-72988.4628217425
-0.00585365853658537,0.019,"Real gains taxed; full loss offset",-60303.9239752198
-0.0048780487804877,0.02,"50% discount; nominal losses recognised",-84727.2872008129
-0.0048780487804877,0.02,"Real gains taxed; nominal losses recognised",-61090.1242015993
-0.0048780487804877,0.02,"Real gains taxed; full loss offset",-51975.0869411195
-0.00390243902439025,0.021,"50% discount; nominal losses recognised",-74524.0670290062
-0.00390243902439025,0.021,"Real gains taxed; nominal losses recognised",-49086.3357641797
-0.00390243902439025,0.021,"Real gains taxed; full loss offset",-43572.4350349258
-0.00292682926829257,0.022,"50% discount; nominal losses recognised",-64230.5090975353
-0.00292682926829257,0.022,"Real gains taxed; nominal losses recognised",-36976.267609508
-0.00292682926829257,0.022,"Real gains taxed; full loss offset",-33972.0647919867
-0.00195121951219512,0.023,"50% discount; nominal losses recognised",-53845.9031384778
-0.00195121951219512,0.023,"Real gains taxed; nominal losses recognised",-24759.0841282639
-0.00195121951219512,0.023,"Real gains taxed; full loss offset",-23709.6306677417
