,variable,share,percentile
1,medicare,0.04,990
2,TAX_OFSTS_TOTL_AMT,0.01,990
3,CG,0.79,990
4,Relevant_D,0.16,990
5,total_fy_amount,0,990
6,medicare,0.05,980
7,TAX_OFSTS_TOTL_AMT,0.01,980
8,CG,0.75,980
9,Relevant_D,0.19,980
10,total_fy_amount,0,980
11,medicare,0.05,970
12,TAX_OFSTS_TOTL_AMT,0.01,970
13,CG,0.64,970
14,Relevant_D,0.3,970
15,total_fy_amount,0,970
16,medicare,0.05,960
17,TAX_OFSTS_TOTL_AMT,0.02,960
18,CG,0.56,960
19,Relevant_D,0.37,960
20,total_fy_amount,0,960
21,medicare,0.06,950
22,TAX_OFSTS_TOTL_AMT,0.02,950
23,CG,0.59,950
24,Relevant_D,0.33,950
25,total_fy_amount,0,950
26,medicare,0.09,940
27,TAX_OFSTS_TOTL_AMT,0.05,940
28,CG,0.09,940
29,Relevant_D,0.76,940
30,total_fy_amount,0.01,940
31,medicare,0.05,930
32,TAX_OFSTS_TOTL_AMT,0.03,930
33,CG,0.53,930
34,Relevant_D,0.38,930
35,total_fy_amount,0.01,930
36,medicare,0.05,920
37,TAX_OFSTS_TOTL_AMT,0.04,920
38,CG,0.49,920
39,Relevant_D,0.42,920
40,total_fy_amount,0.01,920
41,medicare,0.04,910
42,TAX_OFSTS_TOTL_AMT,0.03,910
43,CG,0.38,910
44,Relevant_D,0.55,910
45,total_fy_amount,0.01,910
46,medicare,0.04,900
47,TAX_OFSTS_TOTL_AMT,0.04,900
48,CG,0.42,900
49,Relevant_D,0.49,900
50,total_fy_amount,0.01,900
51,medicare,0.05,890
52,TAX_OFSTS_TOTL_AMT,0.04,890
53,CG,0.37,890
54,Relevant_D,0.52,890
55,total_fy_amount,0.02,890
56,medicare,0.05,880
57,TAX_OFSTS_TOTL_AMT,0.05,880
58,CG,0.4,880
59,Relevant_D,0.48,880
60,total_fy_amount,0.02,880
61,medicare,0.04,870
62,TAX_OFSTS_TOTL_AMT,0.07,870
63,CG,0.19,870
64,Relevant_D,0.66,870
65,total_fy_amount,0.04,870
66,medicare,0.04,860
