percentile,fy,percentile_label,fy_sort,base_etr,scenario,etr,etr_change_pp
0.001,FY2034_35,0.1,2034,0,Baseline,0,0
0.001,FY2034_35,0.1,2034,0,High inflation,0,0
0.001,FY2034_35,0.1,2034,0,No policy change,0,0
0.001,FY2034_35,0.1,2034,0,Indexed brackets,0,0
0.002,FY2034_35,0.2,2034,0,Baseline,0,0
0.002,FY2034_35,0.2,2034,0,High inflation,0,0
0.002,FY2034_35,0.2,2034,0,No policy change,0,0
0.002,FY2034_35,0.2,2034,0,Indexed brackets,0,0
0.003,FY2034_35,0.3,2034,0,Baseline,0,0
0.003,FY2034_35,0.3,2034,0,High inflation,0,0
0.003,FY2034_35,0.3,2034,0,No policy change,0,0
0.003,FY2034_35,0.3,2034,0,Indexed brackets,0,0
0.004,FY2034_35,0.4,2034,0,Baseline,0,0
0.004,FY2034_35,0.4,2034,0,High inflation,0,0
0.004,FY2034_35,0.4,2034,0,No policy change,0,0
0.004,FY2034_35,0.4,2034,0,Indexed brackets,0,0
0.005,FY2034_35,0.5,2034,0,Baseline,0,0
0.005,FY2034_35,0.5,2034,0,High inflation,0,0
0.005,FY2034_35,0.5,2034,0,No policy change,0,0
0.005,FY2034_35,0.5,2034,0,Indexed brackets,0,0
0.006,FY2034_35,0.6,2034,0,Baseline,0,0
0.006,FY2034_35,0.6,2034,0,High inflation,0,0
0.006,FY2034_35,0.6,2034,0,No policy change,0,0
0.006,FY2034_35,0.6,2034,0,Indexed brackets,0,0
0.007,FY2034_35,0.7000000000000001,2034,0,Baseline,0,0
0.007,FY2034_35,0.7000000000000001,2034,0,High inflation,0,0
0.007,FY2034_35,0.7000000000000001,2034,0,No policy change,0,0
0.007,FY2034_35,0.7000000000000001,2034,0,Indexed brackets,0,0
0.008,FY2034_35,0.8,2034,0,Baseline,0,0
0.008,FY2034_35,0.8,2034,0,High inflation,0,0
0.008,FY2034_35,0.8,2034,0,No policy change,0,0
0.008,FY2034_35,0.8,2034,0,Indexed brackets,0,0
0.009,FY2034_35,0.8999999999999999,2034,0,Baseline,0,0
0.009,FY2034_35,0.8999999999999999,2034,0,High inflation,0,0
