AGE_FY_START,YOB_group,p10,p25,median,p75,p90,total_tax,total_income,mean_income,mean_post_tax
31,"Late Millenials, 1990-1991 ",0,0.081567101192776,0.174209933301577,0.230972931593364,0.266991180516273,10610174951.8859,50235890128.5099,73272.2440126106,57796.6283501369
40,"Early Millenials, 1981-1982",0,0.097481734047735,0.198577033302172,0.254356286310145,0.293656199797415,15102323993.9734,61066101599.9217,94935.0268405181,71456.5421139951
56,"Early Gen X, 1965-1966",0,0.0890292278724715,0.18531315967433,0.246475888531863,0.291223357125338,12195625031.2371,48429854165.7886,101436.524308371,75892.7386363764
41,"Early Millenials, 1981-1982",0.000460728005072002,0.122285908297351,0.217297077841905,0.263944054784023,0.302402805400053,7960798576.3,30694447174.904,96508.8514152078,71478.6717684249
47,"Late Gen X, 1974-1975",0.000382967281735769,0.106238148639005,0.202495330052366,0.258183261216019,0.300625149187418,14890875908.7498,57112096533.7006,106034.511534521,78388.0609726203
25,Zoomers: 1997-98,0,0.0780083804202908,0.157722348535509,0.212542432054391,0.243991697250174,3426117002.57,18121534922.173,56427.5391710743,45759.1629988852
66,"Late Boomers, 1956-1957",0,0,0.100207830897214,0.206582211986777,0.261975582213854,2504248398.25,11732672272.903,72062.6997574073,56681.4723402022
32,"Late Millenials, 1990-1991 ",0,0.101970043539414,0.196410921459301,0.246536855331195,0.278121696763847,6018087075.57,26398194553.42,75362.4770640311,58181.8343392343
48,"Late Gen X, 1974-1975",0.0156091529536947,0.131088925558906,0.219598757994299,0.265997418036758,0.306915299317432,7649669518.51,28476631717.674,105091.455576905,76860.7676095656
57,"Early Gen X, 1965-1966",0,0.104682696999311,0.20084492649834,0.255058556568957,0.297530472958169,5946524594.82,23245565141.621,98493.9839058557,73297.9134223169
24,Zoomers: 1997-98,0,0.0495531052612363,0.122940177381936,0.185311795143956,0.224062745794535,5207866291.42135,31935665240.3722,52677.9942042583,44087.600102518
65,"Late Boomers, 1956-1957",0,0,0.098723604942393,0.200188137261463,0.259004310841272,5698289795.3915,26823442190.0736,77327.5047929221,60900.2868265547
20,"Late Millenials, 1990-1991 ",0,0,0.0335400179067325,0.0687855419625232,0.107291111560464,1232568039.23,16616288810.7445,33895.7133576175,31381.386998263
29,"Early Millenials, 1981-1982",0,0.0488857525221819,0.111878987527704,0.159180110502439,0.18542194373554,5614954873.75,39003781659.6801,68219.5576297578,58398.7217697762
45,"Early Gen X, 1965-1966",0,0.0565401656104605,0.124028445628318,0.172180405679566,0.20965609633109,8241023776.91,46902472587.5617,91016.2085452956,75024.1574374209
30,"Early Millenials, 1981-1982",0,0.0523859713192032,0.121944641851694,0.168231523116609,0.198427245736883,6339807053.64193,41109307904.5212,72021.6469855362,60914.5919450013
54,"Late Boomers, 1956-1957",0,0.0489998312348595,0.113352040231,0.16643668248672,0.200005962264196,7272431848.79,44362861136.8369,87698.2495815761,73321.820131434
36,"Late Gen X, 1974-1975",0,0.0510056351706254,0.123567586843571,0.170921514490785,0.205647567382168,7125979150.19,42889747608.6546,82472.512414512,68769.9975549699
55,"Late Boomers, 1956-1957",0,0.043945042091904,0.114983977295273,0.171377829179986,0.208399502606425,7565153498.47382,44848101608.8423,90305.948985233,75072.7876831738
21,"Late Millenials, 1990-1991 ",0,0,0.0478028917107234,0.0827024931613469,0.129756689905828,1714030130.17,19541823157.4628,39178.5367308878,35742.1535504849
37,"Late Gen X, 1974-1975",0,0.0541139075369739,0.131625295354349,0.179173188329115,0.216308695154074,7812081843.24821,44456494322.8826,85627.2979681321,70580.5096432385
46,"Early Gen X, 1965-1966",0,0.0592941972709895,0.13149432917042,0.179834113437305,0.218614317172359,8764806099.32851,47558357369.1596,93086.4982123088,75931.0464173009
14,Zoomers: 1997-98,0,0,0,0,0.0574169629227015,5797280.56,131887232.172491,10038.6080204363,9597.34751198748
13,Zoomers: 1997-98,0,0,0,0,0.057468425833116,4599987.88,75156855.4114722,9603.48267460672,9015.69991457605
19,"Late Millenials, 1990-1991 ",0,0,0.00722068552998606,0.0536923980370973,0.0796510352082558,395238650.59,6489496957.93707,28707.2209695612,26958.8260859915
