year,gov_gdp,0_14,15_34,35_54,55_64,65p,pop_total,rp_g,dln_pop,gfce_nom,gfce_real,gdp_nom,gdp_real,tot_index,tot,p_gfce,p_gdp,bin
1980,0.301231122539985,0.25252834977254,0.338004673040925,0.22295689876448,0.0903384035065227,0.0961716749155311,29390712,-0.774949875131662,0.0122987053829036,162125,362735,538208,4912082,64.9583333333334,-0.743416406085949,0.446951631356224,0.109568203462401,1
1981,0.311527843353268,0.249646524955003,0.338788910733982,0.22335267227134,0.0907131551685088,0.0974987368711662,29846520,-0.345829396311931,0.0153895440631544,190027,380218,609984,5079765,63.2916666666667,-0.854267940866941,0.499784334250351,0.120081145486061,1
1982,0.309807312674582,0.246636267178741,0.336177618817713,0.227438015200886,0.091042644393232,0.0987054544094284,30368494,-0.0121621254054295,0.0173374392907739,217828,384385,703108,5243881,64.5583333333333,-0.770020774433389,0.566692248656946,0.134081608640623,1
1983,0.326377936675455,0.243676020588468,0.333823454513706,0.230702339277325,0.0920312194675769,0.0997669661529251,30786944,0.0276656133212967,0.0136850145877858,247714,395580,758979,5131933,64.4083333333333,-0.779997412563679,0.626204560392335,0.147893396114096,1
1984,0.320924929840973,0.239791465532895,0.332291743624638,0.233897075951172,0.0930025441944425,0.101017170696852,31158782,-0.377995025746613,0.0120054276571899,274455,414155,855200,5363136,66.125,-0.665820331739257,0.662686675278579,0.159458943424146,1
1985,0.335935061543329,0.235968290973728,0.331024557913474,0.237381551618691,0.0929528755195616,0.102672723974545,31576624,-0.0249401614550565,0.0133209683462496,316430,449390,941938,5650574,64.85,-0.750621755846716,0.704132268185763,0.166697754953745,1
1986,0.339989248579174,0.230954998486111,0.330970730443523,0.240982810339392,0.0920799582978272,0.105011502433147,32036700,0.23619130570917,0.0144650206312775,354807,469919,1043583,5907925,59.6583333333333,-1.0959242866895,0.755038634317829,0.176641206514978,1
1987,0.33858722330823,0.226719906954518,0.331230677266683,0.244643803807137,0.0904638710309733,0.106941740940689,32527748,-0.0176600524431583,0.0152113890433156,387637,485372,1144866,6057217,58.15,-1.1962449256663,0.798638982059122,0.189008582654377,1
1988,0.322854557705265,0.223747538434775,0.330423046855814,0.248552881522346,0.0889190912937955,0.108357441893269,33064328,-0.644160020086416,0.0163614876307641,419267,503968,1298625,6406960,62.0916666666667,-0.934081045909255,0.831931789319957,0.202689731167356,1
1989,0.310464377712693,0.221531214643435,0.328993644501242,0.252383966234688,0.0872749906984578,0.109816183922177,33628832,-1.23136970810839,0.0169287969389345,457509,517701,1473628,6655169,70.0833333333333,-0.402547936634404,0.883732115642041,0.221426082493172,2
1990,0.309271641132434,0.220039017580179,0.326805166653306,0.256385243638372,0.0858202762967849,0.110950295831359,34130256,-1.17514750819218,0.0148004693689643,501822,532622,1622593,6892081,69.7916666666667,-0.421946955221077,0.942172873069456,0.235428602768888,2
1991,0.326439785219324,0.219018868046792,0.323202057667549,0.260282783488764,0.0846340519077836,0.112862238889111,34568072,-0.81415399750801,0.0127462178556783,542413,550377,1661602,6864780,67.3666666666667,-0.583235938327419,0.98552991858308,0.242047378066012,2
1992,0.34123085915705,0.218156566573992,0.319334604790363,0.264039897852435,0.0839377903366024,0.114531140446608,34957270,-0.273285423140411,0.0111959770147045,577941,563352,1693695,6894429,66.1833333333333,-0.661940528021922,1.02589677501811,0.245661388347026,2
1993,0.338677492293269,0.217255271506217,0.314846013633945,0.267912358331318,0.083588831814897,0.116397524713623,35269616,-0.105108768830952,0.00889539825558217,601836,577294,1777018,7173663,63.075,-0.868678640388469,1.04251213419852,0.247714173358854,2
1994,0.329307289651099,0.216269013541234,0.31059846334845,0.271667725891844,0.0835333280765212,0.117931469141951,35610936,-0.127954936186127,0.00963092494678008,614384,584286,1865686,7459316,61.975,-0.941840653343924,1.05151244424819,0.250114889890708,2
1995,0.325139078345285,0.215251230194122,0.306345356776012,0.275687116416536,0.0836775270173945,0.119038769595935,36009764,-0.45354064936343,0.0111373422085137,645470,608420,1985212,7749378,63.1916666666667,-0.860919032953802,1.06089543407515,0.256176947362743,2
