year,gov_gdp,0_14,15_34,35_54,55_64,65p,pop_total,rp_g,gfce_nom,gfce_real,gdp_nom,gdp_real,tot_index,tot,unemp,is_outlier,p_gfce,p_gdp,dln_pop
1980,0.0637151435876093,0.25252834977254,0.338004673040925,0.22295689876448,0.0903384035065227,0.0961716749155311,29390712,0.469776859037079,2143.25,9324.5,33638,176446.75,50.35,-0.644728359875211,6.16109005833333,FALSE,0.229851466566572,0.190641085766669,0.0122987053829036
1981,0.0665722379603399,0.249646524955003,0.338788910733982,0.22335267227134,0.0907131551685088,0.0974987368711662,29846520,0.836154898035946,2538,9880,38124,182339.75,49.725,-0.681944902648184,5.845257,FALSE,0.256882591093117,0.209082221512314,0.0153895440631544
1982,0.0680123110532095,0.246636267178741,0.336177618817713,0.227438015200886,0.091042644393232,0.0987054544094284,30368494,1.39705280419227,2988.75,10139.5,43944.25,188403.25,48.95,-0.728093415686671,6.14010101666667,FALSE,0.294763055377484,0.233245710994901,0.0173374392907739
1983,0.0708582571345754,0.243676020588468,0.333823454513706,0.230702339277325,0.0920312194675769,0.0997669661529251,30786944,1.26903192523707,3361.25,10394.75,47436.25,184212.5,48.45,-0.75786664990505,8.94023774166667,FALSE,0.323360350176772,0.257508312410939,0.0136850145877858
1984,0.0698316183348924,0.239791465532895,0.332291743624638,0.233897075951172,0.0930025441944425,0.101017170696852,31158782,1.04968481249289,3732.5,10833.25,53450,192675,49.25,-0.710229475155644,9.640719675,FALSE,0.344541111854707,0.277410146619956,0.0120054276571899
1985,0.0753848440452683,0.235968290973728,0.331024557913474,0.237381551618691,0.0929528755195616,0.102672723974545,31576624,1.4486357054946,4438,12069.25,58871.25,202845,48.8,-0.737025385952185,8.61040439166667,FALSE,0.367711332518591,0.290227760112401,0.0133209683462496
1986,0.0782917331043788,0.230954998486111,0.330970730443523,0.240982810339392,0.0920799582978272,0.105011502433147,32036700,1.90109527302405,5106.5,12746.75,65224,210890.5,44.025,-1.0213597727377,7.936185475,FALSE,0.400611920685665,0.309278986014069,0.0144650206312775
1987,0.0779516169606172,0.226719906954518,0.331230677266683,0.244643803807137,0.0904638710309733,0.106941740940689,32527748,1.62703856943751,5577.75,13191,71554,216288.5,41.8,-1.15385066500949,8.25110570833333,FALSE,0.422845121673869,0.3308266505154,0.0152113890433156
1988,0.0743276750539801,0.223747538434775,0.330423046855814,0.248552881522346,0.0889190912937955,0.108357441893269,33064328,0.903984606512838,6032.75,13790.5,81164.25,228742,45.3,-0.945438025480837,7.76422725,FALSE,0.437456944998368,0.354828802755943,0.0163614876307641
1989,0.0709297054616226,0.221531214643435,0.328993644501242,0.252383966234688,0.0872749906984578,0.109816183922177,33628832,0.192584223031832,6532.75,14182.25,92101.75,237601.75,51.9,-0.552431333798236,6.60812161666667,FALSE,0.460628602654727,0.387630772921496,0.0169287969389345
