year,gov_gdp,0_14,15_34,35_54,55_64,65p,pop_total,rp_g,gfce_nom,gfce_real,gdp_nom,gdp_real,tot_index,tot,unemp,is_outlier,p_gfce,p_gdp,dln_pop
1980,0.20747337563546,0.25252834977254,0.338004673040925,0.22295689876448,0.0903384035065227,0.0961716749155311,29390712,-0.556897195374085,5791,31675.75,33686.25,181306.25,53.8,-0.662054777838842,6.16144416666667,FALSE,0.182821243380188,0.185797511117239,0.0122987053829036
1981,0.211430292632778,0.249646524955003,0.338788910733982,0.22335267227134,0.0907131551685088,0.0974987368711662,29846520,-0.0579426972154036,6777.5,33114.5,38179.25,187365.75,53.075,-0.701808471723304,5.84542205,FALSE,0.204668649685183,0.203768564959177,0.0153895440631544
1982,0.208981423620974,0.246636267178741,0.336177618817713,0.227438015200886,0.091042644393232,0.0987054544094284,30368494,0.317800148168836,7791.75,33612.5,44007.5,193602.25,52.25,-0.747045433729761,6.14021313333333,FALSE,0.231811082186687,0.227308825181526,0.0173374392907739
1983,0.220579644550636,0.243676020588468,0.333823454513706,0.230702339277325,0.0920312194675769,0.0997669661529251,30786944,0.34825574572547,8831.75,34467.5,47503.25,189293.25,51.725,-0.775832591370233,8.94025688333333,FALSE,0.25623413360412,0.250950575363886,0.0136850145877858
1984,0.220786380370391,0.239791465532895,0.332291743624638,0.233897075951172,0.0930025441944425,0.101017170696852,31158782,-0.0435233079679047,9801.25,36073.5,53511,197933.5,52.6,-0.727853995302779,9.64113155833333,FALSE,0.271702219080489,0.270348374580352,0.0120054276571899
1985,0.231403170940679,0.235968290973728,0.331024557913474,0.237381551618691,0.0929528755195616,0.102672723974545,31576624,0.292363895677525,11313,39260.5,58941.5,208388.25,52.1,-0.755270335912752,8.61126633333333,FALSE,0.288152214057386,0.282844642152329,0.0133209683462496
1986,0.234542190030282,0.230954998486111,0.330970730443523,0.240982810339392,0.0920799582978272,0.105011502433147,32036700,0.436377364154659,12652,40966.25,65302.75,216660.5,47.025,-1.03354619310398,7.93684923333333,FALSE,0.308839593567876,0.301405886167529,0.0144650206312775
1987,0.234279632182304,0.226719906954518,0.331230677266683,0.244643803807137,0.0904638710309733,0.106941740940689,32527748,0.176954928866982,13847,42354.25,71638.75,222199.75,44.6,-1.16651544506236,8.25129245833333,FALSE,0.326932952419179,0.322406978405691,0.0152113890433156
1988,0.218343633964087,0.223747538434775,0.330423046855814,0.248552881522346,0.0889190912937955,0.108357441893269,33064328,-0.545128323227748,14961.25,43947.5,81265.25,235001.5,48.35,-0.960892890487554,7.76463038333333,FALSE,0.340434609477217,0.345807367187018,0.0163614876307641
1989,0.208227719417147,0.221531214643435,0.328993644501242,0.252383966234688,0.0872749906984578,0.109816183922177,33628832,-1.22654670346461,16347.75,45240.5,92218.75,244117,55.425,-0.572951670856429,6.60801161666667,FALSE,0.361352107072203,0.377764555520509,0.0169287969389345
1990,0.209263850352429,0.220039017580179,0.326805166653306,0.256385243638372,0.0858202762967849,0.110950295831359,34130256,-1.07003285502785,17960.25,46439.5,101545.25,252839.5,55.775,-0.553760232429447,6.13786178333333,FALSE,0.386745119994832,0.401619406777818,0.0148004693689643
1991,0.218946391564208,0.219018868046792,0.323202057667549,0.260282783488764,0.0846340519077836,0.112862238889111,34568072,-0.708311870373682,19347,47926,103985.5,251867,52.85,-0.714145824997792,8.36757215,FALSE,0.403684847473188,0.412858770700409,0.0127462178556783
1992,0.227654049617573,0.218156566573992,0.319334604790363,0.264039897852435,0.0839377903366024,0.114531140446608,34957270,-0.0924465534859364,20657,49147.75,106000.75,252957.75,51.125,-0.808732200102201,10.27607135,FALSE,0.420304083096378,0.419045275347365,0.0111959770147045
1993,0.227026686807654,0.217255271506217,0.314846013633945,0.267912358331318,0.083588831814897,0.116397524713623,35269616,0.08048672762756,21511,50397.25,111216,263191.75,49.075,-0.921139196603092,10.93177795,FALSE,0.426828844827843,0.422566436827902,0.00889539825558217
1994,0.219663735647319,0.216269013541234,0.31059846334845,0.271667725891844,0.0835333280765212,0.117931469141951,35610936,0.019771632168803,21902.75,50945.25,116768.25,273664.25,47.7,-0.996534133280519,10.5258523333333,FALSE,0.429927225796321,0.426684340391556,0.00963092494678008
1995,0.217930146467085,0.215251230194122,0.306345356776012,0.275687116416536,0.0836775270173945,0.119038769595935,36009764,-0.321851093778446,23077.25,53141,124260,284310,49.375,-0.904689392237108,8.9164563,FALSE,0.434264503867071,0.437058140761844,0.0111373422085137
1996,0.215196299532535,0.213697437119498,0.302280846718095,0.279762753619841,0.0839699624143343,0.120289000128232,36449534,-0.443666074556781,24563,55386,132469.75,295300.5,50.85,-0.823811187437687,8.39435028333333,FALSE,0.443487523923013,0.448593043357529,0.0121385498322191
1997,0.212001357912264,0.212146944067908,0.297583237769104,0.283477908664028,0.0853669240310379,0.121424985467923,36846074,-0.386434270022432,25418.5,56553.25,139184.25,306870.5,52.375,-0.740191348577267,8.586768425,FALSE,0.449461348375204,0.453560215139611,0.0108203991959606
1998,0.209936106402399,0.21047982371059,0.293034711008157,0.287089930643333,0.0869452477011524,0.122450286936767,37215168,-0.322599471761993,26868.75,58841.25,147628.25,321222.25,52.025,-0.759382787004249,7.98162101666667,FALSE,0.456631189854057,0.459582890039529,0.00996734717801573
1999,0.215581782218878,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901,37624528,0.357881791716844,29118.25,61712.75,155842.25,337373.75,49.525,-0.896464490054116,7.28291501666667,FALSE,0.471835236640727,0.461927609957799,0.0109397580294228
2000,0.214822222791208,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981,38057604,0.290043704442072,30723,63701.5,165987.25,350585.75,51.4,-0.793653212766715,6.615233775,FALSE,0.482296335251132,0.473456921737407,0.0114447285147712
2001,0.214904242000429,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625,38549402,0.28237502901584,32761.5,64897.75,177322,357707.5,52.375,-0.740191348577267,6.34940781666667,FALSE,0.504817193200073,0.495717870047455,0.0128396809127338
2002,0.212705049473197,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455,38990420,0.225402599719762,34707.75,67057.5,189420.75,371836.25,53.125,-0.699066837662307,6.7198874,FALSE,0.517581925959065,0.509419805088934,0.011375387361948
