cluster,year,avg,p25,p75
1,1999,1,1,1
2,1999,1,1,1
3,1999,1,1,1
4,1999,1,1,1
5,1999,1,1,1
1,2000,1.03201293395608,1.00755617731867,1.05869013103944
2,2000,1.06444492608253,1.02652167580627,1.08699610701831
3,2000,0.990414274747494,0.921015783900868,1.08802863378624
4,2000,1.10233373498973,1.0592077916629,1.14467261873978
5,2000,1.04105090311987,1.04105090311987,1.04105090311987
1,2001,1.1427443587219,1.10891694975757,1.19646451225784
2,2001,1.25107601750295,1.17210707945673,1.29934946648274
3,2001,1.14583045540442,1.11322620258715,1.18977223879431
4,2001,1.1880801717489,1.1225560318804,1.19324233251701
5,2001,1.38040503557745,1.38040503557745,1.38040503557745
1,2002,1.21003181945325,1.18815283280756,1.29302669065827
2,2002,1.37793622403766,1.25514561020085,1.44964055652893
3,2002,1.24156566006416,1.22679557689767,1.26345180002603
4,2002,1.27476205222338,1.21669112283654,1.28492888719942
5,2002,1.61029009304871,1.61029009304871,1.61029009304871
1,2003,1.27744138771683,1.27891210472788,1.32165529232861
2,2003,1.42711763143576,1.32688451221633,1.50441660463396
3,2003,1.26322261374941,1.24498437197817,1.2916630922452
4,2003,1.36930356158679,1.31076588377998,1.42659631987851
5,2003,1.31636562671045,1.31636562671045,1.31636562671045
1,2004,1.35199884024786,1.33897058935566,1.46553703068747
2,2004,1.59245256300408,1.47390419184601,1.66379695474235
3,2004,1.35480724325719,1.31096782221417,1.40228617205978
4,2004,1.50102224233093,1.39345294632916,1.51557986955431
5,2004,1.21072796934866,1.21072796934866,1.21072796934866
1,2005,1.43424811088205,1.44991388930795,1.54774303139655
2,2005,1.7267221779148,1.53366171485593,1.84455177080921
3,2005,1.40926294652677,1.3676049949293,1.44358130048773
4,2005,1.62475896574691,1.49070951712358,1.72148569226711
5,2005,1.48166392993979,1.48166392993979,1.48166392993979
1,2006,1.5274092869151,1.5205791227127,1.65124004976591
2,2006,1.78251178049312,1.65157180493148,1.8879605841255
3,2006,1.46126295399975,1.42055862394953,1.49289744002671
4,2006,1.72698547623657,1.58538543077121,1.85100844757291
5,2006,1.65626710454297,1.65626710454297,1.65626710454297
1,2007,1.64915327278486,1.61486109751326,1.79939558396854
2,2007,1.96196422388955,1.81620963641039,2.10168649331463
