year,cofog_group_name,exp_gdp_f,0_14,15_34,35_54,55_64,65p
1999,011 Executive and legislative organs financial and fiscal affairs external affairs,0,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901
2000,011 Executive and legislative organs financial and fiscal affairs external affairs,5.52316048498536e-05,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981
2001,011 Executive and legislative organs financial and fiscal affairs external affairs,0,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,011 Executive and legislative organs financial and fiscal affairs external affairs,0,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,011 Executive and legislative organs financial and fiscal affairs external affairs,9.11857215371031e-05,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,011 Executive and legislative organs financial and fiscal affairs external affairs,0.000169908704820941,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,011 Executive and legislative organs financial and fiscal affairs external affairs,0.000118543786479757,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,011 Executive and legislative organs financial and fiscal affairs external affairs,7.27937786195763e-05,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,011 Executive and legislative organs financial and fiscal affairs external affairs,6.67793049656395e-05,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,011 Executive and legislative organs financial and fiscal affairs external affairs,6.14897928815245e-05,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,011 Executive and legislative organs financial and fiscal affairs external affairs,0.0119803295710032,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,011 Executive and legislative organs financial and fiscal affairs external affairs,0.0119244450947974,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,011 Executive and legislative organs financial and fiscal affairs external affairs,0.0178368202880026,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,011 Executive and legislative organs financial and fiscal affairs external affairs,0.0147815779795957,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,011 Executive and legislative organs financial and fiscal affairs external affairs,0.0147337443167176,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,011 Executive and legislative organs financial and fiscal affairs external affairs,0.0111809541543527,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
2015,011 Executive and legislative organs financial and fiscal affairs external affairs,0.0116540700749403,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441
2016,011 Executive and legislative organs financial and fiscal affairs external affairs,0.0104203055192601,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733
2017,011 Executive and legislative organs financial and fiscal affairs external affairs,0.0161999315605489,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383
