year,gfce_nom,gfce_real,gfcf_nom,gfcf_real,gdp_nom,gdp_real
1960,,,,,4151,79975
1961,,,,,4392.75,81960.5
1962,,,,,4447.5,83021.5
1963,,,,,4812,88182
1964,,,,,5306.75,94337.25
1965,,,,,5791.75,99979
1966,,,,,6096.25,102357.25
1967,,,,,6791,108811
1968,,,,,7301.5,114353.25
1969,,,,,8188.25,122409.75
1970,,,,,9221.5,131193.75
1971,,,,,10088.25,136442.25
1972,,,,,11120,141777.25
1973,,,,,12445.5,145491.5
1974,,,,,15068.25,151466.75
1975,,,,,17807.25,153490
1976,,,,,20820.75,157463.25
1977,,,,,24037,163124.25
1978,,,,,26280.25,164581.75
1979,,,,,29694,171248
1980,,,,,33638,176446.75
1981,,,,,38124,182339.75
1982,,,,,43944.25,188403.25
1983,,,,,47436.25,184212.5
1984,,,,,53450,192675
1985,,,,,58871.25,202845
1986,,,,,65224,210890.25
1987,,,,,71553.75,216288.5
1988,,,,,81164.25,228742
1989,,,,,92101.75,237601.75
1990,,,,,101412,246102
1991,,,,,103850.25,245161.25
1992,,,,,105856,246211
1993,,,,,111063.5,256174.75
1994,,,,,116605.5,266371.75
1995,,,,,124075.75,276722.5
1996,,,,,132271,287414.75
1997,,,,,138963.5,298662
1998,,,,,147370.75,312589.25
1999,,,,,155559.25,328305.25
2000,,,,,165689.5,341179.75
2001,,,,,176975.5,348089.25
2002,,,,,189106.25,361941.75
2003,,,,,200971.25,373128.5
2004,,,,,215953,388890.25
2005,,,,,231339.75,401156.25
2006,,,,,250033.75,412209.5
2007,,,,,272486,427764
2008,,,,,294911.75,443104.75
2009,,,,,315368.5,451490.75
2010,,,,,325781.25,461513.5
2011,,,,,354677.25,472622.5
2012,,,,,374809.75,491134
2013,,,,,384404,503914.25
2014,,,,,400005.25,516992.25
2015,,,,,405876.75,528315.25
2016,,,,,414440.75,542893.25
2017,,,,,439257.75,555269.25
2018,,,,,460507.75,571252.5
2019,,,,,486673.75,583657.25
2020,,,,,495047.25,582959.25
2021,,,,,521231.75,595266.25
2022,,,,,583146.75,620520
2023,,,,,641618,641878.25
2024,,,,,668390,650941.25
2025,,,,,689804.333333334,657648
