year,gfce_nom,gfce_real,gfcf_nom,gfcf_real,gdp_nom,gdp_real,pop_total,0_14,15_34,35_54,55_64,65p
1971,,,,,10088.25,136442.25,26134530,0.286768271707966,0.310949996039722,0.232155695931781,0.0866829439825396,0.0834430923379912
1972,,,,,11120,141777.25,26607328,0.285089130332817,0.314032134305256,0.230030538955283,0.0867881960939483,0.0840600003126958
1973,,,,,12445.5,145491.5,27009076,0.282331761367919,0.317196115853797,0.228752734821436,0.0866599805191411,0.0850594074377072
1974,,,,,15068.25,151466.75,27445142,0.278683928835202,0.320980011690229,0.227949777049796,0.0863121786726409,0.0860741037521322
1975,,,,,17807.25,153490,27785990,0.274931647207819,0.324049997858633,0.226814736491304,0.0869965043534529,0.0872071140887908
1976,,,,,20820.75,157463.25,28066166,0.269869065835355,0.327284460585033,0.225502906239491,0.0880668916445517,0.0892766756955688
1977,,,,,24037,163124.25,28384468,0.26519045556887,0.331229882483617,0.22399933653856,0.0888558489100448,0.0907244764989078
1978,,,,,26280.25,164581.75,28718510,0.260672785600646,0.334672237522072,0.222700759893184,0.0895530443605884,0.0924011726235101
1979,,,,,29694,171248,29031458,0.256165914918913,0.336963648191558,0.222616239253296,0.0898925572391163,0.0943616403971168
1980,,,,,33638,176446.75,29390712,0.25252834977254,0.338004673040925,0.22295689876448,0.0903384035065227,0.0961716749155311
1981,,,,,38124,182339.75,29846520,0.249646524955003,0.338788910733982,0.22335267227134,0.0907131551685088,0.0974987368711662
1982,,,,,43944.25,188403.25,30368494,0.246636267178741,0.336177618817713,0.227438015200886,0.091042644393232,0.0987054544094284
1983,,,,,47436.25,184212.5,30786944,0.243676020588468,0.333823454513706,0.230702339277325,0.0920312194675769,0.0997669661529251
1984,,,,,53450,192675,31158782,0.239791465532895,0.332291743624638,0.233897075951172,0.0930025441944425,0.101017170696852
1985,,,,,58871.25,202845,31576624,0.235968290973728,0.331024557913474,0.237381551618691,0.0929528755195616,0.102672723974545
1986,,,,,65224,210890.25,32036700,0.230954998486111,0.330970730443523,0.240982810339392,0.0920799582978272,0.105011502433147
1987,,,,,71553.75,216288.5,32527748,0.226719906954518,0.331230677266683,0.244643803807137,0.0904638710309733,0.106941740940689
1988,,,,,81164.25,228742,33064328,0.223747538434775,0.330423046855814,0.248552881522346,0.0889190912937955,0.108357441893269
1989,,,,,92101.75,237601.75,33628832,0.221531214643435,0.328993644501242,0.252383966234688,0.0872749906984578,0.109816183922177
1990,,,,,101412,246102,34130256,0.220039017580179,0.326805166653306,0.256385243638372,0.0858202762967849,0.110950295831359
1991,,,,,103850.25,245161.25,34568072,0.219018868046792,0.323202057667549,0.260282783488764,0.0846340519077836,0.112862238889111
1992,,,,,105856,246211,34957270,0.218156566573992,0.319334604790363,0.264039897852435,0.0839377903366024,0.114531140446608
1993,,,,,111063.5,256174.75,35269616,0.217255271506217,0.314846013633945,0.267912358331318,0.083588831814897,0.116397524713623
1994,,,,,116605.5,266371.75,35610936,0.216269013541234,0.31059846334845,0.271667725891844,0.0835333280765212,0.117931469141951
1995,,,,,124075.75,276722.5,36009764,0.215251230194122,0.306345356776012,0.275687116416536,0.0836775270173945,0.119038769595935
