year,gfce_nom,gfce_real,gfcf_nom,gfcf_real,gdp_nom,gdp_real
1960,460.75,11410,151.75,1866.25,1661.1975,39970.9381818182
1961,496.75,11828.5,168.75,1940.25,1597.27954545455,31359.4166666667
1962,532.75,12286,176.75,1959,1617.55,31766.575
1963,561.5,12787.75,187.25,2034.25,1750.475,33753.2638888889
1964,606.5,13185.25,223,2371.25,1930.90909090909,36134.9347222222
1965,691,14386.25,254.5,2620,2106.625,38351.5013888889
1966,781,15830.75,324.25,3269,2217.16136363636,39320.7791666667
1967,868.75,16676.75,363.25,3517,2470.59772727273,41757.0430555555
1968,994.25,18203.75,396.5,3708.25,2655.60454545455,43951.6208333333
1969,1067.25,18786.5,408.75,3697,2978.76363636364,47031.475
1970,1215,20207.5,405.5,3517,3354.72272727273,50376.6791666667
1971,1404,21258,436.25,3541.75,3668.88636363637,52481.9916666667
1972,1605,22168.75,483,3699.75,4044.48863636364,54528.1097222222
1973,1818.5,22875,536.25,3815.25,4527.11363636364,56128.3305555555
1974,2180.5,23452.25,598,3760,5116.53125,53845.7544303797
1975,2992,25536.75,833,4119,6043.5,51966.5638554217
1976,3723.5,27637.75,1028.75,4311.5,7065.6375,52677.0083333333
1977,4198,27814.75,1059.75,4134.75,8154.96041666667,54539.3619047619
1978,4685,28643.5,1126,4052.75,8913.7375,55031.1083333334
1979,5154.75,29591.25,1161.5,4009.75,10071.25,57308.2619047619
1980,5791,30259.25,1198,3710,11405.175,59051.9964285714
1981,6777.5,31634,1294.75,3592.5,12922.7375,61059.0976190476
1982,7791.75,32109.75,1405,3494.75,14891.8166666667,63022.0071428572
1983,8831.5,32926.5,1646.5,3643.75,16069.8708333333,61666.7666666667
1984,9801.25,34461,2013.25,4231,18106.2875,64439.3892857143
1985,11313.25,37505.25,2326.25,4747.5,19936.8833333333,67884.2666666667
1986,12651.75,39134.25,2664.25,5003.5,22082.7541666667,65504.2494505494
1987,13847,40460.5,2936.5,5113.75,24221.0375,66421.3423913044
1988,14961.5,41982.75,2782.5,4726,27467.48125,70246.3782608695
1989,16348,43217.75,2854.75,4777.25,31160.81875,72957.3782608696
1990,17960.25,44363,3289.5,5234.75,34302.5583333333,75544.6239130435
1991,19347.5,45783.25,3420.25,5337.75,35119.2541666667,75236.7923913044
1992,20657,46950.5,3474.5,5499,35792.1666666667,75554.545652174
1993,21511,48144.25,3738,5916,37548.125,78608.5543478261
1994,21902.5,48667.75,3747,5916,39416.8020833333,81732.8728260869
1995,23077.25,50764.75,4002.75,6233.5,41935.3270833333,84903.7391304348
1996,24562.5,52909.75,3944,6251.25,44699.0229166667,88169.0489130435
1997,25418.5,54024.5,4088.75,6729.75,46952.5520833333,91610.3902173913
1998,26869,56210.5,4123.75,6615,49786.50625,95873.9913043479
1999,29118.25,58953.5,4478.5,6986.5,52545.5041666667,100687.777173913
2000,30722.5,60853.25,4934.75,7949.5,55959.14375,104627.777173913
2001,32761.5,61996.25,5345.75,8291,59761.7229166667,106737.810869565
2002,34708,64059.25,5583,8586.25,63847.9166666667,110975.707608696
2003,36955.25,65834.5,5775.25,8973.75,67842.98125,114416.390217391
2004,39477.75,68795,5807.75,9206.5,72891.7583333333,119228.244565217
2005,42522.75,70895.25,6560.25,10160.75,78073.50625,122978.152173913
2006,45747.25,73121.25,7450.5,10456.25,84368.8791666667,126354.842391304
2007,49496.5,75372.75,8162,11362.5,91926.7458333333,131096.286956522
2008,53327.25,77699,9301.25,12308.75,99470.6791666667,135783.064130435
2009,58066.25,80917.25,10620,13256.25,106343.622916667,138339.094565217
2010,61309.5,82250.75,13583.5,17496.5,109833.414583333,141390.585869565
2011,66162,84817.5,13455.75,17110.75,119556.93125,144782.972826087
2012,70933.75,88042.75,13534.25,17464.5,126320.495833333,150434.998913044
2013,72462.75,88546.5,12656.25,15891,129529.079166667,154329.176086957
2014,75081.75,90007.5,12780.75,16012.25,134763.354166667,158318.023913043
2015,77908,91991.25,12732.25,15635.75,136720.652083333,161770.684782609
2016,82774,96407.5,13427.25,16041.25,139583.725,166214.104347826
2017,87636.5,101134,15550.25,18761.75,147917.983333333,169985.970652174
2018,92125.75,104715.75,17357,20499.5,155050.06875,174866.266304348
2019,99132.75,109975.5,18928.25,21595,163835.477083333,178650.004347826
2020,108364,118087.25,19754.5,22157,166630.004166667,178422.352173913
2021,116866,125844.5,20373.75,23149,175442.95625,182180.669565217
2022,128652.25,134492.5,22591.75,24568.75,196269.466666667,189898.390217391
2023,136816,136809,25039.75,25176,215896.529166667,196411.588043478
2024,148514.75,141805.75,26630.5,25447,224827.758333333,199160.315217391
2025,159182,147230.333333333,28333.3333333333,26345.3333333333,245637.855882353,210342.081818182
