year,gfce_nom,gfce_real,gfcf_nom,gfcf_real,gdp_nom,gdp_real,pop_total,0_14,15_34,35_54,55_64,65p,spend_pc,gdp_pc,age_sum
1971,1404,21258,436.25,3541.75,3668.88636363637,52481.9916666667,26134530,0.286768271707966,0.310949996039722,0.232155695931781,0.0866829439825396,0.0834430923379912,0.000813406630997382,0.00200814752232646,1
1972,1605,22168.75,483,3699.75,4044.48863636364,54528.1097222222,26607328,0.285089130332817,0.314032134305256,0.230030538955283,0.0867881960939483,0.0840600003126958,0.000833182121857558,0.00204936436015756,1
1973,1818.5,22875,536.25,3815.25,4527.11363636364,56128.3305555555,27009076,0.282331761367919,0.317196115853797,0.228752734821436,0.0866599805191411,0.0850594074377072,0.000846937525741347,0.00207812849856676,1
1974,2180.5,23452.25,598,3760,5116.53125,53845.7544303797,27445142,0.278683928835202,0.320980011690229,0.227949777049796,0.0863121786726409,0.0860741037521322,0.000854513705922892,0.00196194118545205,1
1975,2992,25536.75,833,4119,6043.5,51966.5638554217,27785990,0.274931647207819,0.324049997858633,0.226814736491304,0.0869965043534529,0.0872071140887908,0.000919051291676129,0.00187024338004231,1
1976,3723.5,27637.75,1028.75,4311.5,7065.6375,52677.0083333333,28066166,0.269869065835355,0.327284460585033,0.225502906239491,0.0880668916445517,0.0892766756955688,0.000984735499676016,0.00187688650930567,1
1977,4198,27814.75,1059.75,4134.75,8154.96041666667,54539.3619047619,28384468,0.26519045556887,0.331229882483617,0.22399933653856,0.0888558489100448,0.0907244764989078,0.000979928529927001,0.00192145091127873,1
1978,4685,28643.5,1126,4052.75,8913.7375,55031.1083333334,28718510,0.260672785600646,0.334672237522072,0.222700759893184,0.0895530443605884,0.0924011726235101,0.000997388095691594,0.00191622435611504,1
1979,5154.75,29591.25,1161.5,4009.75,10071.25,57308.2619047619,29031458,0.256165914918913,0.336963648191558,0.222616239253296,0.0898925572391163,0.0943616403971168,0.00101928225582057,0.00197400564259507,1
1980,5791,30259.25,1198,3710,11405.175,59051.9964285714,29390712,0.25252834977254,0.338004673040925,0.22295689876448,0.0903384035065227,0.0961716749155311,0.0010295514446877,0.00200920605218994,1
1981,6777.5,31634,1294.75,3592.5,12922.7375,61059.0976190476,29846520,0.249646524955003,0.338788910733982,0.22335267227134,0.0907131551685088,0.0974987368711662,0.00105988905909299,0.0020457694102712,1
1982,7791.75,32109.75,1405,3494.75,14891.8166666667,63022.0071428572,30368494,0.246636267178741,0.336177618817713,0.227438015200886,0.091042644393232,0.0987054544094284,0.00105733758150799,0.00207524308392959,1
1983,8831.5,32926.5,1646.5,3643.75,16069.8708333333,61666.7666666667,30786944,0.243676020588468,0.333823454513706,0.230702339277325,0.0920312194675769,0.0997669661529251,0.00106949556279441,0.00200301681994376,1
1984,9801.25,34461,2013.25,4231,18106.2875,64439.3892857143,31158782,0.239791465532895,0.332291743624638,0.233897075951172,0.0930025441944425,0.101017170696852,0.00110598033003986,0.00206809718318625,1
1985,11313.25,37505.25,2326.25,4747.5,19936.8833333333,67884.2666666667,31576624,0.235968290973728,0.331024557913474,0.237381551618691,0.0929528755195616,0.102672723974545,0.00118775363699425,0.00214982661435455,1
1986,12651.75,39134.25,2664.25,5003.5,22082.7541666667,65504.2494505494,32036700,0.230954998486111,0.330970730443523,0.240982810339392,0.0920799582978272,0.105011502433147,0.00122154435381921,0.00204466282265494,1
1987,13847,40460.5,2936.5,5113.75,24221.0375,66421.3423913044,32527748,0.226719906954518,0.331230677266683,0.244643803807137,0.0904638710309733,0.106941740940689,0.00124387645895437,0.00204199019222924,1
1988,14961.5,41982.75,2782.5,4726,27467.48125,70246.3782608695,33064328,0.223747538434775,0.330423046855814,0.248552881522346,0.0889190912937955,0.108357441893269,0.00126972941957266,0.00212453669891218,1
1989,16348,43217.75,2854.75,4777.25,31160.81875,72957.3782608696,33628832,0.221531214643435,0.328993644501242,0.252383966234688,0.0872749906984578,0.109816183922177,0.00128513978719213,0.00216948891537088,1
1990,17960.25,44363,3289.5,5234.75,34302.5583333333,75544.6239130435,34130256,0.220039017580179,0.326805166653306,0.256385243638372,0.0858202762967849,0.110950295831359,0.00129981445202169,0.00221342095743564,1
1991,19347.5,45783.25,3420.25,5337.75,35119.2541666667,75236.7923913044,34568072,0.219018868046792,0.323202057667549,0.260282783488764,0.0846340519077836,0.112862238889111,0.00132443747513602,0.00217648217092652,1
1992,20657,46950.5,3474.5,5499,35792.1666666667,75554.545652174,34957270,0.218156566573992,0.319334604790363,0.264039897852435,0.0839377903366024,0.114531140446608,0.00134308256909078,0.00216133999171485,1
1993,21511,48144.25,3738,5916,37548.125,78608.5543478261,35269616,0.217255271506217,0.314846013633945,0.267912358331318,0.083588831814897,0.116397524713623,0.00136503470862853,0.00222878962866582,1
1994,21902.5,48667.75,3747,5916,39416.8020833333,81732.8728260869,35610936,0.216269013541234,0.31059846334845,0.271667725891844,0.0835333280765212,0.117931469141951,0.00136665180606317,0.00229516216103073,1
1995,23077.25,50764.75,4002.75,6233.5,41935.3270833333,84903.7391304348,36009764,0.215251230194122,0.306345356776012,0.275687116416536,0.0836775270173945,0.119038769595935,0.00140974958902813,0.00235779771093292,1
1996,24562.5,52909.75,3944,6251.25,44699.0229166667,88169.0489130435,36449534,0.213697437119498,0.302280846718095,0.279762753619841,0.0839699624143343,0.120289000128232,0.00145158920275908,0.00241893487343469,1
1997,25418.5,54024.5,4088.75,6729.75,46952.5520833333,91610.3902173913,36846074,0.212146944067908,0.297583237769104,0.283477908664028,0.0853669240310379,0.121424985467923,0.00146622134016232,0.00248629990314277,1
1998,26869,56210.5,4123.75,6615,49786.50625,95873.9913043479,37215168,0.21047982371059,0.293034711008157,0.287089930643333,0.0869452477011524,0.122450286936767,0.00151041908503544,0.00257620740296934,1
1999,29118.25,58953.5,4478.5,6986.5,52545.5041666667,100687.777173913,37624528,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901,0.00156689008829559,0.00267612067250154,1
2000,30722.5,60853.25,4934.75,7949.5,55959.14375,104627.777173913,38057604,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981,0.00159897743431247,0.00274919506687581,1
2001,32761.5,61996.25,5345.75,8291,59761.7229166667,106737.810869565,38549402,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625,0.00160822857900623,0.00276885775996124,1
2002,34708,64059.25,5583,8586.25,63847.9166666667,110975.707608696,38990420,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455,0.00164294844733655,0.00284623011521024,1
2003,36955.25,65834.5,5775.25,8973.75,67842.98125,114416.390217391,39441474,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987,0.00166916936217952,0.00290091567615833,1
2004,39477.75,68795,5807.75,9206.5,72891.7583333333,119228.244565217,39865444,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407,0.00172568001500247,0.00299076675441561,1
2005,42522.75,70895.25,6560.25,10160.75,78073.50625,122978.152173913,40353688,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803,0.00175684685870595,0.00304750713674331,1
2006,45747.25,73121.25,7450.5,10456.25,84368.8791666667,126354.842391304,40901932,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777,0.00178772117659381,0.00308921452393262,1
2007,49496.5,75372.75,8162,11362.5,91926.7458333333,131096.286956522,41655244,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023,0.00180944204768072,0.00314717366573394,1
2008,53327.25,77699,9301.25,12308.75,99470.6791666667,135783.064130435,42498398,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086,0.00182828068013293,0.00319501605990971,1
2009,58066.25,80917.25,10620,13256.25,106343.622916667,138339.094565217,43383306,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804,0.00186517021086406,0.00318876331290237,1
2010,61309.5,82250.75,13583.5,17496.5,109833.414583333,141390.585869565,44063500,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941,0.00186664132445221,0.00320879153652264,1
2011,66162,84817.5,13455.75,17110.75,119556.93125,144782.972826087,44680048,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008,0.00189833054789914,0.00324043906188478,1
