year,series,value
1980,Historical,0.333581069029074
1981,Historical,0.342349963277725
1982,Historical,0.342439568316674
1983,Historical,0.369696171177106
1984,Historical,0.374653882132834
1985,Historical,0.385353631866149
1986,Historical,0.387230927266037
1987,Historical,0.387584900913995
1988,Historical,0.361849582790453
1989,Historical,0.346426642273355
1990,Historical,0.343137399913225
1991,Historical,0.357796442473658
1992,Historical,0.373779001662636
1993,Historical,0.372680943784412
1994,Historical,0.370988075176557
1995,Historical,0.371172449088561
1996,Historical,0.365820928245798
1997,Historical,0.356710575079068
1998,Historical,0.342888598992677
1999,Historical,0.346025710460805
2000,Historical,0.345364892411548
2001,Historical,0.351343830078175
2002,Historical,0.345902562583948
2003,Historical,0.339459424494081
2004,Historical,0.338303527603101
2005,Historical,0.337429783628752
2006,Historical,0.334513844172569
2007,Historical,0.330250600490668
2008,Historical,0.329956046098614
2009,Historical,0.351629317650155
2010,Historical,0.357520575539568
2011,Historical,0.34822504121705
2012,Historical,0.351054101447468
2013,Historical,0.345886749357447
2014,Historical,0.347643589009624
2015,Historical,0.350317400286541
2016,Historical,0.356054985106391
2017,Historical,0.351464011264515
2018,Historical,0.351282390929997
2019,Historical,0.35037060286342
2020,Historical,0.399125349708618
2021,Historical,0.421102184704669
2022,Historical,0.379540431121255
2023,Historical,0.359035764314396
2024,Historical,0.373371457042375
1980,Fitted (in-sample),0.349239377388478
1981,Fitted (in-sample),0.344508415184234
1982,Fitted (in-sample),0.34417527022772
1983,Fitted (in-sample),0.369596837775475
1984,Fitted (in-sample),0.379156947073047
1985,Fitted (in-sample),0.367651194650424
1986,Fitted (in-sample),0.361492977689465
1987,Fitted (in-sample),0.366038760159864
1988,Fitted (in-sample),0.365076529679228
1989,Fitted (in-sample),0.357134385369046
1990,Fitted (in-sample),0.349915838895505
1991,Fitted (in-sample),0.366359598228303
1992,Fitted (in-sample),0.378180351853827
1993,Fitted (in-sample),0.381831699187241
1994,Fitted (in-sample),0.377497455769346
1995,Fitted (in-sample),0.363663432111932
1996,Fitted (in-sample),0.358507816298326
1997,Fitted (in-sample),0.359191300839191
1998,Fitted (in-sample),0.352928472253393
1999,Fitted (in-sample),0.342912319705907
2000,Fitted (in-sample),0.33858160438826
2001,Fitted (in-sample),0.338024552953078
2002,Fitted (in-sample),0.345387631593128
2003,Fitted (in-sample),0.342282696136271
2004,Fitted (in-sample),0.34138158893815
2005,Fitted (in-sample),0.338089125240839
2006,Fitted (in-sample),0.338635151442587
2007,Fitted (in-sample),0.33603859315326
2008,Fitted (in-sample),0.335294422824302
2009,Fitted (in-sample),0.343806457470025
2010,Fitted (in-sample),0.34700654908474
2011,Fitted (in-sample),0.346785647009026
2012,Fitted (in-sample),0.347364800880325
2013,Fitted (in-sample),0.350316909389627
2014,Fitted (in-sample),0.356056171124696
2015,Fitted (in-sample),0.358279039807535
2016,Fitted (in-sample),0.355112547472027
2017,Fitted (in-sample),0.359297908235375
2018,Fitted (in-sample),0.359801150665248
2019,Fitted (in-sample),0.359314951561167
2020,Fitted (in-sample),0.363173297604895
2021,Fitted (in-sample),0.360668371884963
2022,Fitted (in-sample),0.362329243432987
2023,Fitted (in-sample),0.349239377388478
2024,Fitted (in-sample),0.344508415184234
2025,Projection (base),0.369876552197772
2026,Projection (base),0.372206604999956
2027,Projection (base),0.374285620118408
2028,Projection (base),0.375892649052779
2029,Projection (base),0.377121645251539
2030,Projection (base),0.378030133708379
2031,Projection (base),0.378956773977924
2032,Projection (base),0.37979422333401
2033,Projection (base),0.380630349285669
2034,Projection (base),0.381539424519098
2035,Projection (base),0.382303332145658
2036,Projection (base),0.383490215871458
2037,Projection (base),0.385128654887424
2038,Projection (base),0.386876007017638
2039,Projection (base),0.388329947596015
2040,Projection (base),0.389674528550183
2041,Projection (base),0.39085178679431
2042,Projection (base),0.391740859851974
2043,Projection (base),0.392575276868293
2044,Projection (base),0.393477904941709
2045,Projection (base),0.394464258563783
2046,Projection (base),0.395452043850506
2047,Projection (base),0.396192894101035
2048,Projection (base),0.396865551664373
2049,Projection (base),0.397564651912033
2050,Projection (base),0.398312852838131
2051,Projection (base),0.398761279014297
2052,Projection (base),0.39912296757779
2053,Projection (base),0.399386517342951
2054,Projection (base),0.39972515013003
2055,Projection (base),0.400403918810798
2056,Projection (base),0.400999382577624
2057,Projection (base),0.401273537608854
2058,Projection (base),0.401789639723824
2059,Projection (base),0.402566102652325
2060,Projection (base),0.403553461218305
2061,Projection (base),0.404795061013381
2062,Projection (base),0.406309121229012
2063,Projection (base),0.407862521375861
2064,Projection (base),0.409331651212745
2065,Projection (base),0.410779192491006
2066,Projection (base),0.412071900500309
2067,Projection (base),0.413372923263901
2068,Projection (base),0.414613608365536
2069,Projection (base),0.415703426113489
2070,Projection (base),0.416645511482224
2071,Projection (base),0.417579766507735
