J1 MARKET ECONOMISTS' FORECASTS,,,,,,
Title,Target quarter,Terms of trade forecasts – median,Terms of trade forecasts – mean,Terms of trade forecasts – low,Terms of trade forecasts – high,Terms of trade forecasts – number of responses
Description,Target quarter of market economists’ forecasts,Survey measure of market economists' terms of trade growth forecasts; Median forecast for year-ended growth in target quarter; Year-ended,Survey measure of market economists' terms of trade growth forecasts; Mean forecast for year-ended growth in target quarter; Year-ended,Survey measure of market economists' terms of trade growth forecasts; Lowest forecast for year-ended growth in target quarter; Year-ended,Survey measure of market economists' terms of trade growth forecasts; Highest forecast for year-ended growth in target quarter; Year-ended,Number of responses at the target quarter
Frequency,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly
Type,Original,Original,Original,Original,Original,Original
Units,Date,Per cent ,Per cent ,Per cent ,Per cent ,Number
,,,,,,
,,,,,,
Source,RBA,RBA,RBA,RBA,RBA,RBA
Publication date,15-Aug-25,15-Aug-25,15-Aug-25,15-Aug-25,15-Aug-25,15-Aug-25
Series ID,JTTTQF,JTTFMED,JTTFMN,JTTFLO,JTTFHI,JTTFNR
1/8/2011,Dec-11,6.1,7.3,-3.3,18.3,13
1/8/2011,Jun-12,-1,-1,-7.4,7,13
1/8/2011,Dec-12,-2.1,-1.9,-8.5,5,13
1/8/2011,Jun-13,-1.5,-2.6,-16.5,3,9
1/8/2011,Dec-13,-0.5,-2.3,-13.1,3,9
1/11/2011,Dec-11,8.6,8.2,1,15.4,16
1/11/2011,Jun-12,-2.2,-2.8,-14,5.5,16
1/11/2011,Dec-12,-3.4,-3.3,-14.3,8.2,16
1/11/2011,Jun-13,-4,-2,-10.1,19,13
1/11/2011,Dec-13,-3.2,-2.2,-9.7,10,13
1/11/2011,Jun-14,-3.4,-1.6,-4.5,5,8
1/2/2012,Dec-11,9,9.1,5.1,13,13
1/2/2012,Jun-12,-6,-5.6,-12,2,13
1/2/2012,Dec-12,-5,-6.5,-12.8,-2.7,13
1/2/2012,Jun-13,-5,-4,-15,6.9,13
1/2/2012,Dec-13,-2.3,-0.7,-7.9,10,13
1/2/2012,Jun-14,-1.2,-0.6,-3.9,3,8
1/5/2012,Jun-12,-5.7,-6.2,-11,-2,16
1/5/2012,Dec-12,-5.7,-6.8,-13.9,-0.7,16
1/5/2012,Jun-13,-4.1,-3.1,-8.8,7,16
1/5/2012,Dec-13,-3.2,-2.1,-7.8,11,15
1/5/2012,Jun-14,-3.5,-3.4,-6.5,0,8
1/8/2012,Jun-12,-9.3,-9.2,-11.2,-5,10
