series,date,index
GDP per capita: Chain volume measures ;,1/03/2000,1
Real net national disposable income per capita: Chain volume measures ;,1/03/2000,1
GDP per capita: Chain volume measures ;,1/06/2000,1.006982157
Real net national disposable income per capita: Chain volume measures ;,1/06/2000,1.004009434
GDP per capita: Chain volume measures ;,1/09/2000,1.006483431
Real net national disposable income per capita: Chain volume measures ;,1/09/2000,1.007389937
GDP per capita: Chain volume measures ;,1/12/2000,0.999778344
Real net national disposable income per capita: Chain volume measures ;,1/12/2000,0.996305031
GDP per capita: Chain volume measures ;,1/03/2001,1.005430566
Real net national disposable income per capita: Chain volume measures ;,1/03/2001,1.001022013
GDP per capita: Chain volume measures ;,1/06/2001,1.011193616
Real net national disposable income per capita: Chain volume measures ;,1/06/2001,1.002358491
GDP per capita: Chain volume measures ;,1/09/2001,1.020059847
Real net national disposable income per capita: Chain volume measures ;,1/09/2001,1.020440252
GDP per capita: Chain volume measures ;,1/12/2001,1.028981492
Real net national disposable income per capita: Chain volume measures ;,1/12/2001,1.028144654
GDP per capita: Chain volume measures ;,1/03/2002,1.034245816
Real net national disposable income per capita: Chain volume measures ;,1/03/2002,1.039308176
GDP per capita: Chain volume measures ;,1/06/2002,1.049096753
Real net national disposable income per capita: Chain volume measures ;,1/06/2002,1.049842767
GDP per capita: Chain volume measures ;,1/09/2002,1.048764269
Real net national disposable income per capita: Chain volume measures ;,1/09/2002,1.047877358
GDP per capita: Chain volume measures ;,1/12/2002,1.054471905
Real net national disposable income per capita: Chain volume measures ;,1/12/2002,1.055738994
GDP per capita: Chain volume measures ;,1/03/2003,1.053806938
Real net national disposable income per capita: Chain volume measures ;,1/03/2003,1.053459119
GDP per capita: Chain volume measures ;,1/06/2003,1.055026045
Real net national disposable income per capita: Chain volume measures ;,1/06/2003,1.055581761
GDP per capita: Chain volume measures ;,1/09/2003,1.069987809
Real net national disposable income per capita: Chain volume measures ;,1/09/2003,1.078773585
GDP per capita: Chain volume measures ;,1/12/2003,1.085115815
Real net national disposable income per capita: Chain volume measures ;,1/12/2003,1.097798742
GDP per capita: Chain volume measures ;,1/03/2004,1.090546381
Real net national disposable income per capita: Chain volume measures ;,1/03/2004,1.110298742
GDP per capita: Chain volume measures ;,1/06/2004,1.095810706
Real net national disposable income per capita: Chain volume measures ;,1/06/2004,1.119103774
GDP per capita: Chain volume measures ;,1/09/2004,1.099855924
Real net national disposable income per capita: Chain volume measures ;,1/09/2004,1.113050314
GDP per capita: Chain volume measures ;,1/12/2004,1.105064834
Real net national disposable income per capita: Chain volume measures ;,1/12/2004,1.115487421
GDP per capita: Chain volume measures ;,1/03/2005,1.110661642
Real net national disposable income per capita: Chain volume measures ;,1/03/2005,1.128616352
GDP per capita: Chain volume measures ;,1/06/2005,1.112046991
Real net national disposable income per capita: Chain volume measures ;,1/06/2005,1.14740566
GDP per capita: Chain volume measures ;,1/09/2005,1.120192841
Real net national disposable income per capita: Chain volume measures ;,1/09/2005,1.152515723
GDP per capita: Chain volume measures ;,1/12/2005,1.125678821
Real net national disposable income per capita: Chain volume measures ;,1/12/2005,1.162185535
GDP per capita: Chain volume measures ;,1/03/2006,1.12257564
Real net national disposable income per capita: Chain volume measures ;,1/03/2006,1.166194969
GDP per capita: Chain volume measures ;,1/06/2006,1.121633603
Real net national disposable income per capita: Chain volume measures ;,1/06/2006,1.160455975
GDP per capita: Chain volume measures ;,1/09/2006,1.133603015
Real net national disposable income per capita: Chain volume measures ;,1/09/2006,1.170990566
GDP per capita: Chain volume measures ;,1/12/2006,1.142912557
Real net national disposable income per capita: Chain volume measures ;,1/12/2006,1.187814465
GDP per capita: Chain volume measures ;,1/03/2007,1.15294248
Real net national disposable income per capita: Chain volume measures ;,1/03/2007,1.208805031
GDP per capita: Chain volume measures ;,1/06/2007,1.154660313
Real net national disposable income per capita: Chain volume measures ;,1/06/2007,1.206289308
GDP per capita: Chain volume measures ;,1/09/2007,1.16319406
Real net national disposable income per capita: Chain volume measures ;,1/09/2007,1.214465409
GDP per capita: Chain volume measures ;,1/12/2007,1.161919539
Real net national disposable income per capita: Chain volume measures ;,1/12/2007,1.216116352
GDP per capita: Chain volume measures ;,1/03/2008,1.1681259
Real net national disposable income per capita: Chain volume measures ;,1/03/2008,1.235062893
GDP per capita: Chain volume measures ;,1/06/2008,1.165576859
Real net national disposable income per capita: Chain volume measures ;,1/06/2008,1.257625786
GDP per capita: Chain volume measures ;,1/09/2008,1.167073036
Real net national disposable income per capita: Chain volume measures ;,1/09/2008,1.284827044
GDP per capita: Chain volume measures ;,1/12/2008,1.155934833
Real net national disposable income per capita: Chain volume measures ;,1/12/2008,1.259040881
GDP per capita: Chain volume measures ;,1/03/2009,1.161531641
Real net national disposable income per capita: Chain volume measures ;,1/03/2009,1.249685535
GDP per capita: Chain volume measures ;,1/06/2009,1.163415715
Real net national disposable income per capita: Chain volume measures ;,1/06/2009,1.205424528
GDP per capita: Chain volume measures ;,1/09/2009,1.162473678
Real net national disposable income per capita: Chain volume measures ;,1/09/2009,1.205110063
GDP per capita: Chain volume measures ;,1/12/2009,1.167405519
Real net national disposable income per capita: Chain volume measures ;,1/12/2009,1.208647799
GDP per capita: Chain volume measures ;,1/03/2010,1.168181314
Real net national disposable income per capita: Chain volume measures ;,1/03/2010,1.226572327
GDP per capita: Chain volume measures ;,1/06/2010,1.171007425
Real net national disposable income per capita: Chain volume measures ;,1/06/2010,1.279009434
GDP per capita: Chain volume measures ;,1/09/2010,1.175551369
Real net national disposable income per capita: Chain volume measures ;,1/09/2010,1.278537736
GDP per capita: Chain volume measures ;,1/12/2010,1.181148177
Real net national disposable income per capita: Chain volume measures ;,1/12/2010,1.287185535
GDP per capita: Chain volume measures ;,1/03/2011,1.17444309
Real net national disposable income per capita: Chain volume measures ;,1/03/2011,1.294889937
GDP per capita: Chain volume measures ;,1/06/2011,1.18386346
