COUNTRY,Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
United States,Gross,,,,,,,,,,,,,,,,,,,,,,53.485,55.859,58.956,66.439,65.778,64.531,64.948,73.845,87.07,95.644,100.02,103.659,105.003,104.93,105.424,107.38,106.374,107.625,108.751,132.513,125.009,119.104,119.836,122.322,125.05,128.749,132.693,136.643,140.133,143.394
United States,Net,,,,,,,,,,,,,,,,,,,,,,34.447,36.675,38.815,47.375,45.949,44.385,44.046,50.277,61.363,67.881,74.224,78.22,79.106,79.766,80.082,81.07,79.231,79.967,81.651,96.128,95.891,91.98,94.474,97.397,99.633,102.977,106.556,110.228,113.576,116.801
United Kingdom,Net,41.821,44.083,43.862,42.408,42.926,42.592,41.505,38.634,34.833,29.364,26.136,25.225,26.716,31.086,36.231,40.212,43.234,40.272,38.311,37.068,31.755,30.544,31.317,32.961,35.902,37.083,37.678,38.079,45.022,58.223,68.767,73.205,76.03,77.077,78.9,79.346,78.826,77.224,76.564,75.771,93.123,91.65,89.811,91.784,93.684,94.562,95.855,96.417,96.82,96.85,96.444
United Kingdom,Gross,42.517,44.725,43.003,41.817,42.212,41.285,41.277,39.282,37.075,32.533,28.48,28.481,33.227,37.96,40.724,43.653,43.714,44.132,41.97,40.41,37.686,34.958,35.434,36.764,39.802,41,42.058,43.174,50.827,64.915,75.86,81.425,84.483,85.316,87.094,87.867,87.825,86.723,86.345,85.657,105.84,105.131,99.614,100.354,101.227,103.361,104.774,105.388,105.828,105.861,105.417
France,Gross,21.299,22.64,26.201,27.733,30.191,31.851,32.396,34.755,34.667,35.526,36.791,37.772,41.705,48.158,51.58,57.802,60.595,61.985,62.103,61.42,59.721,59.324,61.255,65.363,66.877,68.188,65.4,65.479,69.819,84.057,86.279,88.748,91.74,94.546,96.14,96.943,98.126,98.722,98.49,98.104,114.907,112.786,111.366,109.623,113.148,116.505,119.556,122.135,124.551,126.967,129.43
France,Net,,,,13.353,15.375,23.023,25.767,24.982,25.134,25.256,26.051,28.622,31.61,36.189,42.126,46.779,50.145,51.16,51.607,51.572,50.654,50.625,52.321,56.136,57.744,59.828,58.9,59.054,61.508,71.483,75.353,78.147,82.01,85.014,87.666,88.621,89.873,89.458,89.421,88.989,101.606,100.534,101.078,101.491,104.851,108.207,111.258,113.837,116.253,118.67,121.132
Japan,Net,17.424,21.082,25.384,30.049,32.449,33.771,36.592,33.831,28.491,22.396,19.101,17.296,19.394,23.668,29.581,34.295,39.122,44.923,54.211,63.403,67.769,74.571,83.505,89.534,94.205,94.056,93.138,94.401,105.661,120.292,128.896,139.919,143.992,142.752,144.937,144.447,149.496,148.072,151.144,151.624,161.958,156.025,149.483,136.318,133.883,130.131,128.858,128.049,127.972,128.585,129.889
Japan,Gross,47.776,52.815,57.73,63.511,65.602,68.31,74.079,75.833,71.944,65.674,63.233,62.385,66.766,72.838,84.361,92.526,98.054,104.971,116.02,129.501,135.609,145.124,154.096,160.021,169.49,174.595,174.143,172.951,180.851,198.807,205.879,219.162,226.093,229.451,233.281,228.278,232.421,231.321,232.38,236.381,258.369,253.652,248.246,240.461,236.108,229.572,226.818,224.46,222.942,222.178,222.163
New Zealand,Gross,,,,,,64.132,68.484,62.887,54.703,54.902,55.512,58.005,58.679,54.584,48.917,43.482,37.258,34.643,34.476,31.996,30.025,28.16,26.396,24.718,22.505,20.781,18.401,16.31,18.97,24.274,29.601,34.677,35.662,34.547,34.151,34.167,33.341,31.098,28.08,31.814,43.242,47.521,46.882,46.918,50.243,53.235,56.143,57.629,56.975,55.227,52.997
New Zealand,Net,,,,,153.315,125.709,102.722,76.967,64.607,59.611,58.115,67.43,71.006,63.263,52.54,42.752,35.583,32.094,31.211,29.061,30.291,27.098,23.175,18.443,12.882,7.502,2.843,-0.75,-2.178,-1.018,2.489,6.583,8.506,8.606,7.93,7.335,6.623,5.547,4.717,6.861,10.342,13.953,17.982,19.356,21,23.283,25.438,26.747,26.839,25.87,24.641
Australia,Gross,,,,,,,,,,17.016,16.407,21.607,27.632,30.665,31.709,31.143,29.345,25.907,23.698,22.544,19.495,17.106,15.01,13.186,11.907,10.858,9.938,9.665,11.742,16.622,20.35,24.041,27.521,30.467,34.036,37.726,40.621,41.196,41.758,46.72,57.077,55.516,50.213,49.582,50.715,51.037,50.733,50.511,50.163,49.761,49.359
Australia,Net,,,,,,,,,,9.919,9.564,12.595,18.217,22.052,23.232,23.075,21.321,18.179,14.627,11.027,7.121,4.683,2.758,0.753,-1.227,-3.802,-6.305,-7.258,-5.293,1.224,6.302,10.569,13.789,16.021,19.057,22.091,23.385,23.317,24.101,27.868,36.065,35.609,31.477,31.106,32.174,32.52,32.361,32.015,31.641,31.359,30.946
