STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,SECTOR,Institutional sector,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,TABLE_IDENTIFIER,Table identifier,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,TUR,Türkiye,FS1_B9F,Net financial transactions of total economy,PT_B1GQ,Percentage of GDP,2014,,-3.2199151,,S1,Total economy,N,Net (assets minus liabilities),F,Transactions in financial assets and liabilities,B9F,Net financial transactions,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,TUR,Türkiye,FS1_B9F,Net financial transactions of total economy,PT_B1GQ,Percentage of GDP,2015,,-0.43278702,,S1,Total economy,N,Net (assets minus liabilities),F,Transactions in financial assets and liabilities,B9F,Net financial transactions,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,TUR,Türkiye,FS1_B9F,Net financial transactions of total economy,PT_B1GQ,Percentage of GDP,2016,,0.53709192,,S1,Total economy,N,Net (assets minus liabilities),F,Transactions in financial assets and liabilities,B9F,Net financial transactions,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,SWE,Sweden,FS1_B9F,Net financial transactions of total economy,PT_B1GQ,Percentage of GDP,2014,,-2.0764868,,S1,Total economy,N,Net (assets minus liabilities),F,Transactions in financial assets and liabilities,B9F,Net financial transactions,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUS,Australia,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2020,,-50.404924,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,USA,United States,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2002,,-16.656144,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,ZAF,South Africa,FS1_B9F,Net financial transactions of total economy,PT_B1GQ,Percentage of GDP,2002,,0.6994302,,S1,Total economy,N,Net (assets minus liabilities),F,Transactions in financial assets and liabilities,B9F,Net financial transactions,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,ZAF,South Africa,FS1_B9F,Net financial transactions of total economy,PT_B1GQ,Percentage of GDP,2003,,-0.82340392,,S1,Total economy,N,Net (assets minus liabilities),F,Transactions in financial assets and liabilities,B9F,Net financial transactions,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,SVN,Slovenia,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2018,,-20.889774,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUS,Australia,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2023,,-30.713421,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUS,Australia,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2024,,-24.5651,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUS,Australia,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2008,,-55.91946,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUS,Australia,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2009,,-58.326702,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUS,Australia,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2010,,-53.207868,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUS,Australia,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2011,,-53.617553,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUS,Australia,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2012,,-53.972787,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUS,Australia,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2013,,-52.475938,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUS,Australia,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2014,,-53.566048,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUT,Austria,FS1_B9F,Net financial transactions of total economy,PT_B1GQ,Percentage of GDP,1995,,-3.0100559,,S1,Total economy,N,Net (assets minus liabilities),F,Transactions in financial assets and liabilities,B9F,Net financial transactions,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,AUS,Australia,FS1_B9F,Net financial transactions of total economy,PT_B1GQ,Percentage of GDP,1995,,-4.8065199,,S1,Total economy,N,Net (assets minus liabilities),F,Transactions in financial assets and liabilities,B9F,Net financial transactions,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,BEL,Belgium,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,1999,,104.39475,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,BEL,Belgium,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2000,,92.888741,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,BEL,Belgium,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2001,,79.57409,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,BEL,Belgium,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2021,,70.191945,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.SDD.NAD:DSD_FIN_DASH@DF_FIN_DASH_S1(1.0),Financial indicators dashboard: Total economy,I,A,Annual,BEL,Belgium,LES1_BF90,Net financial worth of total economy,PT_B1GQ,Percentage of GDP,2022,,57.876704,,S1,Total economy,N,Net (assets minus liabilities),LE,Closing balance sheet/positions/stocks,BF90,Net financial worth,,,,,2,Two,A,Normal value,0,Units,,
