year,pop_total,0_14,15_34,35_54,55_64,65_74,75p,65p
1971,13067265,0.286768271707966,0.310949996039722,0.232155695931781,0.0866829439825396,0.0534172223491297,0.0300258699888615,0.0834430923379912
1972,13303664,0.285089130332817,0.314032134305256,0.230030538955283,0.0867881960939483,0.0540057235360123,0.0300542767766835,0.0840600003126958
1973,13504538,0.282331761367919,0.317196115853797,0.228752734821436,0.0866599805191411,0.0549202053413453,0.030139202096362,0.0850594074377072
1974,13722571,0.278683928835202,0.320980011690229,0.227949777049796,0.0863121786726409,0.0558386617201689,0.0302354420319633,0.0860741037521322
1975,13892995,0.274931647207819,0.324049997858633,0.226814736491304,0.0869965043534529,0.0562487786110914,0.0309583354776994,0.0872071140887908
1976,14033083,0.269869065835355,0.327284460585033,0.225502906239491,0.0880668916445517,0.0573347282275748,0.031941947467994,0.0892766756955688
1977,14192234,0.26519045556887,0.331229882483617,0.22399933653856,0.0888558489100448,0.0584925530399231,0.0322319234589847,0.0907244764989078
1978,14359255,0.260672785600646,0.334672237522072,0.222700759893184,0.0895530443605884,0.0597014956555894,0.0326996769679207,0.0924011726235101
1979,14515729,0.256165914918913,0.336963648191558,0.222616239253296,0.0898925572391163,0.0610849789218302,0.0332766614752866,0.0943616403971168
1980,14695356,0.25252834977254,0.338004673040925,0.22295689876448,0.0903384035065227,0.0621752885741591,0.0339963863413721,0.0961716749155311
1981,14923260,0.249646524955003,0.338788910733982,0.22335267227134,0.0907131551685088,0.0628331879227461,0.0346655489484201,0.0974987368711662
1982,15184247,0.246636267178741,0.336177618817713,0.227438015200886,0.091042644393232,0.0632817024117166,0.0354237519977118,0.0987054544094284
1983,15393472,0.243676020588468,0.333823454513706,0.230702339277325,0.0920312194675769,0.0634038246862047,0.0363631414667204,0.0997669661529251
1984,15579391,0.239791465532895,0.332291743624638,0.233897075951172,0.0930025441944425,0.0635175662514665,0.0374996044453856,0.101017170696852
1985,15788312,0.235968290973728,0.331024557913474,0.237381551618691,0.0929528755195616,0.0640143164133063,0.038658407561239,0.102672723974545
1986,16018350,0.230954998486111,0.330970730443523,0.240982810339392,0.0920799582978272,0.0651345488143286,0.0398769536188184,0.105011502433147
1987,16263874,0.226719906954518,0.331230677266683,0.244643803807137,0.0904638710309733,0.0661065746082391,0.0408351663324495,0.106941740940689
