year,gfs_net_lending_borrowing,gfs_net_operating_balance,interest_expenses_n_e_c,taxation_revenue,total_gfs_expenses,total_gfs_revenue,total_net_acquisition_of_non_financial_assets,gdp_nom,gfs_net_lending_borrowing_gdp,gfs_net_operating_balance_gdp,interest_expenses_n_e_c_gdp,taxation_revenue_gdp,total_gfs_expenses_gdp,total_gfs_revenue_gdp,total_net_acquisition_of_non_financial_assets_gdp
2016,-43984,-22502,24528,463665,598472,575970,21481,1664285,-0.0264281658489982,-0.0135205208242579,0.0147378604025152,0.278597115277732,0.359597064204749,0.346076543380491,0.0129070441661134
2017,-38345,-13548,24348,486822,621268,607720,24796,1764037,-0.0217370724083452,-0.00768011101807955,0.0138024315816505,0.275970401981364,0.352185356656351,0.344505245638272,0.014056394508732
2018,-23601,10222,25401,528795,645024,655246,33823,1848885,-0.0127649907917475,0.00552873759049373,0.013738550531807,0.286007512635994,0.348871887651206,0.3544006252417,0.0182937283822412
2019,-23578,16590,25590,560057,677450,694040,40169,1954549,-0.0120631409087211,0.00848789158010365,0.0130925343902865,0.28654027092695,0.346601696862038,0.355089588442142,0.0205515441158037
2020,-151561,-108051,25544,551751,789710,681658,43509,1987488,-0.0762575673412871,-0.054365611264068,0.0128524046434494,0.277612242187123,0.397340763818448,0.342974649406688,0.0218914529295271
2021,-192681,-145387,25810,593105,873409,728022,47294,2090282,-0.0921794284216197,-0.0695537731272623,0.0123476162546489,0.283744011573558,0.41784266429123,0.348288891163967,0.0226256552943574
2022,-87611,-34754,28255,683329,866274,831520,52856,2339611,-0.0374468234249198,-0.0148546061717097,0.0120767939627571,0.292069493603851,0.370264116556128,0.355409510384419,0.0225917898317284
2023,-22612,37926,36498,755519,885420,923346,60538,2576108,-0.00877758230633188,0.0147222088514923,0.0141678842657218,0.293279241398264,0.343704534126675,0.358426742978167,0.0234997911578241
2024,-45112,18447,42340,801555,959733,978180,63559,2680474,-0.0168298591965451,0.00688199176712775,0.0157957137431663,0.299034797576847,0.358046002311531,0.364927994078659,0.0237118509636728
2025,-69329,-8159,47429,838974,1030511,1022351,61169,2776242,-0.024972246655731,-0.00293886483959251,0.017083885338526,0.302197719074922,0.371189183075539,0.368249958036799,0.0220330216169916
