year,item,value,gdp_nom,share_gdp
2016,General public services,70072,1664285,0.042103365709599
2016,Defence,29353,1664285,0.0176370032776838
2016,Public order and safety,29752,1664285,0.017876745869848
2016,Economic affairs,28510,1664285,0.0171304794551414
2016,Environmental Protection,12177,1664285,0.00731665550071052
2016,Housing and community amenities,7999,1664285,0.00480626815719663
2016,Health,115990,1664285,0.0696935921431726
2016,"Recreation, culture and religion",12215,1664285,0.00733948812853568
2016,Education,91253,1664285,0.054830152287619
2016,Social Protection,174277,1664285,0.104715838933836
2016,Transport,26873,1664285,0.0161468738827785
2017,General public services,71261,1764037,0.0403965449704286
2017,Defence,31512,1764037,0.0178635708888192
2017,Public order and safety,31069,1764037,0.0176124423694061
2017,Economic affairs,28972,1764037,0.0164236917933127
2017,Environmental Protection,13415,1764037,0.00760471577410224
2017,Housing and community amenities,7902,1764037,0.00447949787901274
2017,Health,123981,1764037,0.0702825394251935
2017,"Recreation, culture and religion",12718,1764037,0.00720959934513845
2017,Education,95359,1764037,0.0540572561686631
2017,Social Protection,176431,1764037,0.100015475865869
2017,Transport,28649,1764037,0.0162405890579393
2018,General public services,69969,1848885,0.0378438896956814
2018,Defence,32172,1848885,0.0174007577539977
2018,Public order and safety,32937,1848885,0.017814520643523
2018,Economic affairs,30428,1848885,0.0164574865391844
2018,Environmental Protection,14890,1848885,0.0080535025163815
2018,Housing and community amenities,8565,1848885,0.00463252176311669
2018,Health,131993,1848885,0.0713905948720445
2018,"Recreation, culture and religion",14071,1848885,0.0076105328346544
2018,Education,99613,1848885,0.0538773368814177
2018,Social Protection,179799,1848885,0.0972472598349816
2018,Transport,30588,1848885,0.0165440251827453
2019,General public services,71809,1954549,0.0367394217284908
2019,Defence,34709,1954549,0.0177580608109595
2019,Public order and safety,35532,1954549,0.0181791298146017
2019,Economic affairs,31062,1954549,0.0158921572188776
2019,Environmental Protection,15501,1954549,0.00793072980007153
2019,Housing and community amenities,9606,1954549,0.00491468875940179
2019,Health,138537,1954549,0.070879266777144
2019,"Recreation, culture and religion",14344,1954549,0.00733877738547358
2019,Education,105129,1954549,0.0537868326657454
2019,Social Protection,189641,1954549,0.0970254519073198
2019,Transport,31579,1954549,0.0161566683669737
2020,General public services,72017,1987488,0.0362351873319487
2020,Defence,39442,1987488,0.0198451512663221
2020,Public order and safety,38442,1987488,0.0193420035743612
2020,Economic affairs,84649,1987488,0.0425909489767989
2020,Environmental Protection,17127,1987488,0.00861741052021446
2020,Housing and community amenities,10123,1987488,0.00509336408572027
2020,Health,147932,1987488,0.074431644367161
2020,"Recreation, culture and religion",14831,1987488,0.00746218341947222
2020,Education,114021,1987488,0.0573694029850746
2020,Social Protection,217427,1987488,0.109397893219984
2020,Transport,33699,1987488,0.0169555740713906
2021,General public services,68014,2090282,0.0325381934112239
2021,Defence,40659,2090282,0.0194514424369535
2021,Public order and safety,41245,2090282,0.0197317873856255
2021,Economic affairs,117751,2090282,0.056332590530847
2021,Environmental Protection,18429,2090282,0.00881651375268983
2021,Housing and community amenities,11858,2090282,0.00567291877363916
2021,Health,161739,2090282,0.0773766410465191
2021,"Recreation, culture and religion",15733,2090282,0.00752673562705893
2021,Education,116203,2090282,0.0555920205981777
2021,Social Protection,244216,2090282,0.11683399656123
2021,Transport,37561,2090282,0.0179693457629162
2022,General public services,78537,2339611,0.0335684009008335
2022,Defence,44447,2339611,0.0189976025929097
2022,Public order and safety,43339,2339611,0.018524019591291
2022,Economic affairs,58310,2339611,0.0249229465924036
2022,Environmental Protection,19300,2339611,0.00824923459498181
2022,Housing and community amenities,13060,2339611,0.0055821245497649
2022,Health,181358,2339611,0.0775163050609695
2022,"Recreation, culture and religion",17038,2339611,0.00728240720359068
2022,Education,123827,2339611,0.0529263198027364
2022,Social Protection,247028,2339611,0.105585073757988
2022,Transport,40030,2339611,0.0171096819086592
2023,General public services,91956,2576108,0.0356957084097406
2023,Defence,45356,2576108,0.0176064047004241
2023,Public order and safety,46109,2576108,0.0178987061101476
2023,Economic affairs,44733,2576108,0.0173645670134948
2023,Environmental Protection,21564,2576108,0.00837076706411377
2023,Housing and community amenities,12404,2576108,0.00481501551953567
2023,Health,182848,2576108,0.0709783906575346
2023,"Recreation, culture and religion",18363,2576108,0.0071281949359266
2023,Education,130589,2576108,0.0506923622767368
2023,Social Protection,249131,2576108,0.0967082901803806
2023,Transport,42369,2576108,0.0164469036236058
2024,General public services,103144,2680474,0.0384797614153318
2024,Defence,48398,2680474,0.0180557617794465
2024,Public order and safety,49101,2680474,0.0183180288262449
2024,Economic affairs,46549,2680474,0.0173659584088486
2024,Environmental Protection,21275,2680474,0.00793702904784751
2024,Housing and community amenities,13924,2680474,0.00519460364099782
2024,Health,192697,2680474,0.0718891509486755
2024,"Recreation, culture and religion",18698,2680474,0.00697563192181681
2024,Education,139467,2680474,0.0520307229243783
2024,Social Protection,282956,2680474,0.105561926733854
2024,Transport,43524,2680474,0.01623742666409
2025,General public services,111460,2776242,0.0401477969139578
2025,Defence,50175,2776242,0.0180729921959253
2025,Public order and safety,52774,2776242,0.0190091497787297
2025,Economic affairs,46365,2776242,0.0167006334462197
2025,Environmental Protection,20777,2776242,0.00748385767523148
2025,Housing and community amenities,13903,2776242,0.00500784873941105
2025,Health,207743,2776242,0.0748288513753484
2025,"Recreation, culture and religion",19971,2776242,0.00719353716282658
2025,Education,148441,2776242,0.0534683215656272
2025,Social Protection,311746,2776242,0.112290643250841
2025,Transport,47156,2776242,0.0169855509714211
