item,value,year
Taxation revenue,463665,2016
Current grants and subsidies,0,2016
Sales of goods and services,52550,2016
Interest income,9157,2016
Dividend income,14618,2016
Royalty income,9070,2016
Other revenue,26909,2016
Total GFS revenue,575970,2016
Depreciation,29466,2016
Superannuation expenses,21211,2016
Other employee expenses,144042,2016
Social benefits to households in goods and services,70300,2016
Other non-employee expenses,110911,2016
Total gross operating expenses,375930,2016
Interest on defined benefit superannuation,13561,2016
Interest expenses n.e.c.,24528,2016
Other property expenses,1,2016
Grant expenses to state governments,0,2016
Grant expenses to universities,0,2016
Grant expenses to local governments,0,2016
Grant expenses n.e.c.,3630,2016
Subsidy expenses to public corporations,6601,2016
Other subsidy expenses,13934,2016
Other current transfers,153938,2016
Capital transfer expenses,6350,2016
Total GFS expenses,598472,2016
GFS Net operating balance,-22502,2016
Gross fixed capital formation,48805,2016
less Depreciation,-29466,2016
plus Change in inventories,501,2016
plus Other transactions in non-financial assets,1641,2016
Total net acquisition of non-financial assets,21481,2016
GFS Net Lending(+)/Borrowing(-),-43984,2016
Taxation revenue,486822,2017
Current grants and subsidies,0,2017
Sales of goods and services,54937,2017
Interest income,9076,2017
Dividend income,16217,2017
Royalty income,12356,2017
Other revenue,28313,2017
Total GFS revenue,607720,2017
Depreciation,31294,2017
Superannuation expenses,23338,2017
Other employee expenses,149515,2017
Social benefits to households in goods and services,77062,2017
Other non-employee expenses,118264,2017
Total gross operating expenses,399472,2017
Interest on defined benefit superannuation,12096,2017
Interest expenses n.e.c.,24348,2017
Other property expenses,2,2017
Grant expenses to state governments,0,2017
Grant expenses to universities,0,2017
Grant expenses to local governments,0,2017
Grant expenses n.e.c.,4125,2017
Subsidy expenses to public corporations,6815,2017
Other subsidy expenses,14066,2017
Other current transfers,153340,2017
Capital transfer expenses,7003,2017
Total GFS expenses,621268,2017
GFS Net operating balance,-13548,2017
Gross fixed capital formation,58292,2017
less Depreciation,-31294,2017
plus Change in inventories,367,2017
plus Other transactions in non-financial assets,-2569,2017
Total net acquisition of non-financial assets,24796,2017
GFS Net Lending(+)/Borrowing(-),-38345,2017
Taxation revenue,528795,2018
Current grants and subsidies,0,2018
Sales of goods and services,58234,2018
Interest income,9332,2018
Dividend income,17683,2018
Royalty income,13198,2018
Other revenue,28004,2018
Total GFS revenue,655246,2018
Depreciation,32377,2018
Superannuation expenses,22134,2018
Other employee expenses,157271,2018
Social benefits to households in goods and services,83837,2018
Other non-employee expenses,123864,2018
Total gross operating expenses,419484,2018
Interest on defined benefit superannuation,13260,2018
Interest expenses n.e.c.,25401,2018
Other property expenses,3,2018
Grant expenses to state governments,0,2018
Grant expenses to universities,0,2018
Grant expenses to local governments,0,2018
Grant expenses n.e.c.,3556,2018
Subsidy expenses to public corporations,7211,2018
Other subsidy expenses,13731,2018
Other current transfers,153785,2018
Capital transfer expenses,8593,2018
Total GFS expenses,645024,2018
GFS Net operating balance,10222,2018
Gross fixed capital formation,64350,2018
less Depreciation,-32377,2018
plus Change in inventories,617,2018
plus Other transactions in non-financial assets,1233,2018
Total net acquisition of non-financial assets,33823,2018
GFS Net Lending(+)/Borrowing(-),-23601,2018
Taxation revenue,560057,2019
Current grants and subsidies,0,2019
Sales of goods and services,61302,2019
Interest income,9605,2019
Dividend income,18693,2019
Royalty income,16417,2019
Other revenue,27966,2019
Total GFS revenue,694040,2019
Depreciation,33597,2019
Superannuation expenses,24066,2019
Other employee expenses,166243,2019
Social benefits to households in goods and services,93184,2019
Other non-employee expenses,132311,2019
Total gross operating expenses,449402,2019
Interest on defined benefit superannuation,13575,2019
Interest expenses n.e.c.,25590,2019
Other property expenses,3,2019
Grant expenses to state governments,0,2019
Grant expenses to universities,0,2019
Grant expenses to local governments,0,2019
Grant expenses n.e.c.,3806,2019
Subsidy expenses to public corporations,7535,2019
Other subsidy expenses,13525,2019
Other current transfers,156036,2019
Capital transfer expenses,7978,2019
Total GFS expenses,677450,2019
GFS Net operating balance,16590,2019
Gross fixed capital formation,71618,2019
less Depreciation,-33597,2019
plus Change in inventories,679,2019
plus Other transactions in non-financial assets,1469,2019
Total net acquisition of non-financial assets,40169,2019
GFS Net Lending(+)/Borrowing(-),-23578,2019
Taxation revenue,551751,2020
Current grants and subsidies,0,2020
Sales of goods and services,59433,2020
Interest income,8702,2020
Dividend income,17184,2020
Royalty income,16612,2020
Other revenue,27976,2020
Total GFS revenue,681658,2020
Depreciation,34811,2020
Superannuation expenses,28542,2020
Other employee expenses,176495,2020
Social benefits to households in goods and services,105589,2020
Other non-employee expenses,142349,2020
Total gross operating expenses,487786,2020
Interest on defined benefit superannuation,10099,2020
Interest expenses n.e.c.,25544,2020
Other property expenses,4,2020
Grant expenses to state governments,0,2020
Grant expenses to universities,0,2020
Grant expenses to local governments,0,2020
Grant expenses n.e.c.,3918,2020
Subsidy expenses to public corporations,8123,2020
Other subsidy expenses,65768,2020
Other current transfers,177959,2020
Capital transfer expenses,10509,2020
Total GFS expenses,789710,2020
GFS Net operating balance,-108051,2020
Gross fixed capital formation,74000,2020
less Depreciation,-34811,2020
plus Change in inventories,2814,2020
plus Other transactions in non-financial assets,1506,2020
Total net acquisition of non-financial assets,43509,2020
GFS Net Lending(+)/Borrowing(-),-151561,2020
Taxation revenue,593105,2021
Current grants and subsidies,0,2021
Sales of goods and services,58937,2021
Interest income,7116,2021
Dividend income,20070,2021
Royalty income,17759,2021
Other revenue,31036,2021
Total GFS revenue,728022,2021
Depreciation,35675,2021
Superannuation expenses,29139,2021
Other employee expenses,183831,2021
Social benefits to households in goods and services,119936,2021
Other non-employee expenses,148286,2021
Total gross operating expenses,516867,2021
Interest on defined benefit superannuation,8969,2021
Interest expenses n.e.c.,25810,2021
Other property expenses,3,2021
Grant expenses to state governments,0,2021
Grant expenses to universities,0,2021
Grant expenses to local governments,0,2021
Grant expenses n.e.c.,4415,2021
Subsidy expenses to public corporations,9983,2021
Other subsidy expenses,97474,2021
Other current transfers,195786,2021
Capital transfer expenses,14102,2021
Total GFS expenses,873409,2021
GFS Net operating balance,-145387,2021
Gross fixed capital formation,76548,2021
less Depreciation,-35675,2021
plus Change in inventories,3449,2021
