year,gfce_nom,gfcf_nom,gfce_real,gdp_nom,gdp_real,income_payable_nom,interest_payable_total_nom,interest_payable_other_nom,interest_payable_unfunded_super_nom,broad_expenditure_including_interest_nom,broad_expenditure_excluding_other_interest_nom,broad_expenditure_excluding_total_interest_nom,gov_consumption_price,gdp_price,broad_expenditure_including_interest_gdp,broad_expenditure_excluding_other_interest_gdp,broad_expenditure_excluding_total_interest_gdp,interest_payable_total_gdp,interest_payable_other_gdp,interest_payable_unfunded_super_gdp,broad_expenditure_gdp,broad_expenditure_nom,topdown_interest_treatment,topdown_interest_treatment_label
1960,1843,607,47775,16630,328717,1179,398,289,111,3629,3340,3231,0.0385766614338043,0.0505906296297423,0.218220084185207,0.200841852074564,0.194287432351173,0.0239326518340349,0.0173782321106434,0.00667468430547204,0.200841852074564,3340,exclude_other_interest,Exclude conventional other interest
1961,1987,675,49529,17598,336872,1302,429,304,125,3964,3660,3535,0.0401179107189727,0.0522394262509202,0.225252869644278,0.207978179338561,0.200875099443119,0.0243777702011592,0.0172746903057166,0.00710307989544266,0.207978179338561,3660,exclude_other_interest,Exclude conventional other interest
1962,2131,707,51444,17818,341242,1471,463,337,128,4309,3972,3846,0.0414236840059093,0.0522151435051957,0.241834100347963,0.222920642047368,0.215849141317769,0.0259849590301942,0.0189134583005949,0.00718374677292626,0.222920642047368,3972,exclude_other_interest,Exclude conventional other interest
1963,2246,749,53546,19278,362447,1511,479,351,127,4506,4155,4027,0.0419452433421731,0.0531884661757443,0.233737939620293,0.215530656707127,0.208890963792925,0.024846975827368,0.0182072829131653,0.00658782031331051,0.215530656707127,4155,exclude_other_interest,Exclude conventional other interest
1964,2426,892,55210,21259,387737,1706,529,384,145,5024,4640,4495,0.0439413149791704,0.0548284017259122,0.236323439484454,0.218260501434686,0.211439860764853,0.0248835787196011,0.0180629380497672,0.00682064066983395,0.218260501434686,4640,exclude_other_interest,Exclude conventional other interest
1965,2764,1018,60238,23200,410913,1822,587,412,175,5604,5192,5017,0.0458846575251502,0.0564596398751074,0.241551724137931,0.223793103448276,0.21625,0.025301724137931,0.0177586206896552,0.00754310344827586,0.223793103448276,5192,exclude_other_interest,Exclude conventional other interest
1966,3124,1297,66287,24421,420698,2002,630,434,196,6423,5989,5793,0.0471283962164527,0.0580487665736467,0.263011342696859,0.245239752671881,0.237213873305761,0.0257974693910978,0.0177715900249785,0.00802587936611932,0.245239752671881,5989,exclude_other_interest,Exclude conventional other interest
1967,3475,1453,69829,27203,447231,2189,675,454,222,7117,6663,6442,0.0497644245227628,0.0608253900109787,0.261625556004852,0.244936220269823,0.236812116310701,0.0248134396941514,0.0166893357350292,0.0081608646105209,0.244936220269823,6663,exclude_other_interest,Exclude conventional other interest
1968,3977,1586,76222,29250,470018,2318,747,499,248,7881,7382,7134,0.0521765369578337,0.0622316592130514,0.269435897435897,0.252376068376068,0.243897435897436,0.0255384615384615,0.0170598290598291,0.00847863247863248,0.252376068376068,7382,exclude_other_interest,Exclude conventional other interest
1969,4269,1635,78664,32801,503144,2585,823,530,294,8489,7959,7666,0.0542687887725008,0.0651920722496939,0.25880308527179,0.242645041309716,0.233712386817475,0.0250906984543154,0.0161580439620743,0.00896314136764123,0.242645041309716,7959,exclude_other_interest,Exclude conventional other interest
1970,4860,1622,84613,36938,539243,2904,950,577,374,9386,8809,8436,0.0574379823431388,0.0684997301773041,0.254101467323623,0.238480697384807,0.228382695327305,0.0257187719963182,0.0156207699388164,0.0101250744490768,0.238480697384807,8809,exclude_other_interest,Exclude conventional other interest
1971,5616,1745,89011,40413,560816,3185,1035,613,422,10546,9933,9511,0.0630933255440339,0.0720610681578272,0.260955633088363,0.245787246678049,0.23534506223245,0.0256105708559127,0.0151683864103135,0.0104421844455992,0.245787246678049,9933,exclude_other_interest,Exclude conventional other interest
1972,6420,1932,92826,44545,582728,3635,1087,649,438,11987,11338,10900,0.0691616572942926,0.076442182287448,0.269098664272084,0.254529127848243,0.244696374452801,0.0244022898192839,0.0145695364238411,0.00983275339544281,0.254529127848243,11338,exclude_other_interest,Exclude conventional other interest
1973,7274,2145,95782,49852,597988,4302,1232,716,515,13721,13005,12489,0.0759432878829008,0.0833662213957471,0.275234694696301,0.260872181657707,0.250521543769558,0.0247131509267432,0.0143625130385942,0.0103305785123967,0.260872181657707,13005,exclude_other_interest,Exclude conventional other interest
1974,8722,2392,98200,60355,622544,5362,1536,779,757,16476,15697,14940,0.0888187372708758,0.0969489706751651,0.272984839698451,0.260077872587192,0.247535415458537,0.0254494242399138,0.0129069671112584,0.0125424571286555,0.260077872587192,15697,exclude_other_interest,Exclude conventional other interest
1975,11968,3332,106927,71329,630878,7278,1986,1065,920,22578,21513,20592,0.111926828583987,0.113063064491074,0.316533247346801,0.301602433792707,0.288690434465645,0.0278428128811563,0.0149308135540944,0.0128979797838186,0.301602433792707,21513,exclude_other_interest,Exclude conventional other interest
1976,14894,4115,115726,83401,647203,8966,2217,1107,1108,27975,26868,25758,0.128700551302214,0.128863741360902,0.335427632762197,0.322154410618578,0.308845217683241,0.0265824150789559,0.0132732221436194,0.0132852124075251,0.322154410618578,26868,exclude_other_interest,Exclude conventional other interest
1977,16792,4239,116466,96281,670454,11606,2947,1624,1322,32637,31013,29690,0.144179417168959,0.14360567615377,0.338976537426907,0.322109242737404,0.308368213873973,0.0306083235529336,0.0168672946895026,0.0137306425982281,0.322109242737404,31013,exclude_other_interest,Exclude conventional other interest
1978,18740,4504,119937,105269,676458,13389,3294,1912,1383,36633,34721,33339,0.156248697232714,0.155617939325132,0.347994186322659,0.329831194368713,0.316702922987774,0.0312912633348849,0.0181629919539466,0.0131377708537176,0.329831194368713,34721,exclude_other_interest,Exclude conventional other interest
1979,20619,4646,123906,118947,703864,15132,3857,2205,1652,40397,38192,36540,0.166408406372573,0.168991452894309,0.339621848386256,0.321084180349231,0.307195641756413,0.0324262066298435,0.0185376680370249,0.0138885385928187,0.321084180349231,38192,exclude_other_interest,Exclude conventional other interest
1980,23164,4792,126703,134745,725223,16928,4701,2536,2165,44884,42348,40183,0.182821243380188,0.185798023504494,0.333103269138001,0.314282533674719,0.298215147129764,0.0348881220082378,0.0188207354632825,0.0160673865449553,0.314282533674719,42348,exclude_other_interest,Exclude conventional other interest
1981,27110,5179,132458,152717,749464,19918,5747,3035,2713,52207,49172,46460,0.204668649685183,0.20376829307345,0.341854541406654,0.321981180877047,0.304222843560311,0.0376316978463432,0.0198733605296071,0.0177648853762188,0.321981180877047,49172,exclude_other_interest,Exclude conventional other interest
1982,31167,5620,134450,176032,774409,23406,7296,3552,3743,60193,56641,52897,0.231811082186687,0.227311407796139,0.34194351027086,0.321765360843483,0.300496500636248,0.0414470096346119,0.0201781494273768,0.0212631794219233,0.321765360843483,56641,exclude_other_interest,Exclude conventional other interest
1983,35327,6586,137870,190018,757173,28236,8424,4377,4047,70149,65772,61725,0.25623413360412,0.250957178874577,0.369170289130503,0.346135629256176,0.324837646959762,0.0443326421707417,0.0230346598743277,0.021297982296414,0.346135629256176,65772,exclude_other_interest,Exclude conventional other interest
1984,39205,8053,144294,214048,791733,32843,9984,5527,4456,80101,74574,70117,0.271702219080489,0.270353768252681,0.374219801166094,0.348398490058305,0.327576057706683,0.046643743459411,0.0258213111077889,0.0208177605023172,0.348398490058305,74574,exclude_other_interest,Exclude conventional other interest
1985,45252,9305,157042,235769,833552,36187,12100,7090,5008,90744,83654,78644,0.288152214057386,0.282848580532468,0.384885205434133,0.35481339785977,0.333563784891143,0.0513214205429891,0.030071807574363,0.0212411300891975,0.35481339785977,83654,exclude_other_interest,Exclude conventional other interest
1986,50608,10657,163865,261218,866641,39763,14341,8789,5551,101028,92239,86687,0.308839593567876,0.301414311116137,0.386757421004678,0.353111194481238,0.331856916445268,0.0549005045594102,0.0336462265234402,0.0212504498158626,0.353111194481238,92239,exclude_other_interest,Exclude conventional other interest
1987,55388,11746,169417,286565,888800,43799,16148,9995,6152,110933,100938,94785,0.326932952419179,0.322417866786679,0.387112871425331,0.352234222602202,0.330762654197128,0.056350217228203,0.0348786488231291,0.0214680787953867,0.352234222602202,100938,exclude_other_interest,Exclude conventional other interest
1988,59845,11130,175790,325068,940006,46501,16969,10438,6532,117476,107038,100507,0.340434609477217,0.345814813947996,0.361389001685801,0.329278797051694,0.309187616129548,0.0522013855562529,0.0321102046341073,0.0200942572015701,0.329278797051694,107038,exclude_other_interest,Exclude conventional other interest
1989,65391,11419,180962,368884,976469,50815,20023,11969,8054,127625,115656,107602,0.361352107072203,0.377773385535025,0.345975970765878,0.313529456414483,0.291696034525759,0.0542799362401189,0.032446514351395,0.0218334218887238,0.313529456414483,115656,exclude_other_interest,Exclude conventional other interest
1990,71841,13158,185758,406188,1011357,54194,20332,11464,8869,139193,127729,118861,0.386745119994832,0.401626725280984,0.342681221503343,0.314457837257625,0.292625582242705,0.0500556392606379,0.0282233842457187,0.0218347169291067,0.314457837257625,127729,exclude_other_interest,Exclude conventional other interest
1991,77388,13681,191704,415963,1007469,57558,18633,10265,8370,148627,138362,129994,0.403684847473188,0.41287920521624,0.357308222125526,0.332630546466873,0.312513372583619,0.0447948495419064,0.0246776756586523,0.020121982003207,0.332630546466873,138362,exclude_other_interest,Exclude conventional other interest
1992,82628,13898,196591,424017,1011830,61741,16901,9439,7461,158267,148828,141366,0.420304083096378,0.419059525809672,0.373256260951802,0.350995361035053,0.333397010025541,0.03985925092626,0.0222608999167486,0.0175959926135037,0.350995361035053,148828,exclude_other_interest,Exclude conventional other interest
1993,86044,14952,201589,444874,1052768,64569,16124,9401,6720,165565,156164,149441,0.426828844827843,0.422575534210766,0.372161555856265,0.351029729766181,0.335917585653466,0.036243970202799,0.0211318260900839,0.0151054006302908,0.351029729766181,156164,exclude_other_interest,Exclude conventional other interest
1994,87611,14988,203781,467091,1094656,70439,18835,9998,8835,173038,163040,154203,0.429927225796321,0.426701173702058,0.370458861335371,0.349054038720506,0.330134813130632,0.0403240482047395,0.0214048226148652,0.0189149437689872,0.349054038720506,163040,exclude_other_interest,Exclude conventional other interest
1995,92309,16011,212564,497057,1137240,75894,22681,13732,8947,184214,170482,161533,0.434264503867071,0.437073089233583,0.370609406969422,0.342982796741621,0.324978825366105,0.0456305816033171,0.0276266102278008,0.0179999476921158,0.342982796741621,170482,exclude_other_interest,Exclude conventional other interest
1996,98252,15776,221544,529902,1181201,79524,22380,13182,9197,193552,180370,171172,0.443487523923013,0.448612894841776,0.365259991470121,0.340383693588626,0.32302576702862,0.0422342244415005,0.0248762978814951,0.0173560394186095,0.340383693588626,180370,exclude_other_interest,Exclude conventional other interest
1997,101674,16355,226213,556723,1227481,80250,19409,11458,7952,198279,186821,178870,0.449461348375204,0.453549179172631,0.356153778449965,0.335572627680193,0.321290839430022,0.0348629390199435,0.0205811507697724,0.014283584475583,0.335572627680193,186821,exclude_other_interest,Exclude conventional other interest
1998,107475,16495,235365,590500,1284889,78156,16051,8996,7053,202126,193130,186075,0.456631189854057,0.459572772434039,0.342296359017782,0.327061812023709,0.315114309906859,0.0271820491109229,0.0152345469940728,0.0119441151566469,0.327061812023709,193130,exclude_other_interest,Exclude conventional other interest
1999,116473,17914,246851,623348,1349495,80923,15412,7838,7576,215310,207472,199898,0.471835236640727,0.461912048581136,0.345408985029229,0.33283494933809,0.320684433093553,0.0247245519356764,0.0125740356911388,0.0121537247251936,0.33283494933809,207472,exclude_other_interest,Exclude conventional other interest
2000,122892,19739,254806,663930,1402342,86264,15504,8448,7057,228895,220447,213391,0.482296335251132,0.473443710592709,0.344757730483635,0.332033497507267,0.321405871100869,0.0233518593827663,0.012724232976368,0.010629132589279,0.332033497507267,220447,exclude_other_interest,Exclude conventional other interest
2001,131046,21383,259591,709266,1430829,96288,15744,7031,8714,248717,241686,232973,0.504817193200073,0.495702840800683,0.350668155529801,0.340755090473814,0.328470559705386,0.0221975958244157,0.00991306505598746,0.0122859406766996,0.340755090473814,241686,exclude_other_interest,Exclude conventional other interest
2002,138831,22332,268230,757664,1487345,100485,15559,6435,9125,261648,255213,246089,0.517581925959065,0.509407030648572,0.345335135363433,0.336841924652616,0.324799647337078,0.0205354880263547,0.0084932107108164,0.0120435971618026,0.336841924652616,255213,exclude_other_interest,Exclude conventional other interest
2003,147819,23101,275665,805221,1533322,101964,15694,5673,10021,272884,267211,257190,0.536226942121778,0.525148011963567,0.338893297616431,0.331848026814999,0.319402996196075,0.0194903014203554,0.00704527080143215,0.0124450306189233,0.331848026814999,267211,exclude_other_interest,Exclude conventional other interest
2004,157912,23231,288058,865199,1598013,111090,15828,5698,10129,292233,286535,276405,0.548195155142367,0.54142175313968,0.337763913273131,0.331178145143487,0.319469856067795,0.0182940572053366,0.00658576812964416,0.0117071332722299,0.331178145143487,286535,exclude_other_interest,Exclude conventional other interest
2005,170089,26241,296854,926848,1648438,115910,15690,5484,10207,312240,306756,296550,0.572971898643778,0.562258331826857,0.336883717718547,0.33096688993233,0.319955375638724,0.0169283420798232,0.00591682778621737,0.0110125932191686,0.33096688993233,306756,exclude_other_interest,Exclude conventional other interest
2006,182989,29802,306176,1001865,1694114,121767,15651,5357,10293,334558,329201,318907,0.597659516095318,0.591379918942881,0.333935210831799,0.328588183038633,0.318313345610437,0.0156218652213622,0.00534702779316575,0.0102738392897247,0.328588183038633,329201,exclude_other_interest,Exclude conventional other interest
2007,197985,32648,315602,1091983,1758313,129320,15932,5595,10337,359953,354358,344021,0.627324921895299,0.621040167478714,0.329632421017543,0.324508714879261,0.315042450294556,0.0145899707229874,0.00512370613828237,0.00946626458470507,0.324508714879261,354358,exclude_other_interest,Exclude conventional other interest
2008,213309,37205,325343,1182271,1822034,138717,17163,6906,10258,389231,382325,372068,0.655643428627633,0.648874280062831,0.32922316457056,0.323381864225715,0.314706188344297,0.0145169762262628,0.0058413003448448,0.00867652171118128,0.323381864225715,382325,exclude_other_interest,Exclude conventional other interest
2009,232266,42480,338819,1265572,1857651,168828,18337,6465,11873,443574,437109,425237,0.685516455688731,0.681275438712654,0.350492899653279,0.345384537584586,0.336003799072672,0.014489100580607,0.00510836206869305,0.0093815286684598,0.345384537584586,437109,exclude_other_interest,Exclude conventional other interest
2010,245238,54334,344400,1307345,1898707,166322,22984,9889,13094,465894,456005,442910,0.712073170731707,0.68854488870584,0.356366529110526,0.348802343681278,0.338785859891612,0.0175806692189131,0.00756418542924783,0.0100157188806321,0.348802343681278,456005,exclude_other_interest,Exclude conventional other interest
2011,264648,53823,355148,1423069,1944176,175559,26952,13663,13290,494030,480367,467078,0.745176658745087,0.731965110154636,0.347158149042668,0.337557068560976,0.328218800353321,0.0189393486893468,0.00960108048169133,0.0093389709142705,0.337557068560976,480367,exclude_other_interest,Exclude conventional other interest
2012,283735,54137,368655,1504290,2021018,188440,27884,14302,13584,526312,512010,498428,0.769649129945342,0.744322910533207,0.349874026949591,0.340366551662246,0.331337707489912,0.0185363194596787,0.00950747528734486,0.00903017370320882,0.340366551662246,512010,exclude_other_interest,Exclude conventional other interest
2013,289851,50625,370762,1544115,2074665,191365,26429,13344,13085,531841,518497,505412,0.781771055286141,0.744271966799459,0.344430952357823,0.335789108971806,0.327314999206665,0.0171159531511578,0.00864184338601723,0.00847410976514055,0.335789108971806,518497,exclude_other_interest,Exclude conventional other interest
2014,300327,51124,376881,1607005,2128632,204786,29400,15965,13436,556237,540272,526837,0.796874875623871,0.754947308881949,0.346132712717135,0.336198082768878,0.32783781008771,0.0182949026294255,0.00993462994825778,0.0083608949567674,0.336198082768878,540272,exclude_other_interest,Exclude conventional other interest
2015,311632,50930,385188,1630130,2174703,206180,28652,14644,14009,568742,554098,540090,0.809038703178708,0.749587414925165,0.348893646518989,0.339910313901345,0.33131713421629,0.0175765123026998,0.00898333261764399,0.00859379313306301,0.339910313901345,554098,exclude_other_interest,Exclude conventional other interest
2016,331097,53709,403678,1664285,2234630,205449,27870,14308,13560,590255,575947,562385,0.82020075406636,0.74476982766722,0.354659808866871,0.34606272363207,0.337913878932995,0.0167459299338755,0.00859708523480053,0.00814764298182102,0.34606272363207,575947,exclude_other_interest,Exclude conventional other interest
2017,350529,62202,423469,1764037,2285877,204782,26919,14822,12097,617513,602691,590594,0.827755986860904,0.771711251305298,0.350056716497443,0.341654398405476,0.334796832492743,0.0152598840047006,0.00840231809196746,0.00685756591273312,0.341654398405476,602691,exclude_other_interest,Exclude conventional other interest
2018,368481,69429,438466,1848885,2351578,209138,30935,17643,13291,647048,629405,616113,0.840386711854511,0.786231628293852,0.349966601492251,0.3404240934401,0.333234895626283,0.0167317058659679,0.00954250805215035,0.00718865694729526,0.3404240934401,629405,exclude_other_interest,Exclude conventional other interest
2019,396497,75715,460491,1954549,2403171,209820,29217,15936,13282,682032,666096,652815,0.861030943058605,0.813320816537816,0.3489459716794,0.340792684143503,0.33399776623661,0.0149482054427901,0.00815328753589703,0.00679542953387201,0.340792684143503,666096,exclude_other_interest,Exclude conventional other interest
2020,433452,79020,494467,1987488,2399961,277883,22203,8912,13289,790355,781443,768152,0.876604505457392,0.828133457168679,0.397665294079763,0.393181241849007,0.386493905875155,0.011171388204608,0.00448405223075561,0.0066863296784685,0.393181241849007,781443,exclude_other_interest,Exclude conventional other interest
2021,467446,81511,526939,2090282,2448128,329008,22319,9257,13061,877965,868708,855646,0.887096988455969,0.853828721374046,0.420022274506502,0.415593685445313,0.409344767835153,0.0106775066713487,0.00442858906118887,0.00624843920581051,0.415593685445313,868708,exclude_other_interest,Exclude conventional other interest
2022,514620,90139,563190,2339611,2552249,281626,31411,18922,12489,886385,867463,854974,0.913759122143504,0.916686028675102,0.378859989972692,0.370772320697757,0.365434253813989,0.0134257361587033,0.00808766927493502,0.00533806688376829,0.370772320697757,867463,exclude_other_interest,Exclude conventional other interest
2023,547500,100516,573109,2576108,2643717,274020,49737,37187,12550,922036,884849,872299,0.955315655486129,0.9744265365771,0.357918223925394,0.343482881928863,0.338611191766805,0.0193070321585896,0.0144353419965312,0.00487169016205842,0.343482881928863,884849,exclude_other_interest,Exclude conventional other interest
2024,593860,108196,593513,2680474,2680024,298637,62334,50222,12113,1000693,950471,938359,1.00058465442206,1.0001679089441,0.373326881738081,0.354590643296671,0.350072039497492,0.0232548422405888,0.01873623844141,0.00451897686752418,0.354590643296671,950471,exclude_other_interest,Exclude conventional other interest
2025,640825,111944,620125,2776242,2715463,311672,64881,52906,11975,1064441,1011535,999560,1.03338036686152,1.02238255501916,0.383410740130003,0.364354044063882,0.360040659279703,0.0233700808503005,0.019056696066121,0.00431338478417948,0.364354044063882,1011535,exclude_other_interest,Exclude conventional other interest
