year,gfce_nom,gfcf_nom,gfce_real,gdp_nom,gdp_real,income_payable_nom,interest_payable_total_nom,interest_payable_other_nom,interest_payable_unfunded_super_nom,broad_expenditure_including_interest_nom,broad_expenditure_excluding_other_interest_nom,broad_expenditure_excluding_total_interest_nom,gov_consumption_price,gdp_price,broad_expenditure_including_interest_gdp,broad_expenditure_excluding_other_interest_gdp,broad_expenditure_excluding_total_interest_gdp,interest_payable_total_gdp,interest_payable_other_gdp,interest_payable_unfunded_super_gdp,broad_expenditure_gdp,broad_expenditure_nom,topdown_interest_treatment,topdown_interest_treatment_label,pop_total,0_14,15_34,35_54,55_64,65_74,75p,65p,tot_index,unemployment,relative_gov_price,tot_z,rp_z,covid,log_population,log_real_gdp_per_capita,population_growth,real_gdp_per_capita_growth,source
1980,23164,4792,126703,134745,725223,16928,4701,2536,2165,44884,42348,40183,0.182821243380188,0.185798023504494,0.333103269138001,0.314282533674719,0.298215147129764,0.0348881220082378,0.0188207354632825,0.0160673865449553,0.314282533674719,42348,exclude_other_interest,Exclude conventional other interest,14695356,0.25252834977254,0.338004673040925,0.22295689876448,0.0903384035065227,0.0621752885741591,0.0339963863413721,0.0961716749155311,53.8,6.16142528333333,0.983978408014474,-0.564634772728929,-1.10829365862547,0,16.5030420834689,-3.00880761072013,,,ABS national accounts and labour/demographic data
1981,27110,5179,132458,152717,749464,19918,5747,3035,2713,52207,49172,46460,0.204668649685183,0.20376829307345,0.341854541406654,0.321981180877047,0.304222843560311,0.0376316978463432,0.0198733605296071,0.0177648853762188,0.321981180877047,49172,exclude_other_interest,Exclude conventional other interest,14923260,0.249646524955003,0.338788910733982,0.22335267227134,0.0907131551685088,0.0628331879227461,0.0346655489484201,0.0974987368711662,53.075,5.845407475,1.00441853145135,-0.609861698316938,-0.43157996508378,0,16.5184316275321,-2.99131806418218,0.0153895440631509,0.0174895465379454,ABS national accounts and labour/demographic data
1982,31167,5620,134450,176032,774409,23406,7296,3552,3743,60193,56641,52897,0.231811082186687,0.227311407796139,0.34194351027086,0.321765360843483,0.300496500636248,0.0414470096346119,0.0201781494273768,0.0212631794219233,0.321765360843483,56641,exclude_other_interest,Exclude conventional other interest,15184247,0.246636267178741,0.336177618817713,0.227438015200886,0.091042644393232,0.0632817024117166,0.0354237519977118,0.0987054544094284,52.25,6.1401982,1.01979519828843,-0.661326820537777,0.0774972448369878,0,16.5357690668228,-2.97591363004503,0.0173374392907775,0.0154044341371544,ABS national accounts and labour/demographic data
1983,35327,6586,137870,190018,757173,28236,8424,4377,4047,70149,65772,61725,0.25623413360412,0.250957178874577,0.369170289130503,0.346135629256176,0.324837646959762,0.0443326421707417,0.0230346598743277,0.021297982296414,0.346135629256176,65772,exclude_other_interest,Exclude conventional other interest,15393472,0.243676020588468,0.333823454513706,0.230702339277325,0.0920312194675769,0.0634038246862047,0.0363631414667204,0.0997669661529251,51.725,8.940234075,1.02102731132541,-0.694077352860128,0.118288963472601,0,16.5494540814106,-3.01210704141527,0.0136850145877823,-0.0361934113702396,ABS national accounts and labour/demographic data
1984,39205,8053,144294,214048,791733,32843,9984,5527,4456,80101,74574,70117,0.271702219080489,0.270353768252681,0.374219801166094,0.348398490058305,0.327576057706683,0.046643743459411,0.0258213111077889,0.0208177605023172,0.348398490058305,74574,exclude_other_interest,Exclude conventional other interest,15579391,0.239791465532895,0.332291743624638,0.233897075951172,0.0930025441944425,0.0635175662514665,0.0374996044453856,0.101017170696852,52.6,9.64100325833333,1.00498772714182,-0.639493132322875,-0.412735532992449,0,16.5614595090678,-2.97948001632149,0.0120054276571935,0.0326270250937779,ABS national accounts and labour/demographic data
1985,45252,9305,157042,235769,833552,36187,12100,7090,5008,90744,83654,78644,0.288152214057386,0.282848580532468,0.384885205434133,0.35481339785977,0.333563784891143,0.0513214205429891,0.030071807574363,0.0212411300891975,0.35481339785977,83654,exclude_other_interest,Exclude conventional other interest,15788312,0.235968290973728,0.331024557913474,0.237381551618691,0.0929528755195616,0.0640143164133063,0.038658407561239,0.102672723974545,52.1,8.611149875,1.0187507871347,-0.67068411548702,0.0429197956547771,0,16.5747804774141,-2.94132911066459,0.0133209683462496,0.0381509056569005,ABS national accounts and labour/demographic data
1986,50608,10657,163865,261218,866641,39763,14341,8789,5551,101028,92239,86687,0.308839593567876,0.301414311116137,0.386757421004678,0.353111194481238,0.331856916445268,0.0549005045594102,0.0336462265234402,0.0212504498158626,0.353111194481238,92239,exclude_other_interest,Exclude conventional other interest,16018350,0.230954998486111,0.330970730443523,0.240982810339392,0.0920799582978272,0.0651345488143286,0.0398769536188184,0.105011502433147,47.025,7.93674520833333,1.02463480391572,-0.987272594603088,0.237722666637494,0,16.5892454980453,-2.91686539954489,0.014465020631274,0.0244637111197039,ABS national accounts and labour/demographic data
1987,55388,11746,169417,286565,888800,43799,16148,9995,6152,110933,100938,94785,0.326932952419179,0.322417866786679,0.387112871425331,0.352234222602202,0.330762654197128,0.056350217228203,0.0348786488231291,0.0214680787953867,0.352234222602202,100938,exclude_other_interest,Exclude conventional other interest,16263874,0.226719906954518,0.331230677266683,0.244643803807137,0.0904638710309733,0.0661065746082391,0.0408351663324495,0.106941740940689,44.6,8.25127596666667,1.01400383197587,-1.13854886294919,-0.114238235632554,0,16.6044568870886,-2.90682936978109,0.0152113890433156,0.0100360297638007,ABS national accounts and labour/demographic data
1988,59845,11130,175790,325068,940006,46501,16969,10438,6532,117476,107038,100507,0.340434609477217,0.345814813947996,0.361389001685801,0.329278797051694,0.309187616129548,0.0522013855562529,0.0321102046341073,0.0200942572015701,0.329278797051694,107038,exclude_other_interest,Exclude conventional other interest,16532164,0.223747538434775,0.330423046855814,0.248552881522346,0.0889190912937955,0.0666458426132235,0.0417115992800459,0.108357441893269,48.375,7.76453036666667,0.98444194911908,-0.903056940059898,-1.09294714596988,0,16.6208183747194,-2.86717683751487,0.0163614876307641,0.0396525322662176,ABS national accounts and labour/demographic data
1989,65391,11419,180962,368884,976469,50815,20023,11969,8054,127625,115656,107602,0.361352107072203,0.377773385535025,0.345975970765878,0.313529456414483,0.291696034525759,0.0542799362401189,0.032446514351395,0.0218334218887238,0.313529456414483,115656,exclude_other_interest,Exclude conventional other interest,16814416,0.221531214643435,0.328993644501242,0.252383966234688,0.0872749906984578,0.0670766085482838,0.0427395753738935,0.109816183922177,55.425,6.6080013,0.956531404562646,-0.463264077445458,-2.01698499504997,0,16.6377471716583,-2.84604888889513,0.0169287969389345,0.0211279486197351,ABS national accounts and labour/demographic data
1990,71841,13158,185758,406188,1011357,54194,20332,11464,8869,139193,127729,118861,0.386745119994832,0.401626725280984,0.342681221503343,0.314457837257625,0.292625582242705,0.0500556392606379,0.0282233842457187,0.0218347169291067,0.314457837257625,127729,exclude_other_interest,Exclude conventional other interest,17065128,0.220039017580179,0.326805166653306,0.256385243638372,0.0858202762967849,0.067440279381438,0.0435100164499206,0.110950295831359,55.775,6.137854975,0.962946675732945,-0.441430389230557,-1.80459381932488,0,16.6525476410273,-2.82574408962838,0.0148004693689678,0.0203047992667513,ABS national accounts and labour/demographic data
1991,77388,13681,191704,415963,1007469,57558,18633,10265,8370,148627,138362,129994,0.403684847473188,0.41287920521624,0.357308222125526,0.332630546466873,0.312513372583619,0.0447948495419064,0.0246776756586523,0.020121982003207,0.332630546466873,138362,exclude_other_interest,Exclude conventional other interest,17284036,0.219018868046792,0.323202057667549,0.260282783488764,0.0846340519077836,0.0683951942705974,0.0444670446185139,0.112862238889111,52.875,8.36738983333333,0.977731119351878,-0.622338091582596,-1.31512341670117,0,16.665293858883,-2.84234205578416,0.0127462178556748,-0.0165979661557789,ABS national accounts and labour/demographic data
1992,82628,13898,196591,424017,1011830,61741,16901,9439,7461,158267,148828,141366,0.420304083096378,0.419059525809672,0.373256260951802,0.350995361035053,0.333397010025541,0.03985925092626,0.0222608999167486,0.0175959926135037,0.350995361035053,148828,exclude_other_interest,Exclude conventional other interest,17478635,0.218156566573992,0.319334604790363,0.264039897852435,0.0839377903366024,0.0691493929588895,0.0453817474877186,0.114531140446608,51.125,10.276053525,1.00296988186655,-0.731506532657102,-0.47954058597769,0,16.6764898358977,-2.84921870536879,0.0111959770147045,-0.00687664958462797,ABS national accounts and labour/demographic data
1993,86044,14952,201589,444874,1052768,64569,16124,9401,6720,165565,156164,149441,0.426828844827843,0.422575534210766,0.372161555856265,0.351029729766181,0.335917585653466,0.036243970202799,0.0211318260900839,0.0151054006302908,0.351029729766181,156164,exclude_other_interest,Exclude conventional other interest,17634808,0.217255271506217,0.314846013633945,0.267912358331318,0.083588831814897,0.0701489916986905,0.0462485330149327,0.116397524713623,49.075,10.931649625,1.0100652079279,-0.859389563630095,-0.24463474890235,0,16.6853852341533,-2.8184517901988,0.00889539825558217,0.0307669151699881,ABS national accounts and labour/demographic data
