year,status,expenses_billion_dollars,expenses_ratio_gdp,fiscal_balance_billion_dollars,fiscal_balance_ratio_gdp,gross_debt_billion_dollars,gross_debt_ratio_gdp,net_capital_investment_billion_dollars,net_capital_investment_ratio_gdp,net_debt_billion_dollars,net_debt_ratio_gdp,net_operating_balance_billion_dollars,net_operating_balance_ratio_gdp,public_debt_interest_billion_dollars,public_debt_interest_ratio_gdp,revenue_billion_dollars,revenue_ratio_gdp,nominal_gdp_billion
2003,Historical/estimate,268.767,0.33483,7.358,0.00917,108.95,0.13573,4.249,0.00529,18.677,0.02327,11.607,0.01446,6.974,0.00869,280.374,0.34929,802.696890959592
2004,Historical/estimate,289.253,0.33493,9.886,0.01145,101.156,0.11713,5.204,0.00603,3.637,0.00421,15.09,0.01747,6.317,0.00731,304.343,0.3524,863.622249425253
2005,Historical/estimate,308.078,0.33308,13.9,0.01503,101.025,0.10922,6.906,0.00747,-15.016,-0.01623,20.806,0.02249,5.89,0.00637,328.884,0.35558,924.936952083583
2006,Historical/estimate,326.988,0.32735,18.749,0.01877,95.795,0.0959,10.203,0.01021,-45.614,-0.04566,28.952,0.02898,6.837,0.00684,355.94,0.35633,998.894149992363
2007,Historical/estimate,352.463,0.32387,15.329,0.01409,96.339,0.08852,13.084,0.01202,-70.547,-0.06482,28.413,0.02611,5.95,0.00547,380.876,0.34998,1088.28542316362
2008,Historical/estimate,379.303,0.32167,16.336,0.01385,106.006,0.0899,15.756,0.01336,-75.201,-0.06378,32.092,0.02722,6.028,0.00511,411.395,0.34889,1179.16809152237
2009,Historical/estimate,431.163,0.34185,-42.231,-0.03348,163.13,0.12934,20.893,0.01657,-36.981,-0.02932,-21.338,-0.01692,6.725,0.00533,409.825,0.32493,1261.26371215445
2010,Historical/estimate,451.631,0.34624,-72.329,-0.05545,235.931,0.18088,30.438,0.02334,39.365,0.03018,-41.891,-0.03212,9.608,0.00737,409.74,0.31413,1304.38713031423
2011,Historical/estimate,476.436,0.33586,-67.611,-0.04766,293.898,0.20718,28.178,0.01986,87.764,0.06187,-39.433,-0.0278,13.709,0.00966,437.003,0.30806,1418.55535044364
2012,Historical/estimate,511.439,0.34079,-63.964,-0.04262,378.18,0.252,24.748,0.01649,168.426,0.11223,-39.216,-0.02613,16.175,0.01078,472.223,0.31466,1500.74532703424
2013,Historical/estimate,527.956,0.34344,-39.88,-0.02594,425.388,0.27672,15.96,0.01038,191.951,0.12486,-23.92,-0.01556,18.26,0.01188,504.036,0.32788,1537.2583275099
2014,Historical/estimate,551.287,0.3447,-46.743,-0.02923,498.06,0.31142,19.853,0.01241,244.507,0.15288,-26.89,-0.01681,21.015,0.01314,524.397,0.32788,1599.32404989846
2015,Historical/estimate,569.127,0.35041,-47.02,-0.02895,559.123,0.34425,18.574,0.01144,280.453,0.17268,-28.446,-0.01751,21.19,0.01305,540.681,0.3329,1624.17453839788
2016,Historical/estimate,585.475,0.35314,-44.165,-0.02664,632.834,0.3817,20.218,0.01219,330.8,0.19953,-23.947,-0.01444,22.192,0.01339,561.528,0.3387,1657.91187630968
2017,Historical/estimate,607.741,0.34577,-38.5,-0.0219,695.641,0.39578,24.053,0.01368,341.86,0.1945,-14.447,-0.00822,21.882,0.01245,593.294,0.33755,1757.64525551667
2018,Historical/estimate,631.745,0.34296,-23.275,-0.01264,732.24,0.39751,32.375,0.01758,366.241,0.19882,9.1,0.00494,23.314,0.01266,640.845,0.3479,1842.03697224166
2019,Historical/estimate,664.622,0.3413,-22.641,-0.01163,788.49,0.40491,38.625,0.01983,397.584,0.20417,15.984,0.00821,25.718,0.01321,680.606,0.34951,1947.32493407559
2020,Historical/estimate,777.392,0.39229,-148.378,-0.07488,1008.584,0.50896,41.629,0.02101,551.534,0.27832,-106.749,-0.05387,23.776,0.012,670.643,0.33842,1981.67682071937
2021,Historical/estimate,865.777,0.41508,-193.716,-0.09287,1175.181,0.56341,46.967,0.02252,697.162,0.33424,-146.749,-0.07036,24.82,0.0119,719.028,0.34472,2085.80755517009
2022,Historical/estimate,858.42,0.36837,-86.79,-0.03724,1200.113,0.515,52.464,0.02251,672.269,0.28849,-34.326,-0.01473,25.838,0.01109,824.094,0.35364,2330.3200586367
2023,Historical/estimate,875.922,0.34116,-21.053,-0.0082,1218.428,0.47456,59.944,0.02335,668.175,0.26024,38.891,0.01515,29.286,0.01141,914.813,0.3563,2567.48153359128
2024,Historical/estimate,947.597,0.35447,-41.467,-0.01551,1297.174,0.48524,61.651,0.02306,712.611,0.26657,20.184,0.00755,36.698,0.01373,967.781,0.36202,2673.27841566282
2025,Historical/estimate,1009.79,0.36229,-118.081,-0.04237,1445.202,0.51851,57.615,0.02067,884.444,0.31732,-60.466,-0.02169,42.141,0.01512,949.324,0.3406,2787.24226448425
2026,Official forecast,1042.453,0.36205,-80.286,-0.02788,1585.665,0.55071,34.12,0.01185,1002.33,0.34811,-46.166,-0.01603,48.144,0.01672,996.287,0.34602,2879.30672559039
2027,Official forecast,1059.893,0.35425,-84.362,-0.0282,1705.732,0.57012,57.741,0.0193,1102.789,0.36859,-26.621,-0.0089,54.091,0.01808,1033.272,0.34536,2991.93507410021
2028,Official forecast,1095.833,0.34808,-81.07,-0.02575,1813.063,0.5759,55.342,0.01758,1174.074,0.37294,-25.728,-0.00817,64.45,0.02047,1070.105,0.33991,3148.22167317858
2029,Official forecast,1146.139,0.34529,-72.709,-0.0219,1910.105,0.57544,50.524,0.01522,1257.286,0.37877,-22.185,-0.00668,68.883,0.02075,1123.955,0.33861,3319.35184917026
