year,pop_total,0_14,15_34,35_54,55_64,65p
2025,27610400,0.173517949758062,0.276033668472749,0.263176194477443,0.111994031234607,0.175278156057138
2026,27971700,0.170915603985457,0.276014686272197,0.262901432519296,0.111827311175224,0.178340966047827
2027,28304600,0.168520311186168,0.275750231411149,0.262748811147305,0.111540173682016,0.181440472573363
2028,28640900,0.166300639993855,0.275532542622613,0.263078325052635,0.110733252097525,0.184355240233373
2029,28983700,0.164430352232462,0.27509945245086,0.263744794487936,0.109799646007929,0.186925754820813
2030,29332500,0.163102360862525,0.273849825279127,0.26506775760675,0.109029233785051,0.188950822466547
2031,29686200,0.161957407819121,0.272736153498932,0.266433561722282,0.108299479219301,0.190573397740364
2032,30045500,0.161351949543193,0.271305187132849,0.267823800569137,0.107560200362783,0.191958862392039
2033,30404200,0.161000782786589,0.269745627248867,0.269156892797706,0.106754987797738,0.1933417093691
2034,30761100,0.160764732080452,0.268225128490204,0.270178894772944,0.105919489225028,0.194911755431373
2035,31116500,0.160776436938602,0.266357077434801,0.271174457281507,0.105281763694503,0.196410264650587
2036,31470400,0.160738344603183,0.264674106461945,0.271645736946464,0.104549036554985,0.198392775433423
2066,41002500,0.151463935125907,0.240853606487409,0.251265166758125,0.119758551307847,0.236658740320712
