year,period,index
1980,Historical,0.967575988002329
1981,Historical,0.967594010961582
1982,Historical,0.966824379009574
1983,Historical,0.966106180910884
1984,Historical,0.965221503580018
1985,Historical,0.964632015322639
1986,Historical,0.964150347293959
1987,Historical,0.96357674507871
1988,Historical,0.962985496936288
1989,Historical,0.962719968784158
1990,Historical,0.962417750148422
1991,Historical,0.962979250076164
1992,Historical,0.963426611530218
1993,Historical,0.964017143253009
1994,Historical,0.964319051889009
1995,Historical,0.964203341740639
1996,Historical,0.964006903732676
1997,Historical,0.963802476702963
1998,Historical,0.963482561700285
1999,Historical,0.963432923655363
2000,Historical,0.963431306270891
2001,Historical,0.963878029109335
2002,Historical,0.964332182608242
2003,Historical,0.964613585981718
2004,Historical,0.964952952706742
2005,Historical,0.965331884942242
2006,Historical,0.965455033254664
2007,Historical,0.966071037991306
2008,Historical,0.966465923674911
2009,Historical,0.967453566539933
2010,Historical,0.969379871883327
2011,Historical,0.971616836395226
2012,Historical,0.974663533363014
2013,Historical,0.97738898922299
2014,Historical,0.980066925340964
2015,Historical,0.982690700005765
2016,Historical,0.985372711446448
2017,Historical,0.987384369484055
2018,Historical,0.98941716041836
2019,Historical,0.991446927801052
2020,Historical,0.994346125241768
2021,Historical,0.997742896577378
2022,Historical,0.999105650146985
2023,Historical,0.998387122151588
2024,Historical,0.998755629872674
2025,Historical,1
2026,Projection,1.00156463477745
2027,Projection,1.00335767555484
2028,Projection,1.00496148132535
2029,Projection,1.00633777567241
2030,Projection,1.00733701271241
2031,Projection,1.00805248709533
2032,Projection,1.00875874050036
2033,Projection,1.00956446564406
2034,Projection,1.01062569139319
2035,Projection,1.01172599708359
2036,Projection,1.01331054238317
2037,Projection,1.01441832649869
2038,Projection,1.01552611061421
2039,Projection,1.01663389472973
2040,Projection,1.01774167884524
2041,Projection,1.01884946296076
2042,Projection,1.01995724707628
2043,Projection,1.0210650311918
2044,Projection,1.02217281530731
2045,Projection,1.02328059942283
2046,Projection,1.02438838353835
2047,Projection,1.02549616765386
2048,Projection,1.02660395176938
2049,Projection,1.0277117358849
2050,Projection,1.02881952000042
2051,Projection,1.02992730411593
2052,Projection,1.03103508823145
2053,Projection,1.03214287234697
2054,Projection,1.03325065646248
2055,Projection,1.034358440578
2056,Projection,1.03546622469352
2057,Projection,1.03657400880903
2058,Projection,1.03768179292455
2059,Projection,1.03878957704007
2060,Projection,1.03989736115559
2061,Projection,1.0410051452711
2062,Projection,1.04211292938662
2063,Projection,1.04322071350214
2064,Projection,1.04432849761766
2065,Projection,1.04543628173318
2066,Projection,1.04654406584869
