year,model,value,interest_treatment,interest_treatment_label,demographic_specification,demographic_label,model_label,path_type
2026,structural_ols,0.347761128001094,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2027,structural_ols,0.348492431796559,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2028,structural_ols,0.348601467470204,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2029,structural_ols,0.347761692168369,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2030,structural_ols,0.34676958881215,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2031,structural_ols,0.345627265146288,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2032,structural_ols,0.344471625206279,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2033,structural_ols,0.345036103097545,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2034,structural_ols,0.34570532367054,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2035,structural_ols,0.346385328417215,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2036,structural_ols,0.347275635865072,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2037,structural_ols,0.347798879833756,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2038,structural_ols,0.348322123802439,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2039,structural_ols,0.348845367771123,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2040,structural_ols,0.349368611739807,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2041,structural_ols,0.349891855708491,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2042,structural_ols,0.350415099677175,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
2043,structural_ols,0.350938343645859,exclude_other_interest,Exclude conventional other interest,age_shares,Separate 0-14 and 65+ shares,Structural OLS (levels),Model only
