category,price_driver,observations,historical_relative_price_premium,historical_residual_intensity_growth,historical_total_excess,baseline_central_excess,evidence_weight,capped_historical_excess,enhanced_central_excess,long_run_central_excess,method
Economic affairs,public_all_wpi,6,0,-0.021896675542833,-0.021896675542833,0,0.35,-0.02,-0.007,-0.0035,35% shrinkage of non-COVID median historical excess toward baseline; adjustment half-damped by 2040
Education,public_education_wpi,6,0.000901071549648698,0.0103331529598234,0.0134161743178234,0.0025,0.35,0.0134161743178234,0.00632066101123819,0.0044103305056191,35% shrinkage of non-COVID median historical excess toward baseline; adjustment half-damped by 2040
Environmental Protection,public_all_wpi,6,0,0.0309335324603331,0.0309335324603331,0,0.35,0.02,0.007,0.0035,35% shrinkage of non-COVID median historical excess toward baseline; adjustment half-damped by 2040
General public services excl interest,public_admin_wpi,6,-0.00159141807201275,6.87963688241634e-05,-0.000160464267775736,0,0.35,-0.000160464267775736,-5.61624937215077e-05,-2.80812468607539e-05,35% shrinkage of non-COVID median historical excess toward baseline; adjustment half-damped by 2040
Health,public_health_wpi,6,-0.00035883320957825,0.00951114093657093,0.0125878940282276,0.0075,0.35,0.0125878940282276,0.00928076290987965,0.00839038145493983,35% shrinkage of non-COVID median historical excess toward baseline; adjustment half-damped by 2040
Housing and community amenities,public_all_wpi,6,0,-0.00323689940294198,-0.00323689940294198,0,0.35,-0.00323689940294198,-0.00113291479102969,-0.000566457395514847,35% shrinkage of non-COVID median historical excess toward baseline; adjustment half-damped by 2040
Public order and safety,public_admin_wpi,6,-0.00159141807201275,0.0182648870677856,0.0166734689957729,0.0025,0.35,0.0166734689957729,0.0074607141485205,0.00498035707426025,35% shrinkage of non-COVID median historical excess toward baseline; adjustment half-damped by 2040
"Recreation, culture and religion",public_all_wpi,6,0,0.00914716528425972,0.00914716528425972,0,0.35,0.00914716528425972,0.0032015078494909,0.00160075392474545,35% shrinkage of non-COVID median historical excess toward baseline; adjustment half-damped by 2040
Social Protection,public_health_wpi,6,-0.00035883320957825,-0.0113020403572865,-0.00822528726562987,0.0025,0.35,-0.00822528726562987,-0.00125385054297046,0.000623074728514772,35% shrinkage of non-COVID median historical excess toward baseline; adjustment half-damped by 2040
Transport,public_all_wpi,6,0,0.0158647602796051,0.0158647602796051,0,0.35,0.0158647602796051,0.00555266609786177,0.00277633304893089,35% shrinkage of non-COVID median historical excess toward baseline; adjustment half-damped by 2040
