year,scenario,category,value,nominal_gdp,applied_excess_cost,raw_value,raw_share_gdp,share_gdp
2025,central,Defence,49773.9279983015,2778415.30054645,,50175,0.018058855344675,0.0179145025542122
2025,central,Economic affairs,45994.383092003,2778415.30054645,-0.007,46365,0.0166875700658865,0.0165541785934439
2025,central,Education,147254.442371617,2778415.30054645,0.00632066101123819,148441,0.0534264981807454,0.0529994354489249
2025,central,Environmental Protection,20610.9198210406,2778415.30054645,0.007,20777,0.00747800373684728,0.00741822859130774
2025,central,General public services excl interest,63519.1705761683,2778415.30054645,-5.61624937215077e-05,64031,0.0230458707837545,0.022861654470329
2025,central,Health,206082.414033904,2778415.30054645,0.00928076290987965,207743,0.0747703195987806,0.0741726458220169
2025,central,Housing and community amenities,13791.8668851098,2778415.30054645,-0.00113291479102969,13903,0.0050039315566919,0.00496393281537044
2025,central,Public order and safety,52352.1529881886,2778415.30054645,0.0074607141485205,52774,0.0189942806568984,0.0188424505788937
2025,central,"Recreation, culture and religion",19811.3625521491,2778415.30054645,0.0032015078494909,19971,0.00718791031566525,0.00713045402112947
2025,central,Social Protection,309254.069910483,2778415.30054645,-0.00125385054297046,311746,0.112202808535746,0.111305919546894
2025,central,Transport,46779.0602628382,2778415.30054645,0.00555266609786177,47156,0.0169722647261284,0.0168365975574774
2026,central,Defence,55958.92316096,2962133.33333333,,55548.7969738092,0.0187529698102075,0.0188914261661505
2026,central,Economic affairs,49507.9913403097,2962133.33333333,-0.00676666666666667,49145.1444058986,0.0165911317538819,0.0167136268928845
2026,central,Education,158981.249363554,2962133.33333333,0.00619330564419692,157816.066583993,0.0532778402673725,0.0536711995960865
2026,central,Environmental Protection,22472.3962961264,2962133.33333333,0.00676666666666667,22307.6948028084,0.00753095566353364,0.00758655798617878
2026,central,General public services excl interest,68810.1736128683,2962133.33333333,-5.42904105974575e-05,68305.8598672328,0.0230596844168278,0.0232299379769766
2026,central,Health,226502.319671816,2962133.33333333,0.009221404146217,224842.271059361,0.0759055200281424,0.076465943353377
2026,central,Housing and community amenities,14925.9294693796,2962133.33333333,-0.00109515096466204,14816.5364682786,0.00500198161289564,0.00503891209130119
2026,central,Public order and safety,57108.8157664743,2962133.33333333,0.00729535701023648,56690.2619498536,0.0191383221382743,0.0192796236157975
2026,central,"Recreation, culture and religion",21525.7878491118,2962133.33333333,0.00309479092117454,21368.0241038985,0.00721372797889985,0.00726698815575885
2026,central,Social Protection,336675.698480713,2962133.33333333,-0.00112872219153811,334208.182797341,0.112826853213002,0.113659873001681
2026,central,Transport,50936.5816553528,2962133.33333333,0.00536757722793304,50563.2644998257,0.0170698813354651,0.0171959111638074
2027,central,Defence,59037.9394182761,3095135.13513514,,60191.3538177769,0.01944708427574,0.0190744303045426
2027,central,Economic affairs,50068.0223565887,3095135.13513514,-0.00653333333333333,51046.1929788978,0.0164923955660078,0.0161763606985136
2027,central,Education,161306.026246791,3095135.13513514,0.00606595027715565,164457.435242982,0.0531341696122102,0.0521159882215444
2027,central,Environmental Protection,23015.9067129662,3095135.13513514,0.00653333333333333,23465.56465296,0.00758143461543416,0.00743615567918048
2027,central,General public services excl interest,70027.9187145265,3095135.13513514,-5.24183274734072e-05,71396.0425109916,0.0230671810417978,0.0226251571117488
2027,central,Health,233891.262403042,3095135.13513514,0.00916204538255434,238460.757081062,0.0770437304575559,0.075567383067696
2027,central,Housing and community amenities,15175.2974872583,3095135.13513514,-0.00105738713829438,15471.7747493542,0.00499873965880287,0.00490295151090253
2027,central,Public order and safety,58523.6037559863,3095135.13513514,0.00712999987195246,59666.9696652297,0.0192776622215639,0.0189082547936735
2027,central,"Recreation, culture and religion",21971.2160462172,3095135.13513514,0.00298807399285817,22400.4640384736,0.00723731373929028,0.00709862900550154
2027,central,Social Protection,344369.64797805,3095135.13513514,-0.00100359384010576,351097.540493315,0.113435286397596,0.111261587278972
2027,central,Transport,52100.7264478663,3095135.13513514,0.00518248835800432,53118.609671799,0.0171619678471582,0.0168331023277249
2028,central,Defence,61049.8156782821,3185558.58310627,,64160.9685243098,0.0201411987412725,0.0191645559438282
2028,central,Economic affairs,50190.0061843564,3185558.58310627,-0.0063,52747.7334902908,0.0165583937994498,0.0157554805146341
