year,scenario,primary_expense_value,primary_expense_ratio,raw_primary_expense_value,raw_primary_expense_ratio,nominal_gdp
2025,central,975223.770491804,0.351,983082,0.353828313501819,2778415.30054645
2026,central,1063405.86666667,0.359,1055612.1035123,0.356368868218503,2962133.33333333
2027,central,1089487.56756757,0.352,1110772.70490284,0.358876965433157,3095135.13513514
2028,central,1105388.82833788,0.347,1161720.42510098,0.364683428288476,3185558.58310627
2029,central,1135944.47513812,0.341,1222836.37717375,0.367084143408987,3331215.46961326
2030,central,1171908.42696629,0.334,1296050.02764386,0.369381002194551,3508707.86516854
2031,central,1230686.78700963,0.335969481302727,1361054.84662637,0.371559112905343,3663091.01123596
2032,central,1292394.29131858,0.337945620952351,1429299.09747837,0.373744587289339,3824267.01573034
2033,central,1357311.67199905,0.339962392837269,1501093.25057895,0.375974998127809,3992534.76442247
2034,central,1425823.58445603,0.342071261321432,1576862.70832035,0.378307261463666,4168206.29405706
2035,central,1497827.93422342,0.344201074804398,1656494.56125282,0.380662688526019,4351607.37099557
2036,central,1571325.63991968,0.345872469491241,1737777.96301654,0.382511135964607,4543078.09531938
2037,central,1647626.09307662,0.347382519031448,1822161.01048663,0.38418114678055,4742973.53151343
2038,central,1727635.64854465,0.348899990090853,1910646.06971993,0.385859365285714,4951664.36690002
2039,central,1811534.02605414,0.350424770368103,2003431.89836349,0.387545667282531,5169537.59904362
2040,central,1899509.66323752,0.351956759296168,2100726.8954638,0.389239941550793,5396997.25340154
2041,central,1991774.97070123,0.353498499652508,2202765.97252587,0.390945000227287,5634465.13255121
2042,central,2088540.06244182,0.355050080908688,2309781.50116237,0.392660942261399,5882381.59838346
2043,central,2190025.39513844,0.356611593312309,2422017.2912807,0.394387867460767,6141206.38871234
2044,central,2296462.27992538,0.358183127891864,2539729.15706832,0.396125876496634,6411419.46981568
2045,central,2408093.41962578,0.359764776461922,2663185.51113615,0.397875070909591,6693521.92648757
2046,central,2525173.47271982,0.361356631628633,2792667.98822857,0.399635553115664,6988036.89125302
2047,central,2647969.64538541,0.362958786795532,2928472.09997968,0.401407426412731,7295510.51446816
2048,central,2776762.31301641,0.364571336169631,3070907.92226965,0.40319079498726,7616512.97710476
2049,central,2911845.67269405,0.366194374767753,3220300.81681316,0.404985763921316,7951639.54809737
2050,central,3053528.42816188,0.367827998423134,3376992.18869458,0.40679243919986,8301511.68821365
2051,central,3202134.50893218,0.369472303792235,3541340.28165007,0.40861092771828,8666778.20249505
2052,central,3358003.82523412,0.371127388361781,3713721.01298837,0.410441337290183,9048116.44340483
2053,central,3521493.06060007,0.372793350456003,3894528.85013656,0.412283776655398,9446233.56691465
2054,central,3692976.50397661,0.374470289244068,4084177.73089763,0.414138355488195,9861867.84385889
2055,central,3872846.92334264,0.376158304747698,4283102.02961194,0.416005184405713,10295790.0289887
2056,central,4061516.48291617,0.377857497848963,4491757.57152474,0.417884374976573,10748804.7902642
2057,central,4259417.70613683,0.379567970298228,4710622.69777856,0.419776039729673,11221752.2010358
2058,central,4467004.48672136,0.381289824722274,4940199.38357094,0.421680292163168,11715509.2978814
2059,central,4684753.15020517,0.383023164632557,5181014.41214631,0.423597246753601,12230991.7069882
2060,central,4913163.56850501,0.384768094433619,5433620.60742556,0.425527018965203,12769155.3420956
2061,central,5152760.33016566,0.386524719431631,5698598.12821832,0.427469725259352,13330998.1771479
2062,central,5404093.96908813,0.388293145843077,5976555.82711168,0.429425483104164,13917562.0969424
2063,central,5667742.25467799,0.390073480803561,6268132.67728551,0.43139441098424,14529934.8292078
2064,central,5944311.54650132,0.39186583237674,6573999.27066856,0.433376628410546,15169251.961693
2065,central,6234438.21669125,0.393670309563384,6894859.39102222,0.435372255930425,15836699.0480075
2066,central,6538790.14351254,0.395487022310541,7231451.6657201,0.437381415137744,16533513.8061198
2025,pressure,975223.770491804,0.351,983082,0.353828313501819,2778415.30054645
2026,pressure,1063405.86666667,0.359,1060783.65979354,0.358114757312367,2962133.33333333
2027,pressure,1089487.56756757,0.352,1121723.38701097,0.362414995803405,3095135.13513514
2028,pressure,1105388.82833788,0.347,1181593.55560734,0.370921935598232,3185558.58310627
2029,pressure,1135944.47513812,0.341,1249792.68243304,0.375176176333661,3331215.46961326
2030,pressure,1171908.42696629,0.334,1330975.7722801,0.379335021160608,3508707.86516854
2031,pressure,1231110.12952701,0.338353706172101,1398213.13483583,0.384279671528635,3638530.05617978
2032,pressure,1293280.22520337,0.342758247713725,1468821.80117998,0.389282057333708,3773155.66825843
2033,pressure,1358448.81267274,0.347184077151515,1542835.95539167,0.394308620517652,3912762.42798399
2034,pressure,1426924.27017066,0.351672726800803,1620605.83299332,0.399406530726321,4057534.6378194
