year,scenario,category,baseline_share_gdp,data_enhanced_share_gdp,difference_pp
2025,central,Defence,0.0179145025542122,0.0179145025542122,-4.16333634234434e-15
2025,central,Economic affairs,0.0165541785934439,0.0165541785934439,-1.73472347597681e-15
2025,central,Education,0.0529994354489249,0.0529994354489249,0
2025,central,Environmental Protection,0.00741822859130774,0.00741822859130774,3.46944695195361e-16
2025,central,General public services excl interest,0.022861654470329,0.022861654470329,2.08166817117217e-15
2025,central,Health,0.0741726458220169,0.0741726458220169,-1.38777878078145e-15
2025,central,Housing and community amenities,0.00496393281537044,0.00496393281537044,-3.46944695195361e-16
2025,central,Public order and safety,0.0188424505788937,0.0188424505788937,2.08166817117217e-15
2025,central,"Recreation, culture and religion",0.00713045402112947,0.00713045402112947,-2.60208521396521e-16
2025,central,Social Protection,0.111305919546894,0.111305919546894,3.33066907387547e-14
2025,central,Transport,0.0168365975574774,0.0168365975574774,0
2025,pressure,Defence,0.0179145025542122,0.0179145025542122,-4.16333634234434e-15
2025,pressure,Economic affairs,0.0165541785934439,0.0165541785934439,-1.73472347597681e-15
2025,pressure,Education,0.0529994354489249,0.0529994354489249,0
2025,pressure,Environmental Protection,0.00741822859130774,0.00741822859130774,3.46944695195361e-16
2025,pressure,General public services excl interest,0.022861654470329,0.022861654470329,2.08166817117217e-15
2025,pressure,Health,0.0741726458220169,0.0741726458220169,-1.38777878078145e-15
2025,pressure,Housing and community amenities,0.00496393281537044,0.00496393281537044,-3.46944695195361e-16
2025,pressure,Public order and safety,0.0188424505788937,0.0188424505788937,2.08166817117217e-15
2025,pressure,"Recreation, culture and religion",0.00713045402112947,0.00713045402112947,-2.60208521396521e-16
2025,pressure,Social Protection,0.111305919546894,0.111305919546894,3.33066907387547e-14
2025,pressure,Transport,0.0168365975574774,0.0168365975574774,0
2025,restraint,Defence,0.0179145025542122,0.0179145025542122,-4.16333634234434e-15
2025,restraint,Economic affairs,0.0165541785934439,0.0165541785934439,-1.73472347597681e-15
2025,restraint,Education,0.0529994354489249,0.0529994354489249,0
2025,restraint,Environmental Protection,0.00741822859130774,0.00741822859130774,3.46944695195361e-16
2025,restraint,General public services excl interest,0.022861654470329,0.022861654470329,2.08166817117217e-15
2025,restraint,Health,0.0741726458220169,0.0741726458220169,-1.38777878078145e-15
2025,restraint,Housing and community amenities,0.00496393281537044,0.00496393281537044,-3.46944695195361e-16
2025,restraint,Public order and safety,0.0188424505788937,0.0188424505788937,2.08166817117217e-15
2025,restraint,"Recreation, culture and religion",0.00713045402112947,0.00713045402112947,-2.60208521396521e-16
2025,restraint,Social Protection,0.111305919546894,0.111305919546894,3.33066907387547e-14
2025,restraint,Transport,0.0168365975574774,0.0168365975574774,0
2026,central,Defence,0.018893981927955,0.0188914261661505,-0.000255576180445763
2026,central,Economic affairs,0.0168239965785412,0.0167136268928845,-0.0110369685656662
2026,central,Education,0.0534912956076645,0.0536711995960865,0.0179903988422013
2026,central,Environmental Protection,0.00753913893912111,0.00758655798617878,0.00474190470576702
2026,central,General public services excl interest,0.0232342785489177,0.0232299379769766,-0.000434057194107287
2026,central,Health,0.0763523574069963,0.076465943353377,0.0113585946380654
2026,central,Housing and community amenities,0.00504484038458876,0.00503891209130119,-0.000592829328757358
2026,central,Public order and safety,0.0191950279853428,0.0192796236157975,0.0084595630454723
2026,central,"Recreation, culture and religion",0.0072466739063959,0.00726698815575885,0.00203142493629465
2026,central,Social Protection,0.114067390000842,0.113659873001681,-0.0407516999160931
2026,central,Transport,0.017111018713635,0.0171959111638074,0.00848924501724406
2026,pressure,Defence,0.0193031606191028,0.0193005622380304,-0.000259838107242658
2026,pressure,Economic affairs,0.0167817116437464,0.0166718857267927,-0.010982591695366
2026,pressure,Education,0.0533565528582645,0.0535355979123289,0.0179045054064388
2026,pressure,Environmental Protection,0.00752019029056655,0.00756738070988339,0.00471904193168346
2026,pressure,General public services excl interest,0.023175882201245,0.0231715706512373,-0.000431155000769207
2026,pressure,Health,0.07633828743969,0.0764513215232638,0.0113034083573826
2026,pressure,Housing and community amenities,0.005032160832158,0.00502626314740191,-0.000589768475609161
2026,pressure,Public order and safety,0.0191466763644637,0.0192308660809723,0.00841897165086182
