year,scenario,primary_expense_value,primary_expense_ratio,raw_primary_expense_value,raw_primary_expense_ratio,nominal_gdp
2025,central,975223.770491804,0.351,983082,0.353828313501819,2778415.30054645
2026,central,1063405.86666667,0.359,1055469.31237887,0.356320662713429,2962133.33333333
2027,central,1089487.56756757,0.352,1110480.5362127,0.358782569331731,3095135.13513514
2028,central,1105388.82833788,0.347,1161274.13021971,0.364543328877455,3185558.58310627
2029,central,1135944.47513812,0.341,1222224.94110989,0.366900595971292,3331215.46961326
2030,central,1171908.42696629,0.334,1295253.48434981,0.369153983210737,3508707.86516854
2031,central,1230543.13385668,0.33593026492713,1360059.57896952,0.371287411314037,3663091.01123596
2032,central,1292088.63483535,0.337865695444542,1428082.83296645,0.373426548693469,3824267.01573034
2033,central,1356828.62768929,0.339841405960947,1499636.80373012,0.375610205600062,3992534.76442247
2034,central,1425152.13628263,0.341910173283548,1575151.46044917,0.377896713676333,4168206.29405706
2035,central,1496952.85506784,0.343999981488532,1654509.30876341,0.380206477218298,4351607.37099557
2036,central,1570244.91236168,0.345634585057974,1735515.46112189,0.382013125178268,4543078.09531938
2037,central,1646320.42347794,0.347107234004026,1819598.02984452,0.383640772556431,4742973.53151343
2038,central,1726094.34782353,0.348588720867636,1907768.27513951,0.38527818805576,4951664.36690002
2039,central,1809747.16328753,0.35007911802834,2000225.67045487,0.386925451673843,5169537.59904362
2040,central,1897468.19018065,0.351578498392739,2097179.4623379,0.388582643990807,5396997.25340154
2041,central,1989456.0262454,0.353086935395516,2198849.15123082,0.39024984617044,5634465.13255121
2042,central,2085919.00315607,0.354604503000843,2305464.99601807,0.391927139961752,5882381.59838346
2043,central,2187075.66557468,0.356131275704162,2417268.54350349,0.393614607700937,6141206.38871234
2044,central,2293155.27388175,0.357667328534296,2534513.18405436,0.395312332313709,6411419.46981568
2045,central,2404398.33175713,0.359212737055878,2657464.73471077,0.39702039731799,6693521.92648757
2046,central,2521057.13984393,0.360767577372059,2786402.05112352,0.398738886826897,6988036.89125302
2047,central,2643396.37679056,0.362331926127484,2921617.6697517,0.400467885552034,7295510.51446816
2048,central,2771693.70903046,0.363905860511519,3063418.48182256,0.402207478807061,7616512.97710476
2049,central,2906240.43072634,0.365489458261691,3212126.4406309,0.40395775251149,7951639.54809737
2050,central,3047342.13537769,0.367082797667353,3368079.3038341,0.405718793194744,8301511.68821365
2051,central,3195319.42066431,0.368685957573533,3531631.4124816,0.407490688000403,8666778.20249505
