year,scenario,primary_expense_value,primary_expense_ratio,raw_primary_expense_value,raw_primary_expense_ratio,nominal_gdp,revenue_ratio,official_nci,official_net_debt,official_interest,nominal_gdp_growth,net_capital_investment_ratio,effective_interest_rate,net_debt_ratio,interest_ratio,spending_approach,spending_model,revenue_scenario,total_expense_ratio,fiscal_deficit_ratio
2025,central,967646.896960997,0.34717,983082,0.352707768724191,2787242.26448425,0.3406,0.02067,0.31732,0.01512,,0.02067,0.0526912895499811,0.31732,0.01512,Bottom-up primary spending with endogenous interest,central,central,0.36229,0.04236
2026,central,994310.99154813,0.34533,1036689.51787883,0.360048309082548,2879306.72559039,0.34602,0.01185,0.34811,0.01672,0.0324968735490927,0.01185,0.0526912895499811,0.334686403379581,0.0161937536358119,Bottom-up primary spending with endogenous interest,central,central,0.361523753635812,0.0273537536358119
2027,central,1005798.81386027,0.33617,1087409.65491537,0.363446942525115,2991935.07410021,0.34536,0.0193,0.36859,0.01808,0.0383708151550053,0.0193,0.0519011723181646,0.349157491450708,0.0167287219949044,Bottom-up primary spending with endogenous interest,central,central,0.352898721994904,0.0268387219949044
2028,central,1031388.90235003,0.32761,1151948.09962848,0.365904380064009,3148221.67317858,0.33991,0.01758,0.37294,0.02047,0.0509173851789608,0.01758,0.0511110550863482,0.354501836469628,0.0169811709569438,Bottom-up primary spending with endogenous interest,central,central,0.344591170956944,0.0222611709569438
2029,central,1077262.44912972,0.32454,1222512.44427905,0.368298541350669,3319351.84917026,0.33861,0.01522,0.37877,0.02075,0.0529317924928261,0.01522,0.0503209378545317,0.354772812044087,0.0169420897056132,Bottom-up primary spending with endogenous interest,central,central,0.341482089705613,0.0180920897056132
2030,central,1131499.13368244,0.326512969994798,1284061.99690266,0.370537531833237,3465403.33053375,0.34011,,,,0.043059489460445,0.015,0.0495308206227152,0.358376857219453,0.016846774985252,Bottom-up primary spending with endogenous interest,central,central,0.34335974498005,0.01824974498005
2031,central,1188123.48602305,0.328403134517315,1348321.1525444,0.372682551974224,3617881.07707724,0.34161,,,,0.0430594894604486,0.015,0.0487407033908988,0.362121956714949,0.0167464466565866,Bottom-up primary spending with endogenous interest,central,central,0.345149581173902,0.0185395811739016
2032,central,1247559.2744071,0.330298349348979,1415770.81719552,0.374833303370194,3777067.84446863,0.34311,,,,0.043059489460445,0.015,0.0479505861590823,0.366008362143077,0.0166471426232244,Bottom-up primary spending with endogenous interest,central,central,0.346945491972203,0.0188354919722034
2033,central,1310080.52733002,0.332232953486982,1486721.96730006,0.377028755031367,3943258.82962526,0.34461,,,,0.0430594894604504,0.015,0.0471604689272659,0.370070344556978,0.0165485537156628,Bottom-up primary spending with endogenous interest,central,central,0.348781507202645,0.0191715072026448
2034,central,1376063.00086688,0.334258557564288,1561601.02306617,0.379327476381666,4116762.21812877,0.34611,,,,0.0430594894604468,0.015,0.0463703516954494,0.374393573307779,0.0164518823734971,Bottom-up primary spending with endogenous interest,central,central,0.350710439937785,0.0196004399377851
2035,central,1445404.04827776,0.336304737296847,1640291.49763681,0.381649547654368,4297899.75572643,0.34761,,,,0.043059489460445,0.015,0.0455802344636329,0.378993101499755,0.0163604732284956,Bottom-up primary spending with endogenous interest,central,central,0.352665210525343,0.0200552105253426
2036,central,1516174.24710153,0.337903223804246,1720603.81968614,0.383463562102644,4487007.3449784,0.34911,,,,0.0430594894604486,0.015,0.0447901172318165,0.383415144650586,0.0162743789953961,Bottom-up primary spending with endogenous interest,central,central,0.354177602799642,0.0200676027996421
2037,central,1589632.02235752,0.339343335028183,1803966.09083191,0.385097847131173,4684435.66815745,0.35061,,,,0.0430594894604468,0.015,0.044,0.387494199159021,0.0161738295227556,Bottom-up primary spending with endogenous interest,central,central,0.355517164550939,0.0199071645509386
2038,central,1666661.03627862,0.340792088997359,1891381.11969991,0.386741940227936,4890550.83755637,0.35061,,,,0.043059489460445,0.015,0.044,0.393025685656722,0.0163458987097816,Bottom-up primary spending with endogenous interest,central,central,0.357137987707141,0.0215279877071406
2039,central,1747435.56478734,0.34224955649303,1983046.68027195,0.388395921717804,5105735.07440885,0.35061,,,,0.0430594894604468,0.015,0.044,0.400019627305546,0.0165792367009107,Bottom-up primary spending with endogenous interest,central,central,0.358828793193941,0.0232187931939407
2040,central,1832138.42254953,0.343715808811881,2079170.23657333,0.390059872510572,5330387.41768284,0.35061,,,,0.0430594894604468,0.015,0.044,0.408486127601768,0.0168742663091523,Bottom-up primary spending with endogenous interest,central,central,0.360590075121033,0.0249800751210333
2041,central,1920961.38305331,0.345190917767018,2179969.41939205,0.391733874102087,5564924.46406089,0.35061,,,,0.0430594894604486,0.015,0.044,0.418435370964931,0.0172314137363105,Bottom-up primary spending with endogenous interest,central,central,0.362422331503328,0.0268123315033285
2042,central,2014105.6194406,0.346674955689355,2285672.52654884,0.393418008575821,5809781.14047957,0.35061,,,,0.0430594894604468,0.015,0.044,0.429877623328628,0.0176511085978238,Bottom-up primary spending with endogenous interest,central,central,0.364326064287179,0.0287160642871788
2043,central,2111782.16712077,0.34816799542934,2396519.04788604,0.395112358604832,6065411.51066067,0.35061,,,,0.0430594894604468,0.015,0.044,0.442823232733531,0.0181337839476862,Bottom-up primary spending with endogenous interest,central,central,0.366301779377026,0.0306917793770262
2044,central,2214212.40924712,0.349670110359034,2512760.2162022,0.396817007454118,6332289.61712974,0.35061,,,,0.0430594894604468,0.015,0.044,0.457282629923041,0.0186798763034639,Bottom-up primary spending with endogenous interest,central,central,0.368349986662498,0.0327399866624979
2045,central,2321628.58619081,0.351181374374476,2634659.58541964,0.398532038983308,6610910.36028345,0.35061,,,,0.0430594894604486,0.015,0.044,0.473266328941837,0.0192898256714214,Bottom-up primary spending with endogenous interest,central,central,0.370471200045897,0.0348612000458973
2046,central,2434274.33020325,0.352701861898339,2762493.63733664,0.400257537649667,6901790.41613592,0.35061,,,,0.0430594894604468,0.015,0.044,0.490784927737624,0.0199640755717706,Bottom-up primary spending with endogenous interest,central,central,0.37266593747011,0.0370559374701096
2047,central,2552405.22651757,0.354231647882834,2896552.41838369,0.401993588511405,7205469.1944459,0.35061,,,,0.0430594894604468,0.015,0.044,0.509849108766319,0.0207030730640549,Bottom-up primary spending with endogenous interest,central,central,0.374934720946889,0.0393247209468889
2048,central,2676289.40220183,0.35577080781287,3037140.20787326,0.403740277231247,7522509.83900152,0.35061,,,,0.0430594894604468,0.015,0.044,0.530469639600955,0.0215072687726779,Bottom-up primary spending with endogenous interest,central,central,0.377278076585548,0.0416680765855479
2049,central,2806208.14414234,0.357319417709417,3184576.2193073,0.405497690080263,7853500.27191759,0.35061,,,,0.0430594894604468,0.015,0.044,0.552657373544488,0.0223771169125892,Bottom-up primary spending with endogenous interest,central,central,0.379696534622006,0.0440865346220062
2050,central,2942456.54760399,0.358877554133089,3339195.33638464,0.407265913941925,8199054.28388196,0.35061,,,,0.0430594894604468,0.015,0.044,0.576423250246742,0.0233130753151348,Bottom-up primary spending with endogenous interest,central,central,0.382190629448224,0.0465806294482238
2051,central,3085344.19688681,0.360445294187911,3501348.88543219,0.409045036316387,8559812.67237277,0.35061,,,,0.0430594894604468,0.015,0.044,0.60177829632568,0.0243156054540822,Bottom-up primary spending with endogenous interest,central,central,0.384760899641993,0.0491508996419932
2052,central,3235195.87967372,0.362022715525265,3671405.4460699,0.410835145324962,8936444.42995717,0.35061,,,,0.0430594894604468,0.015,0.044,0.628733625993175,0.0253851724718276,Bottom-up primary spending with endogenous interest,central,central,0.387407887997093,0.0517978879970926
2053,central,3392352.33674386,0.363609896348003,3849751.7020099,0.412636329714788,9329647.98487529,0.35061,,,,0.0430594894604468,0.015,0.044,0.657300441685466,0.0265222452057935,Bottom-up primary spending with endogenous interest,central,central,0.390132141553796,0.0545221415537964
2054,central,3557171.04880967,0.36520691541471,4036793.33398481,0.414448678863668,9740152.4962098,0.35061,,,,0.0430594894604468,0.015,0.044,0.687490034698438,0.027727296215023,Bottom-up primary spending with endogenous interest,central,central,0.392934211629733,0.057324211629733
2055,central,3730027.06232364,0.366813852044117,4232955.95689997,0.416272282785076,10168719.206043,0.35061,,,,0.0430594894604432,0.015,0.044,0.719313785827897,0.0290008018069792,Bottom-up primary spending with endogenous interest,central,central,0.395814653851096,0.0602046538510962
2056,central,3911313.85619251,0.368430786119645,4438686.10340901,0.418107232133313,10616142.8511089,0.35061,,,,0.0430594894604504,0.015,0.044,0.752783166014947,0.030343242064553,Bottom-up primary spending with endogenous interest,central,central,0.398774028184198,0.063164028184198
2057,central,4101444.25143374,0.37005779809407,4654452.25622152,0.419953618208807,11083253.1365577,0.35061,,,,0.0430594894604468,0.015,0.044,0.787909736996651,0.0317551008732888,Bottom-up primary spending with endogenous interest,central,central,0.401812898967359,0.0662028989673589
2058,central,4300851.36591079,0.371694968994321,4880745.93156768,0.42181153296355,11570916.2745663,0.35061,,,,0.0430594894604539,0.015,0.044,0.824705151962025,0.0332368659488304,Bottom-up primary spending with endogenous interest,central,central,0.404931834943151,0.0693218349431514
2059,central,4509989.6163899,0.373342380426373,5118082.81636489,0.423681069006654,12080036.5906472,0.35061,,,,0.0430594894604432,0.015,0.044,0.863181156213582,0.034789028864595,Bottom-up primary spending with endogenous interest,central,central,0.408131409290968,0.072521409290968
2060,central,4729335.77027394,0.375000114580256,5367003.96175952,0.425562319610039,12611558.2006357,0.35061,,,,0.0430594894604504,0.015,0.044,0.903349587834392,0.0364120850796763,Bottom-up primary spending with endogenous interest,central,central,0.411412199659932,0.0758021996599322
2061,central,4959390.04948578,0.376668254235161,5628077.03584961,0.427455378714219,13166466.7614636,0.35061,,,,0.0430594894604397,0.015,0.044,0.945222378360964,0.0381065339669879,Bottom-up primary spending with endogenous interest,central,central,0.414774788202149,0.0791647882021488
2062,central,5200677.28909779,0.378346882764635,5901897.63853536,0.429360340934207,13745791.298968,0.35061,,,,0.0430594894604468,0.015,0.044,0.988811553461801,0.039872878841643,Bottom-up primary spending with endogenous interest,central,central,0.418219761606278,0.082609761606278
2063,central,5453748.1534336,0.38003608414187,6189090.68159086,0.43127730156551,14350606.1161226,0.35061,,,,0.0430594894604504,0.015,0.044,1.03412923362198,0.041711626989583,Bottom-up primary spending with endogenous interest,central,central,0.421747711131453,0.086137711131453
2064,central,5719180.41250457,0.381735942945075,6490311.83720574,0.43320635659023,14982032.785232,0.35061,,,,0.0430594894604468,0.015,0.044,1.08118763483363,0.0436232896964526,Bottom-up primary spending with endogenous interest,central,central,0.425359232641528,0.0897492326415276
2065,central,5997580.28178667,0.383446544362933,6806249.05840748,0.435147602683252,15641242.2277822,0.35061,,,,0.0430594894604468,0.015,0.044,1.12999906929255,0.045608382276727,Bottom-up primary spending with endogenous interest,central,central,0.42905492663966,0.09344492663966
2066,central,6289583.82849359,0.385167974200121,7137624.1749459,0.437101137218514,16329456.8858046,0.35061,,,,0.0430594894604432,0.015,0.044,1.18057594610091,0.0476674241030982,Bottom-up primary spending with endogenous interest,central,central,0.432835398303219,0.0972253983032192
2025,pressure,967646.896960997,0.34717,983082,0.352707768724191,2787242.26448425,0.3406,0.02067,0.31732,0.01512,,0.02067,0.0526912895499811,0.31732,0.01512,Bottom-up primary spending with endogenous interest,pressure,pressure,0.36229,0.04236
2026,pressure,994310.991548129,0.34533,1044186.70012646,0.362652124154071,2879306.72559039,0.34602,0.01185,0.34811,0.01672,0.0324968735490927,0.01185,0.0526912895499811,0.337186403379581,0.0161937536358119,Bottom-up primary spending with endogenous interest,pressure,pressure,0.361523753635812,0.0273537536358119
2027,pressure,1005798.81386027,0.33617,1103176.42660058,0.368716699820885,2991935.07410021,0.34536,0.0193,0.36859,0.01808,0.0383708151550053,0.0193,0.0526284450454374,0.354426232023941,0.0170898448235777,Bottom-up primary spending with endogenous interest,pressure,pressure,0.353259844823578,0.0271998448235777
2028,pressure,1031388.90235003,0.32761,1174331.53682831,0.373014247005882,3148221.67317858,0.33991,0.01758,0.37294,0.02047,0.0509173851789608,0.01758,0.0525656005408936,0.362762099467503,0.0177279660575907,Bottom-up primary spending with endogenous interest,pressure,pressure,0.345337966057591,0.0230079660575907
2029,pressure,1077262.44912972,0.32454,1252282.94507801,0.377267310601931,3319351.84917026,0.33861,0.01522,0.37877,0.02075,0.0529317924928261,0.01522,0.0525027560363499,0.366264285367093,0.0180885506006849,Bottom-up primary spending with endogenous interest,pressure,pressure,0.342628550600685,0.0192385506006849
2030,pressure,1131911.98140663,0.328836949546936,1315811.26845191,0.382262376231329,3442167.86758956,0.33936,,,,0.0363319292473889,0.018,0.0524399115318061,0.381934177931227,0.0185335085987934,Bottom-up primary spending with endogenous interest,pressure,pressure,0.347370458145729,0.0260104581457293
2031,pressure,1188970.84046582,0.333089084678679,1382140.35670998,0.387205346544599,3569528.07869037,0.34011,,,,0.0363319292473907,0.018,0.0523770670272624,0.401326605945954,0.0193032671028809,Bottom-up primary spending with endogenous interest,pressure,pressure,0.35239235178156,0.0302823517815599
2032,pressure,1248884.49670169,0.337390395593455,1451788.05485639,0.39220548212382,3701600.61760192,0.34086,,,,0.0363319292473907,0.018,0.0523142225227187,0.42454625358733,0.0202590393822867,Bottom-up primary spending with endogenous interest,pressure,pressure,0.357649434975742,0.0347894349757417
2033,pressure,1311685.20011221,0.341712844043444,1524791.85247639,0.397230189407799,3838559.84045319,0.34161,,,,0.0363319292473907,0.018,0.0522513780181749,0.451670697654928,0.0214054263468476,Bottom-up primary spending with endogenous interest,pressure,pressure,0.363118270390292,0.0395082703902916
2034,pressure,1377675.55748829,0.346098631095851,1601503.52023055,0.402328525779693,3980586.55454995,0.34236,,,,0.0363319292473872,0.018,0.0521885335136312,0.48282020673229,0.0227456384160701,Bottom-up primary spending with endogenous interest,pressure,pressure,0.368844269511921,0.0444842695119211
2035,pressure,1446731.5979895,0.350479111224592,1681778.9460046,0.407420693023531,4127868.2570683,0.34311,,,,0.0363319292473925,0.018,0.0521256890090875,0.518047526401506,0.0242850145143243,Bottom-up primary spending with endogenous interest,pressure,pressure,0.374764125738916,0.0496541257389164
2036,pressure,1515242.11076493,0.353978958398046,1761420.21334528,0.411489152783951,4280599.38257983,0.34386,,,,0.0363319292473907,0.018,0.0520628445045437,0.556530144604879,0.0260254721984607,Bottom-up primary spending with endogenous interest,pressure,pressure,0.380004430596507,0.0541444305965066
2037,pressure,1584431.24067089,0.356935756400254,1841850.3512713,0.414926335350926,4438981.55973528,0.34461,,,,0.0363319292473889,0.018,0.052,0.597769955841756,0.0279249984514811,Bottom-up primary spending with endogenous interest,pressure,pressure,0.384860754851735,0.058250754851735
2038,pressure,1656663.13928423,0.3598919329997,1925817.60994366,0.41836279555718,4603223.87744549,0.34461,,,,0.0363319292473907,0.018,0.052,0.642589439164463,0.0299942873769655,Bottom-up primary spending with endogenous interest,pressure,pressure,0.389886220376666,0.0632762203766655
2039,pressure,1732068.95114336,0.362847656920068,2013474.44066976,0.421798729538566,4773543.16091097,0.34461,,,,0.0363319292473907,0.018,0.052,0.691042262155908,0.0322431934146993,Bottom-up primary spending with endogenous interest,pressure,pressure,0.395090850334767,0.0684808503347673
2040,pressure,1810785.41201414,0.365803096157308,2104979.79437908,0.425234332584973,4950164.25786468,0.34461,,,,0.0363319292473907,0.018,0.052,0.743183071783131,0.0346744094415806,Bottom-up primary spending with endogenous interest,pressure,pressure,0.400477505598889,0.0738675055988886
2041,pressure,1892955.08591801,0.368758417989595,2200499.39716071,0.428669799151899,5133320.33540567,0.34461,,,,0.0363319292473889,0.018,0.052,0.799067508486631,0.0372906774770398,Bottom-up primary spending with endogenous interest,pressure,pressure,0.406049095466635,0.0794390954666348
2042,pressure,1978726.61218122,0.371713788987211,2300206.03745017,0.432105322871938,5323253.18781568,0.34461,,,,0.0363319292473907,0.018,0.052,0.858752220492563,0.0400947893899984,Bottom-up primary spending with endogenous interest,pressure,pressure,0.411808578377209,0.0851985783772094
