term,variance_inflation_factor,standardised_design_condition_number
age_65p_l1,19.6757908628894,10.5687834451904
age_0_14_l1,13.746918312514,10.5687834451904
y_lag,5.46658317546185,10.5687834451904
d_rp_z,5.253482586654,10.5687834451904
d_tot_z,4.16721322918754,10.5687834451904
unemployment_l1,3.88390543121535,10.5687834451904
dy_lag,3.35793012769976,10.5687834451904
rp_z_l1,2.45505433874274,10.5687834451904
covid_fy2022,2.45201964507072,10.5687834451904
covid_fy2021,2.27573933340049,10.5687834451904
d_unemployment,2.04424816240089,10.5687834451904
d_tot_z_l1,1.63377674789865,10.5687834451904
covid_fy2020,1.22460518558119,10.5687834451904
