model,model_label,horizon,n,mean_error_pp,mae_pp,rmse_pp
structural_ols,Structural OLS (levels),1,11,-2.32371532557106,2.32371532557106,3.26928433366623
arimax_level,ARIMAX (levels),1,11,-1.82040254967909,1.82040254967909,2.91489200387656
arimax_diff,ARIMAX (differences),1,11,-0.88659797756703,1.04832719207648,1.70904583707339
dynamic_diff,Dynamic differences,1,11,-0.863974764610719,1.07459184242241,1.70747789677004
hybrid,Hybrid structural/macro,1,11,-1.62260961535584,1.65411507058204,3.08428235774876
ardl_ecm,ARDL error-correction model,1,11,-1.3142118315867,1.36621067895251,2.16387096857442
univariate_arima,ARIMA with COVID controls,1,11,-1.02159152542126,1.39186955900485,2.63079942107179
structural_ols,Structural OLS (levels),2,11,-3.25759764755913,3.25759764755913,4.05336066914983
arimax_level,ARIMAX (levels),2,11,-3.04886638141169,3.04886638141169,3.87674781901011
arimax_diff,ARIMAX (differences),2,11,-1.64028533359677,1.71500353847587,2.85841140093765
dynamic_diff,Dynamic differences,2,11,-1.64948232520101,1.74748124578658,2.8479042458316
hybrid,Hybrid structural/macro,2,11,-2.59428725502142,2.59428725502142,3.62615932867417
ardl_ecm,ARDL error-correction model,2,11,-2.34774422019859,2.34851251973119,3.45741192138161
univariate_arima,ARIMA with COVID controls,2,11,-1.30979007933057,1.65097126607419,2.76383822313736
structural_ols,Structural OLS (levels),3,11,-4.08422369399551,4.08422369399551,4.76449611207334
arimax_level,ARIMAX (levels),3,11,-3.94218105033772,3.94218105033772,4.64155159423234
arimax_diff,ARIMAX (differences),3,11,-2.27140609535257,2.56929348427286,3.60228572815461
dynamic_diff,Dynamic differences,3,11,-2.29577953305375,2.57350133137197,3.62913168540859
hybrid,Hybrid structural/macro,3,11,-3.4590293634131,3.4590293634131,4.24024183839811
ardl_ecm,ARDL error-correction model,3,11,-3.48855961782095,3.49387763251842,4.54537957259354
univariate_arima,ARIMA with COVID controls,3,11,-1.38291914274696,1.74028697358894,2.77128472316046
structural_ols,Structural OLS (levels),4,11,-5.08590101191481,5.08590101191481,5.68449674562945
arimax_level,ARIMAX (levels),4,11,-4.92927053272835,4.92927053272835,5.49002731581798
arimax_diff,ARIMAX (differences),4,11,-3.04603670470742,3.0629942201657,4.19866201305374
dynamic_diff,Dynamic differences,4,11,-3.06768055042696,3.13615633191591,4.2469912372135
hybrid,Hybrid structural/macro,4,11,-4.49309051930079,4.49309051930079,5.14359530584307
ardl_ecm,ARDL error-correction model,4,11,-4.92940778672091,4.92940778672091,5.89091393193555
univariate_arima,ARIMA with COVID controls,4,11,-1.64560940984022,1.83167879881096,2.76855826784413
structural_ols,Structural OLS (levels),5,11,-6.15314290589705,6.15314290589705,6.67766325273072
arimax_level,ARIMAX (levels),5,11,-5.95062626251633,5.95062626251633,6.44570986879109
arimax_diff,ARIMAX (differences),5,11,-3.90484020272305,3.90484020272305,4.97250781647955
dynamic_diff,Dynamic differences,5,11,-3.91720955540738,3.9700741573073,4.99588323372772
hybrid,Hybrid structural/macro,5,11,-5.5928431556138,5.5928431556138,6.13069808336586
ardl_ecm,ARDL error-correction model,5,11,-6.41934324779278,6.41934324779278,7.36273714521094
univariate_arima,ARIMA with COVID controls,5,11,-1.98450056813902,2.12037116071242,2.93516942507441
