component,term,estimate
structural_ols,(Intercept),0.0616842557416083
structural_ols,age_0_14,0.642780833723716
structural_ols,age_65p,0.825918638270669
structural_ols,tot_z,0.00453849531182004
structural_ols,rp_z,-0.00202265056420014
structural_ols,unemployment,0.00794735747752425
structural_ols,covid_fy2020,0.0332038940991429
structural_ols,covid_fy2021,0.0434675499507861
structural_ols,covid_fy2022,0.0106926411828643
hybrid_level_ols,(Intercept),0.11202001503847
hybrid_level_ols,age_0_14,0.759138035873255
hybrid_level_ols,age_65p,0.661871356481001
hybrid_level_ols,rp_z,-0.000939596108556895
hybrid_level_ols,covid_fy2020,0.0380564120394732
hybrid_level_ols,covid_fy2021,0.0571466780525355
hybrid_level_ols,covid_fy2022,0.014420036147526
hybrid_macro,ar1,0.454367792635156
hybrid_macro,d_unemployment,0.00305608633448858
hybrid_macro,d_unemployment_l1,0.000233503609563359
hybrid_macro,d_tot_z,-0.00470599290056899
hybrid_macro,d_tot_z_l1,0.00328049048862373
hybrid_macro,d_log_real_gdp_per_capita,-0.19277400782184
per_capita_income,d_log_real_gdp_per_capita,0.0727351669435446
per_capita_income,d_age_0_14,-4.97330948670979
per_capita_income,d_age_65p,2.69417847065572
per_capita_income,d_rp_z,0.0263259077356465
per_capita_income,covid_fy2020,0.100815903874047
per_capita_income,covid_fy2021,0.073298589634841
per_capita_income,covid_fy2022,-0.0551440660562396
univariate_arima,ar1,0.544854087089247
univariate_arima,ma1,0.630928405473693
univariate_arima,ma2,0.459985635690384
univariate_arima,intercept,0.354480912728371
univariate_arima,covid_fy2020,0.0471509362148106
univariate_arima,covid_fy2021,0.0712553257673169
univariate_arima,covid_fy2022,0.0286407527952968
