component,term,vif
structural_ols,age_0_14,8.94318313627568
structural_ols,age_65p,14.1506664701613
structural_ols,tot_z,5.77262600198685
structural_ols,rp_z,1.39020142781894
structural_ols,unemployment,2.51746006796994
structural_ols,covid_fy2020,1.13699437935107
structural_ols,covid_fy2021,1.22907796690082
structural_ols,covid_fy2022,1.30871122406811
hybrid_level_ols,age_0_14,8.86475914932267
hybrid_level_ols,age_65p,10.6908089907101
hybrid_level_ols,rp_z,1.3711429333802
hybrid_level_ols,covid_fy2020,1.12873801891876
hybrid_level_ols,covid_fy2021,1.18202282686016
hybrid_level_ols,covid_fy2022,1.28405176726652
hybrid_macro,d_unemployment,2.878818811427
hybrid_macro,d_unemployment_l1,1.47829859852681
hybrid_macro,d_tot_z,1.20291958966735
hybrid_macro,d_tot_z_l1,1.18537199614187
hybrid_macro,d_log_real_gdp_per_capita,2.38036694703156
per_capita_income,d_log_real_gdp_per_capita,1.21163763096593
per_capita_income,d_age_0_14,1.21733329513876
per_capita_income,d_age_65p,2.22318962249538
per_capita_income,d_rp_z,1.37353351758363
per_capita_income,covid_fy2020,1.38320654015954
per_capita_income,covid_fy2021,1.65441629025384
per_capita_income,covid_fy2022,1.30385347298862
