year,model,actual,fitted,model_label
1980,structural_ols,0.333103269138001,0.352080765556423,Structural OLS (old-Shapley comparison)
1981,structural_ols,0.341854541406654,0.347238904984979,Structural OLS (old-Shapley comparison)
1982,structural_ols,0.34194351027086,0.347380167238653,Structural OLS (old-Shapley comparison)
1983,structural_ols,0.369170289130503,0.368375840319426,Structural OLS (old-Shapley comparison)
1984,structural_ols,0.374219801166094,0.373802560452209,Structural OLS (old-Shapley comparison)
1985,structural_ols,0.384885205434133,0.363464644805075,Structural OLS (old-Shapley comparison)
1986,structural_ols,0.386757421004678,0.354983248764273,Structural OLS (old-Shapley comparison)
1987,structural_ols,0.387112871425331,0.356380248715412,Structural OLS (old-Shapley comparison)
1988,structural_ols,0.361389001685801,0.354818944836985,Structural OLS (old-Shapley comparison)
1989,structural_ols,0.345975970765878,0.349272790208674,Structural OLS (old-Shapley comparison)
1990,structural_ols,0.342681221503343,0.345183396748624,Structural OLS (old-Shapley comparison)
1991,structural_ols,0.357308222125526,0.362014607770494,Structural OLS (old-Shapley comparison)
1992,structural_ols,0.373256260951802,0.375821993932694,Structural OLS (old-Shapley comparison)
1993,structural_ols,0.372161555856265,0.380938867897046,Structural OLS (old-Shapley comparison)
1994,structural_ols,0.370458861335371,0.378124242577495,Structural OLS (old-Shapley comparison)
1995,structural_ols,0.370609406969422,0.367005156812085,Structural OLS (old-Shapley comparison)
1996,structural_ols,0.365259991470121,0.363642126466405,Structural OLS (old-Shapley comparison)
1997,structural_ols,0.356153778449965,0.365376085249539,Structural OLS (old-Shapley comparison)
1998,structural_ols,0.342296359017782,0.360075097559068,Structural OLS (old-Shapley comparison)
1999,structural_ols,0.345408985029229,0.351730491137374,Structural OLS (old-Shapley comparison)
2000,structural_ols,0.344757730483635,0.346753023062704,Structural OLS (old-Shapley comparison)
2001,structural_ols,0.350668155529801,0.344847838356792,Structural OLS (old-Shapley comparison)
2002,structural_ols,0.345335135363433,0.347606110898954,Structural OLS (old-Shapley comparison)
2003,structural_ols,0.338893297616431,0.342238364275782,Structural OLS (old-Shapley comparison)
2004,structural_ols,0.337763913273131,0.339637938114284,Structural OLS (old-Shapley comparison)
2005,structural_ols,0.336883717718547,0.336802956826242,Structural OLS (old-Shapley comparison)
2006,structural_ols,0.333935210831799,0.337061343173877,Structural OLS (old-Shapley comparison)
2007,structural_ols,0.329632421017543,0.334983709246612,Structural OLS (old-Shapley comparison)
2008,structural_ols,0.32922316457056,0.333606555851986,Structural OLS (old-Shapley comparison)
2009,structural_ols,0.350492899653279,0.341074204447655,Structural OLS (old-Shapley comparison)
2010,structural_ols,0.356366529110526,0.343853125396767,Structural OLS (old-Shapley comparison)
2011,structural_ols,0.347158149042668,0.347842639808935,Structural OLS (old-Shapley comparison)
2012,structural_ols,0.349874026949591,0.350333566246098,Structural OLS (old-Shapley comparison)
2013,structural_ols,0.344430952357823,0.35094938305888,Structural OLS (old-Shapley comparison)
2014,structural_ols,0.346132712717135,0.355019164458771,Structural OLS (old-Shapley comparison)
2015,structural_ols,0.348893646518989,0.355350327306713,Structural OLS (old-Shapley comparison)
2016,structural_ols,0.354659808866871,0.351619862929492,Structural OLS (old-Shapley comparison)
2017,structural_ols,0.350056716497443,0.356428541944889,Structural OLS (old-Shapley comparison)
2018,structural_ols,0.349966601492251,0.357137631044274,Structural OLS (old-Shapley comparison)
2019,structural_ols,0.3489459716794,0.357686816900152,Structural OLS (old-Shapley comparison)
2020,structural_ols,0.397665294079763,0.397665294079763,Structural OLS (old-Shapley comparison)
2021,structural_ols,0.420022274506502,0.420022274506502,Structural OLS (old-Shapley comparison)
2022,structural_ols,0.378859989972692,0.378859989972692,Structural OLS (old-Shapley comparison)
2023,structural_ols,0.357918223925394,0.361416339837949,Structural OLS (old-Shapley comparison)
2024,structural_ols,0.373326881738081,0.36015495820119,Structural OLS (old-Shapley comparison)
2025,structural_ols,0.383410740130003,0.360618547799164,Structural OLS (old-Shapley comparison)
1980,hybrid,0.333103269138001,,Hybrid spending-share model
1981,hybrid,0.341854541406654,,Hybrid spending-share model
1982,hybrid,0.34194351027086,0.338289001089353,Hybrid spending-share model
1983,hybrid,0.369170289130503,0.357812974236744,Hybrid spending-share model
1984,hybrid,0.374219801166094,0.369696621834327,Hybrid spending-share model
1985,hybrid,0.384885205434133,0.366757502949803,Hybrid spending-share model
1986,hybrid,0.386757421004678,0.387225091481615,Hybrid spending-share model
1987,hybrid,0.387112871425331,0.388210863456308,Hybrid spending-share model
1988,hybrid,0.361389001685801,0.377604324063363,Hybrid spending-share model
1989,hybrid,0.345975970765878,0.345860361238976,Hybrid spending-share model
1990,hybrid,0.342681221503343,0.338138814764243,Hybrid spending-share model
1991,hybrid,0.357308222125526,0.354251326594551,Hybrid spending-share model
1992,hybrid,0.373256260951802,0.36628535217716,Hybrid spending-share model
1993,hybrid,0.372161555856265,0.374294055098172,Hybrid spending-share model
1994,hybrid,0.370458861335371,0.366561586788697,Hybrid spending-share model
1995,hybrid,0.370609406969422,0.362002965500081,Hybrid spending-share model
1996,hybrid,0.365259991470121,0.368265008077436,Hybrid spending-share model
1997,hybrid,0.356153778449965,0.360618822489665,Hybrid spending-share model
1998,hybrid,0.342296359017782,0.345552972699196,Hybrid spending-share model
1999,hybrid,0.345408985029229,0.329689364954991,Hybrid spending-share model
2000,hybrid,0.344757730483635,0.342441502233948,Hybrid spending-share model
