model,model_label,horizon,n,mean_error_pp,mae_pp,rmse_pp
structural_ols,Structural OLS (levels),1,11,-1.62715572590592,1.96933343329479,3.38856342796503
arimax_level,ARIMAX (levels),1,11,-1.50368069062416,1.75233239713442,3.1771636756554
arimax_diff,Differenced ARIMAX,1,11,-0.783844899875879,1.14030853115936,1.80103632342544
hybrid,Hybrid structural/macro,1,11,-1.478592053009,1.65083417005911,3.20868065300115
ardl_ecm,ARDL error-correction model,1,11,-0.457322112214183,1.11194785445075,1.8552579543652
structural_ols,Structural OLS (levels),2,11,-2.36093790884077,2.77356540131768,4.09947070064711
arimax_level,ARIMAX (levels),2,11,-2.28296852439153,2.65986429667885,3.93963609028591
arimax_diff,Differenced ARIMAX,2,11,-1.53862588071017,1.93896376066843,3.00011579574053
hybrid,Hybrid structural/macro,2,11,-2.22492092255138,2.48232176468926,3.76417914062107
ardl_ecm,ARDL error-correction model,2,11,-0.754645577098577,1.88928104202626,2.88086341351785
structural_ols,Structural OLS (levels),3,11,-2.95351422770857,3.40957568177099,4.63493219540035
arimax_level,ARIMAX (levels),3,11,-2.86097445187121,3.2932252416223,4.4393204884658
arimax_diff,Differenced ARIMAX,3,11,-2.1249643073147,2.84918591409929,3.8045287151855
hybrid,Hybrid structural/macro,3,11,-2.83953566905832,3.16124036564615,4.24634953610279
ardl_ecm,ARDL error-correction model,3,11,-0.855318044639865,2.46523018259703,3.39476475210609
structural_ols,Structural OLS (levels),4,11,-3.67000784675835,4.03963096228119,5.26387214293889
arimax_level,ARIMAX (levels),4,11,-3.55487762549194,3.87116572444321,5.03105038014703
arimax_diff,Differenced ARIMAX,4,11,-2.76225769604377,3.40566866606151,4.35086616154833
hybrid,Hybrid structural/macro,4,11,-3.57027407661375,3.73923084363609,4.89251869043516
ardl_ecm,ARDL error-correction model,4,11,-1.04701164800155,2.9758015745447,3.6827391581966
structural_ols,Structural OLS (levels),5,11,-4.47227745588744,4.72131306183035,5.92420064368217
arimax_level,ARIMAX (levels),5,11,-4.3373829177844,4.54498398300009,5.68562569341786
arimax_diff,Differenced ARIMAX,5,11,-3.50724405775469,3.92749582197064,4.96739803526813
hybrid,Hybrid structural/macro,5,11,-4.37317989178704,4.48714154157244,5.60473551360858
ardl_ecm,ARDL error-correction model,5,11,-1.38023245650155,3.40361491848934,3.94414240195177
