model,model_label,interest_treatment,interest_treatment_label,in_sample_observations,in_sample_rmse_pp,in_sample_mae_pp,in_sample_r_squared,average_rolling_rmse_pp,rolling_rmse_1y_pp,rolling_rmse_5y_pp,Matching PBO anchor,Model only,included_interest_in_sample_rmse_pp,included_interest_average_rolling_rmse_pp,included_interest_anchored_endpoint,in_sample_rmse_change_pp,average_rolling_rmse_change_pp,anchored_endpoint_change_pp
ardl_ecm,ARDL error-correction model,exclude_other_interest,Exclude conventional other interest,45,0.523945326940737,0.377321129599279,0.915655920816391,3.1515535360275,1.8552579543652,3.94414240195177,31.714141898637,30.9304440403049,0.571919978364238,3.13381800909185,28.312425153877,-0.0479746514235009,0.0177355269356565,3.40171674475995
ardl_ecm,ARDL error-correction model,exclude_total_interest,Exclude total interest payable,45,0.531827631071746,0.381607991496023,0.933201494746994,3.17020944472365,1.80336887446248,4.06255415436906,32.4171663964835,31.4037108914204,0.571919978364238,3.13381800909185,28.312425153877,-0.0400923472924926,0.0363914356318054,4.10474124260653
ardl_ecm,ARDL error-correction model,include_interest,Include all interest,45,0.571919978364238,0.412979672477771,0.909848548062589,3.13381800909185,1.78538955395629,4.14727832269112,28.312425153877,27.5081366001672,0.571919978364238,3.13381800909185,28.312425153877,0,0,0
arimax_diff,Differenced ARIMAX,exclude_other_interest,Exclude conventional other interest,44,0.589958041491215,0.435425533875894,0.892407369773775,3.58478900623359,1.80103632342544,4.96739803526813,32.9419110676461,33.9572530505038,0.660005399068444,3.48547765979029,34.6673947333396,-0.0700473575772288,0.0993113464432969,-1.72548366569342
arimax_diff,Differenced ARIMAX,exclude_total_interest,Exclude total interest payable,44,0.575357202463563,0.422230374546797,0.920897355865831,3.52937053017459,1.79259226583691,4.89302075136813,33.6834290336713,34.3836090678031,0.660005399068444,3.48547765979029,34.6673947333396,-0.0846481966048811,0.0438928703843029,-0.983965699668239
arimax_diff,Differenced ARIMAX,include_interest,Include all interest,44,0.660005399068444,0.499136921312666,0.880744933815345,3.48547765979029,1.70747789677004,4.99588323372772,34.6673947333396,35.8164835642549,0.660005399068444,3.48547765979029,34.6673947333396,0,0,0
arimax_level,ARIMAX (levels),exclude_other_interest,Exclude conventional other interest,46,0.552756959609925,0.430513511261,0.908745796665652,4.4545592655944,3.1771636756554,5.68562569341786,36.2726439233058,37.4904247077735,0.630814086544043,4.67378572034562,40.9930451908859,-0.0780571269341178,-0.219226454751217,-4.7204012675801
arimax_level,ARIMAX (levels),exclude_total_interest,Exclude total interest payable,46,0.526957089272686,0.399938964655691,0.936120674383166,4.2879241191404,3.11663599606277,5.37120703078436,39.4724290037087,40.5181855335851,0.630814086544043,4.67378572034562,40.9930451908859,-0.103856997271356,-0.385861601205215,-1.5206161871772
arimax_level,ARIMAX (levels),include_interest,Include all interest,46,0.630814086544043,0.494014906694493,0.891794400380526,4.67378572034562,2.91489200387656,6.44570986879109,40.9930451908859,41.2707370458353,0.630814086544043,4.67378572034562,40.9930451908859,0,0,0
hybrid,Hybrid structural/macro,exclude_other_interest,Exclude conventional other interest,44,0.620135624808884,0.466720816157996,0.881118675289015,4.34329270675375,3.20868065300115,5.60473551360858,36.1637956277235,38.0227615821869,0.770638369442211,4.44499538280599,39.2816871311809,-0.150502744633327,-0.101702676052244,-3.11789150345745
hybrid,Hybrid structural/macro,exclude_total_interest,Exclude total interest payable,44,0.605177666526299,0.475556837401319,0.912485165165017,4.31958140005229,3.19445410134338,5.44207273193323,36.9015135741088,38.5065012552141,0.770638369442211,4.44499538280599,39.2816871311809,-0.165460702915912,-0.125413982753705,-2.38017355707215
hybrid,Hybrid structural/macro,include_interest,Include all interest,44,0.770638369442211,0.560136915577262,0.837414010656213,4.44499538280599,3.08428235774876,6.13069808336586,39.2816871311809,41.1600793732846,0.770638369442211,4.44499538280599,39.2816871311809,0,0,0
structural_ols,Structural OLS (levels),exclude_other_interest,Exclude conventional other interest,46,0.768900301258291,0.56741021164161,0.823426916420023,4.66220782212671,3.38856342796503,5.92420064368217,36.5203366113434,36.2972954925584,1.03433676729206,4.88986022264991,39.8802935105462,-0.265436466033773,-0.227652400523203,-3.3599568992028
structural_ols,Structural OLS (levels),exclude_total_interest,Exclude total interest payable,46,0.760727105238769,0.56826159390398,0.866872553795217,4.57737434695913,3.36955125524373,5.71562400950942,37.1531906702519,36.786029979075,1.03433676729206,4.88986022264991,39.8802935105462,-0.273609662053295,-0.312485875690787,-2.72710284029427
structural_ols,Structural OLS (levels),include_interest,Include all interest,46,1.03433676729206,0.712036764800087,0.70908179740856,4.88986022264991,3.26928433366623,6.67766325273072,39.8802935105462,38.8450945305579,1.03433676729206,4.88986022264991,39.8802935105462,0,0,0
