year,model,value,interest_treatment,interest_treatment_label,model_label,path_type
2026,structural_ols,0.361966324862483,include_interest,Include all interest,Structural OLS (levels),Model only
2027,structural_ols,0.362913972915624,include_interest,Include all interest,Structural OLS (levels),Model only
2028,structural_ols,0.363027192151714,include_interest,Include all interest,Structural OLS (levels),Model only
2029,structural_ols,0.361888559710274,include_interest,Include all interest,Structural OLS (levels),Model only
2030,structural_ols,0.360648010200117,include_interest,Include all interest,Structural OLS (levels),Model only
2031,structural_ols,0.359192688266364,include_interest,Include all interest,Structural OLS (levels),Model only
2032,structural_ols,0.357888309146879,include_interest,Include all interest,Structural OLS (levels),Model only
2033,structural_ols,0.358804704978525,include_interest,Include all interest,Structural OLS (levels),Model only
2034,structural_ols,0.359949706414607,include_interest,Include all interest,Structural OLS (levels),Model only
2035,structural_ols,0.361194876766857,include_interest,Include all interest,Structural OLS (levels),Model only
2036,structural_ols,0.362807784349855,include_interest,Include all interest,Structural OLS (levels),Model only
2037,structural_ols,0.363662556381712,include_interest,Include all interest,Structural OLS (levels),Model only
2038,structural_ols,0.364517328413569,include_interest,Include all interest,Structural OLS (levels),Model only
2039,structural_ols,0.365372100445427,include_interest,Include all interest,Structural OLS (levels),Model only
2040,structural_ols,0.366226872477285,include_interest,Include all interest,Structural OLS (levels),Model only
2041,structural_ols,0.367081644509141,include_interest,Include all interest,Structural OLS (levels),Model only
2042,structural_ols,0.367936416541,include_interest,Include all interest,Structural OLS (levels),Model only
2043,structural_ols,0.368791188572857,include_interest,Include all interest,Structural OLS (levels),Model only
2044,structural_ols,0.369645960604714,include_interest,Include all interest,Structural OLS (levels),Model only
2045,structural_ols,0.370500732636572,include_interest,Include all interest,Structural OLS (levels),Model only
2046,structural_ols,0.37135550466843,include_interest,Include all interest,Structural OLS (levels),Model only
2047,structural_ols,0.372210276700287,include_interest,Include all interest,Structural OLS (levels),Model only
2048,structural_ols,0.373065048732144,include_interest,Include all interest,Structural OLS (levels),Model only
2049,structural_ols,0.373919820764002,include_interest,Include all interest,Structural OLS (levels),Model only
2050,structural_ols,0.37477459279586,include_interest,Include all interest,Structural OLS (levels),Model only
2051,structural_ols,0.375629364827717,include_interest,Include all interest,Structural OLS (levels),Model only
2052,structural_ols,0.376484136859574,include_interest,Include all interest,Structural OLS (levels),Model only
2053,structural_ols,0.377338908891432,include_interest,Include all interest,Structural OLS (levels),Model only
2054,structural_ols,0.37819368092329,include_interest,Include all interest,Structural OLS (levels),Model only
2055,structural_ols,0.379048452955146,include_interest,Include all interest,Structural OLS (levels),Model only
2056,structural_ols,0.379903224987005,include_interest,Include all interest,Structural OLS (levels),Model only
2057,structural_ols,0.380757997018862,include_interest,Include all interest,Structural OLS (levels),Model only
2058,structural_ols,0.381612769050719,include_interest,Include all interest,Structural OLS (levels),Model only
2059,structural_ols,0.382467541082577,include_interest,Include all interest,Structural OLS (levels),Model only
