year,model,model_label,value,series
2026,structural_ols,Structural OLS (levels),0.387,Previous treatment: interest embedded
2027,structural_ols,Structural OLS (levels),0.389,Previous treatment: interest embedded
2028,structural_ols,Structural OLS (levels),0.384,Previous treatment: interest embedded
2029,structural_ols,Structural OLS (levels),0.378,Previous treatment: interest embedded
2030,structural_ols,Structural OLS (levels),0.371,Previous treatment: interest embedded
2031,structural_ols,Structural OLS (levels),0.369544678066247,Previous treatment: interest embedded
2032,structural_ols,Structural OLS (levels),0.368240298946762,Previous treatment: interest embedded
2033,structural_ols,Structural OLS (levels),0.369156694778407,Previous treatment: interest embedded
2034,structural_ols,Structural OLS (levels),0.37030169621449,Previous treatment: interest embedded
2035,structural_ols,Structural OLS (levels),0.37154686656674,Previous treatment: interest embedded
2036,structural_ols,Structural OLS (levels),0.373159774149738,Previous treatment: interest embedded
2037,structural_ols,Structural OLS (levels),0.374014546181595,Previous treatment: interest embedded
2038,structural_ols,Structural OLS (levels),0.374869318213452,Previous treatment: interest embedded
2039,structural_ols,Structural OLS (levels),0.37572409024531,Previous treatment: interest embedded
2040,structural_ols,Structural OLS (levels),0.376578862277168,Previous treatment: interest embedded
2041,structural_ols,Structural OLS (levels),0.377433634309024,Previous treatment: interest embedded
2042,structural_ols,Structural OLS (levels),0.378288406340883,Previous treatment: interest embedded
2043,structural_ols,Structural OLS (levels),0.37914317837274,Previous treatment: interest embedded
2044,structural_ols,Structural OLS (levels),0.379997950404597,Previous treatment: interest embedded
2045,structural_ols,Structural OLS (levels),0.380852722436455,Previous treatment: interest embedded
2046,structural_ols,Structural OLS (levels),0.381707494468313,Previous treatment: interest embedded
2047,structural_ols,Structural OLS (levels),0.38256226650017,Previous treatment: interest embedded
2048,structural_ols,Structural OLS (levels),0.383417038532027,Previous treatment: interest embedded
2049,structural_ols,Structural OLS (levels),0.384271810563885,Previous treatment: interest embedded
2050,structural_ols,Structural OLS (levels),0.385126582595742,Previous treatment: interest embedded
2051,structural_ols,Structural OLS (levels),0.3859813546276,Previous treatment: interest embedded
2052,structural_ols,Structural OLS (levels),0.386836126659457,Previous treatment: interest embedded
2053,structural_ols,Structural OLS (levels),0.387690898691315,Previous treatment: interest embedded
2054,structural_ols,Structural OLS (levels),0.388545670723173,Previous treatment: interest embedded
2055,structural_ols,Structural OLS (levels),0.389400442755029,Previous treatment: interest embedded
2056,structural_ols,Structural OLS (levels),0.390255214786888,Previous treatment: interest embedded
2057,structural_ols,Structural OLS (levels),0.391109986818745,Previous treatment: interest embedded
2058,structural_ols,Structural OLS (levels),0.391964758850602,Previous treatment: interest embedded
2059,structural_ols,Structural OLS (levels),0.39281953088246,Previous treatment: interest embedded
2060,structural_ols,Structural OLS (levels),0.393674302914317,Previous treatment: interest embedded
2061,structural_ols,Structural OLS (levels),0.394529074946175,Previous treatment: interest embedded
2062,structural_ols,Structural OLS (levels),0.395383846978032,Previous treatment: interest embedded
2063,structural_ols,Structural OLS (levels),0.39623861900989,Previous treatment: interest embedded
2064,structural_ols,Structural OLS (levels),0.397093391041747,Previous treatment: interest embedded
2065,structural_ols,Structural OLS (levels),0.397948163073605,Previous treatment: interest embedded
2066,structural_ols,Structural OLS (levels),0.398802935105462,Previous treatment: interest embedded
2026,arimax_level,ARIMAX (levels),0.387,Previous treatment: interest embedded
2027,arimax_level,ARIMAX (levels),0.389,Previous treatment: interest embedded
2028,arimax_level,ARIMAX (levels),0.384,Previous treatment: interest embedded
2029,arimax_level,ARIMAX (levels),0.378,Previous treatment: interest embedded
2030,arimax_level,ARIMAX (levels),0.371,Previous treatment: interest embedded
2031,arimax_level,ARIMAX (levels),0.369541762826605,Previous treatment: interest embedded
2032,arimax_level,ARIMAX (levels),0.369098637914937,Previous treatment: interest embedded
2033,arimax_level,ARIMAX (levels),0.369915310724275,Previous treatment: interest embedded
2034,arimax_level,ARIMAX (levels),0.371348341053669,Previous treatment: interest embedded
2035,arimax_level,ARIMAX (levels),0.373060547340611,Previous treatment: interest embedded
2036,arimax_level,ARIMAX (levels),0.375315116469891,Previous treatment: interest embedded
