model,model_label,component,term,estimate,conventional_se,robust_hc1_se,conventional_p_value,robust_hc1_p_value,standard_error_scope
structural_ols,Structural OLS (levels),Structural equation,(Intercept),-0.188937209804005,0.072210452742508,0.0719695017356871,0.012904451166412,0.0086587927854715,Coefficient uncertainty conditional on the specification
structural_ols,Structural OLS (levels),Structural equation,age_0_14,-2.14583717967974,0.489534761180925,0.592980653642733,9.7082107728407e-05,0.000296051738433357,Coefficient uncertainty conditional on the specification
structural_ols,Structural OLS (levels),Structural equation,age_65p,1.02850016140889,0.206709234145815,0.178328152597406,1.61871948311059e-05,8.04760486717348e-09,Coefficient uncertainty conditional on the specification
structural_ols,Structural OLS (levels),Structural equation,tot_z,0.00327902605466961,0.00243174929041347,0.00194957525105818,0.185945255118047,0.092584707180326,Coefficient uncertainty conditional on the specification
structural_ols,Structural OLS (levels),Structural equation,rp_z,0.00739933962950018,0.00212632228169942,0.00235445117839523,0.00133163232901238,0.00167395874329564,Coefficient uncertainty conditional on the specification
structural_ols,Structural OLS (levels),Structural equation,unemployment,0.000516373470214708,0.00161100890045448,0.00189682150654019,0.750421301551813,0.7854444659811,Coefficient uncertainty conditional on the specification
structural_ols,Structural OLS (levels),Structural equation,log_real_gdp_per_capita,-0.324145114830966,0.0531113067884457,0.067904246793225,5.06141219073137e-07,1.80996023261206e-06,Coefficient uncertainty conditional on the specification
structural_ols,Structural OLS (levels),Structural equation,covid_fy2020,0.0309312922206005,0.00884462709456647,0.00280970890817223,0.0012689056170167,3.46905851903997e-28,Coefficient uncertainty conditional on the specification
structural_ols,Structural OLS (levels),Structural equation,covid_fy2021,0.0559013614697135,0.00941082367257079,0.00455517499053209,8.35528575939325e-07,1.27962565333964e-34,Coefficient uncertainty conditional on the specification
structural_ols,Structural OLS (levels),Structural equation,covid_fy2022,0.0266742220598836,0.00983561331615557,0.00524878173218397,0.0101885764158615,3.73513901461867e-07,Coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,ar1,0.993795635509119,0.13221134959955,,5.61677253403729e-14,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,ar2,-0.425396225442651,0.134643532181871,,0.00158080444065973,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,intercept,-0.190287932655536,0.08436457600168,,0.0240992635835136,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,age_0_14,-2.14642681263607,0.459678049218888,,3.02061092393787e-06,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,age_65p,1.03444861707283,0.251650148121925,,3.94526937545482e-05,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,tot_z,0.00355528053942816,0.00268546984977678,,0.185537865510874,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,rp_z,0.00744785488467641,0.00181350859359267,,4.01046417591216e-05,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,unemployment,0.000965519486289548,0.00141289530221734,,0.494377890168132,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,log_real_gdp_per_capita,-0.323226512302112,0.04773621982409,,1.27810700472309e-11,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,covid_fy2020,0.035032862135606,0.00515451862233206,,1.07165870138885e-11,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,covid_fy2021,0.0564979243141614,0.00711112607396336,,1.94184692830805e-15,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_level,ARIMAX (levels),Level ARIMAX,covid_fy2022,0.0245477327721704,0.0051131513338525,,1.57953435180081e-06,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_diff,ARIMAX (differences),Difference ARIMAX,age_0_14,-1.54401148891113,0.689582322254278,,0.0251524563950045,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_diff,ARIMAX (differences),Difference ARIMAX,age_65p,0.362735324569043,0.853018224999264,,0.670663560850955,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
arimax_diff,ARIMAX (differences),Difference ARIMAX,tot_z,0.00555885467813203,0.00419426105414645,,0.185055820430532,,ARIMA maximum-likelihood coefficient uncertainty conditional on the specification
