model,estimation_window,estimation_first_year,estimation_last_year,endpoint_unanchored,endpoint_anchored,model_label,baseline_endpoint,endpoint_difference_from_full_sample_pp
ardl_ecm,Full sample,1980,2025,0.309304440403049,0.31714141898637,ARDL error-correction model,0.31714141898637,0
ardl_ecm,Starts 1990,1990,2025,0.317926240679276,0.3281128226218,ARDL error-correction model,0.31714141898637,1.09714036354301
ardl_ecm,Estimated through 2019,1980,2019,0.304627556593359,0.33162479421095,ARDL error-correction model,0.31714141898637,1.44833752245803
arimax_diff,Full sample,1980,2025,0.339572530505038,0.329419110676461,Differenced ARIMAX,0.329419110676461,0
arimax_diff,Starts 1990,1990,2025,0.349815898181705,0.343330652922317,Differenced ARIMAX,0.329419110676461,1.39115422458554
arimax_diff,Estimated through 2019,1980,2019,0.284583016061133,0.320603438494509,Differenced ARIMAX,0.329419110676461,-0.88156721819519
arimax_level,Full sample,1980,2025,0.374904247077735,0.362726439233058,ARIMAX (levels),0.362726439233058,0
arimax_level,Starts 1990,1990,2025,0.405317412936127,0.372288949972567,ARIMAX (levels),0.362726439233058,0.95625107395097
arimax_level,Estimated through 2019,1980,2019,0.260591369599408,0.311695025185572,ARIMAX (levels),0.362726439233058,-5.1031414047486
hybrid,Full sample,1980,2025,0.380227615821868,0.361637956277235,Hybrid structural/macro,0.361637956277235,0
hybrid,Starts 1990,1990,2025,0.394760001683232,0.374088140375594,Hybrid structural/macro,0.361637956277235,1.24501840983595
hybrid,Estimated through 2019,1980,2019,0.260903695187713,0.307866785381442,Hybrid structural/macro,0.361637956277235,-5.37711708957926
structural_ols,Full sample,1980,2025,0.362972954925584,0.365203366113434,Structural OLS (levels),0.365203366113434,0
structural_ols,Starts 1990,1990,2025,0.404220707218891,0.37101718792038,Structural OLS (levels),0.365203366113434,0.581382180694556
structural_ols,Estimated through 2019,1980,2019,0.256183299178128,0.309334782555899,Structural OLS (levels),0.365203366113434,-5.58685835575354
