year,revenue_ratio,scenario,revenue_assumption
2025,0.3406,central,PBO forecast then +1.2 percentage points by 2037
2026,0.34602,central,PBO forecast then +1.2 percentage points by 2037
2027,0.34536,central,PBO forecast then +1.2 percentage points by 2037
2028,0.33991,central,PBO forecast then +1.2 percentage points by 2037
2029,0.33861,central,PBO forecast then +1.2 percentage points by 2037
2030,0.34011,central,PBO forecast then +1.2 percentage points by 2037
2031,0.34161,central,PBO forecast then +1.2 percentage points by 2037
2032,0.34311,central,PBO forecast then +1.2 percentage points by 2037
2033,0.34461,central,PBO forecast then +1.2 percentage points by 2037
2034,0.34611,central,PBO forecast then +1.2 percentage points by 2037
2035,0.34761,central,PBO forecast then +1.2 percentage points by 2037
2036,0.34911,central,PBO forecast then +1.2 percentage points by 2037
2037,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2038,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2039,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2040,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2041,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2042,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2043,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2044,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2045,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2046,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2047,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2048,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2049,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2050,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2051,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2052,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2053,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2054,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2055,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2056,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2057,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2058,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2059,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2060,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2061,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2062,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2063,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2064,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2065,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2066,0.35061,central,PBO forecast then +1.2 percentage points by 2037
2025,0.3406,pressure,PBO forecast then +0.6 percentage points by 2037
2026,0.34602,pressure,PBO forecast then +0.6 percentage points by 2037
2027,0.34536,pressure,PBO forecast then +0.6 percentage points by 2037
2028,0.33991,pressure,PBO forecast then +0.6 percentage points by 2037
2029,0.33861,pressure,PBO forecast then +0.6 percentage points by 2037
2030,0.33936,pressure,PBO forecast then +0.6 percentage points by 2037
2031,0.34011,pressure,PBO forecast then +0.6 percentage points by 2037
2032,0.34086,pressure,PBO forecast then +0.6 percentage points by 2037
2033,0.34161,pressure,PBO forecast then +0.6 percentage points by 2037
2034,0.34236,pressure,PBO forecast then +0.6 percentage points by 2037
2035,0.34311,pressure,PBO forecast then +0.6 percentage points by 2037
2036,0.34386,pressure,PBO forecast then +0.6 percentage points by 2037
2037,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2038,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2039,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2040,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2041,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2042,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2043,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2044,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2045,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2046,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2047,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2048,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2049,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2050,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2051,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
2052,0.34461,pressure,PBO forecast then +0.6 percentage points by 2037
