year,model,model_label,value,path_type
1980,historical,Historical national-accounts concept,0.333103269138001,Historical
1981,historical,Historical national-accounts concept,0.341854541406654,Historical
1982,historical,Historical national-accounts concept,0.34194351027086,Historical
1983,historical,Historical national-accounts concept,0.369170289130503,Historical
1984,historical,Historical national-accounts concept,0.374219801166094,Historical
1985,historical,Historical national-accounts concept,0.384885205434133,Historical
1986,historical,Historical national-accounts concept,0.386757421004678,Historical
1987,historical,Historical national-accounts concept,0.387112871425331,Historical
1988,historical,Historical national-accounts concept,0.361389001685801,Historical
1989,historical,Historical national-accounts concept,0.345975970765878,Historical
1990,historical,Historical national-accounts concept,0.342681221503343,Historical
1991,historical,Historical national-accounts concept,0.357308222125526,Historical
1992,historical,Historical national-accounts concept,0.373256260951802,Historical
1993,historical,Historical national-accounts concept,0.372161555856265,Historical
1994,historical,Historical national-accounts concept,0.370458861335371,Historical
1995,historical,Historical national-accounts concept,0.370609406969422,Historical
1996,historical,Historical national-accounts concept,0.365259991470121,Historical
1997,historical,Historical national-accounts concept,0.356153778449965,Historical
1998,historical,Historical national-accounts concept,0.342296359017782,Historical
1999,historical,Historical national-accounts concept,0.345408985029229,Historical
2000,historical,Historical national-accounts concept,0.344757730483635,Historical
2001,historical,Historical national-accounts concept,0.350668155529801,Historical
2002,historical,Historical national-accounts concept,0.345335135363433,Historical
2003,historical,Historical national-accounts concept,0.338893297616431,Historical
2004,historical,Historical national-accounts concept,0.337763913273131,Historical
2005,historical,Historical national-accounts concept,0.336883717718547,Historical
2006,historical,Historical national-accounts concept,0.333935210831799,Historical
2007,historical,Historical national-accounts concept,0.329632421017543,Historical
2008,historical,Historical national-accounts concept,0.32922316457056,Historical
2009,historical,Historical national-accounts concept,0.350492899653279,Historical
2010,historical,Historical national-accounts concept,0.356366529110526,Historical
2011,historical,Historical national-accounts concept,0.347158149042668,Historical
2012,historical,Historical national-accounts concept,0.349874026949591,Historical
2013,historical,Historical national-accounts concept,0.344430952357823,Historical
2014,historical,Historical national-accounts concept,0.346132712717135,Historical
2015,historical,Historical national-accounts concept,0.348893646518989,Historical
2016,historical,Historical national-accounts concept,0.354659808866871,Historical
2017,historical,Historical national-accounts concept,0.350056716497443,Historical
2018,historical,Historical national-accounts concept,0.349966601492251,Historical
2019,historical,Historical national-accounts concept,0.3489459716794,Historical
2020,historical,Historical national-accounts concept,0.397665294079763,Historical
2021,historical,Historical national-accounts concept,0.420022274506502,Historical
2022,historical,Historical national-accounts concept,0.378859989972692,Historical
2023,historical,Historical national-accounts concept,0.357918223925394,Historical
2024,historical,Historical national-accounts concept,0.373326881738081,Historical
2025,historical,Historical national-accounts concept,0.383410740130003,Historical
2026,official,Official PBO forecast,0.36205,Official forecast
2027,official,Official PBO forecast,0.35425,Official forecast
2028,official,Official PBO forecast,0.34808,Official forecast
2029,official,Official PBO forecast,0.34529,Official forecast
2026,structural_ols,Structural OLS (levels),0.372149425577011,Unanchored model projection
2027,structural_ols,Structural OLS (levels),0.37759674349701,Unanchored model projection
2028,structural_ols,Structural OLS (levels),0.381617717396979,Unanchored model projection
2029,structural_ols,Structural OLS (levels),0.383771759235937,Unanchored model projection
2030,structural_ols,Structural OLS (levels),0.384892140510915,Unanchored model projection
2031,structural_ols,Structural OLS (levels),0.385779514751362,Unanchored model projection
2032,structural_ols,Structural OLS (levels),0.386130256310338,Unanchored model projection
2033,structural_ols,Structural OLS (levels),0.385480008351649,Unanchored model projection
2034,structural_ols,Structural OLS (levels),0.38497567256855,Unanchored model projection
2035,structural_ols,Structural OLS (levels),0.384276269756265,Unanchored model projection
2036,structural_ols,Structural OLS (levels),0.384057710616102,Unanchored model projection
2037,structural_ols,Structural OLS (levels),0.385023376613446,Unanchored model projection
2038,structural_ols,Structural OLS (levels),0.385989042610791,Unanchored model projection
2039,structural_ols,Structural OLS (levels),0.386954708608136,Unanchored model projection
2040,structural_ols,Structural OLS (levels),0.387920374605482,Unanchored model projection
2041,structural_ols,Structural OLS (levels),0.388886040602826,Unanchored model projection
2042,structural_ols,Structural OLS (levels),0.38985170660017,Unanchored model projection
2043,structural_ols,Structural OLS (levels),0.390817372597516,Unanchored model projection
2044,structural_ols,Structural OLS (levels),0.39178303859486,Unanchored model projection
2045,structural_ols,Structural OLS (levels),0.392748704592205,Unanchored model projection
2046,structural_ols,Structural OLS (levels),0.393714370589551,Unanchored model projection
2047,structural_ols,Structural OLS (levels),0.394680036586894,Unanchored model projection
2048,structural_ols,Structural OLS (levels),0.39564570258424,Unanchored model projection
2049,structural_ols,Structural OLS (levels),0.396611368581584,Unanchored model projection
2050,structural_ols,Structural OLS (levels),0.397577034578929,Unanchored model projection
2051,structural_ols,Structural OLS (levels),0.398542700576274,Unanchored model projection
2052,structural_ols,Structural OLS (levels),0.399508366573618,Unanchored model projection
2053,structural_ols,Structural OLS (levels),0.400474032570964,Unanchored model projection
2054,structural_ols,Structural OLS (levels),0.401439698568309,Unanchored model projection
2055,structural_ols,Structural OLS (levels),0.402405364565653,Unanchored model projection
2056,structural_ols,Structural OLS (levels),0.403371030562998,Unanchored model projection
2057,structural_ols,Structural OLS (levels),0.404336696560342,Unanchored model projection
2058,structural_ols,Structural OLS (levels),0.405302362557687,Unanchored model projection
2059,structural_ols,Structural OLS (levels),0.406268028555032,Unanchored model projection
2060,structural_ols,Structural OLS (levels),0.407233694552377,Unanchored model projection
2061,structural_ols,Structural OLS (levels),0.408199360549722,Unanchored model projection
2062,structural_ols,Structural OLS (levels),0.409165026547067,Unanchored model projection
2063,structural_ols,Structural OLS (levels),0.410130692544411,Unanchored model projection
2064,structural_ols,Structural OLS (levels),0.411096358541756,Unanchored model projection
2065,structural_ols,Structural OLS (levels),0.412062024539101,Unanchored model projection
2066,structural_ols,Structural OLS (levels),0.413027690536445,Unanchored model projection
2026,arimax_level,ARIMAX (levels),0.386034202924147,Unanchored model projection
2027,arimax_level,ARIMAX (levels),0.38828841915903,Unanchored model projection
2028,arimax_level,ARIMAX (levels),0.390460565472803,Unanchored model projection
2029,arimax_level,ARIMAX (levels),0.391484859759967,Unanchored model projection
2030,arimax_level,ARIMAX (levels),0.391568627515134,Unanchored model projection
2031,arimax_level,ARIMAX (levels),0.391648124339418,Unanchored model projection
2032,arimax_level,ARIMAX (levels),0.391258614921898,Unanchored model projection
2033,arimax_level,ARIMAX (levels),0.390900981276609,Unanchored model projection
2034,arimax_level,ARIMAX (levels),0.390804439309303,Unanchored model projection
2035,arimax_level,ARIMAX (levels),0.390338977916344,Unanchored model projection
2036,arimax_level,ARIMAX (levels),0.390529696732722,Unanchored model projection
2037,arimax_level,ARIMAX (levels),0.391058758404203,Unanchored model projection
2038,arimax_level,ARIMAX (levels),0.391611614322271,Unanchored model projection
2039,arimax_level,ARIMAX (levels),0.392181006499969,Unanchored model projection
2040,arimax_level,ARIMAX (levels),0.392761890862614,Unanchored model projection
2041,arimax_level,ARIMAX (levels),0.393350761935545,Unanchored model projection
2042,arimax_level,ARIMAX (levels),0.393945183523153,Unanchored model projection
2043,arimax_level,ARIMAX (levels),0.394543462545432,Unanchored model projection
2044,arimax_level,ARIMAX (levels),0.395144422364556,Unanchored model projection
2045,arimax_level,ARIMAX (levels),0.39574724525392,Unanchored model projection
2046,arimax_level,ARIMAX (levels),0.396351362919021,Unanchored model projection
2047,arimax_level,ARIMAX (levels),0.396956380412896,Unanchored model projection
2048,arimax_level,ARIMAX (levels),0.397562023259718,Unanchored model projection
2049,arimax_level,ARIMAX (levels),0.398168100707344,Unanchored model projection
2050,arimax_level,ARIMAX (levels),0.398774480188982,Unanchored model projection
2051,arimax_level,ARIMAX (levels),0.399381069574842,Unanchored model projection
2052,arimax_level,ARIMAX (levels),0.399987804837591,Unanchored model projection
2053,arimax_level,ARIMAX (levels),0.400594641480235,Unanchored model projection
2054,arimax_level,ARIMAX (levels),0.401201548578741,Unanchored model projection
2055,arimax_level,ARIMAX (levels),0.401808504641877,Unanchored model projection
2056,arimax_level,ARIMAX (levels),0.402415494733903,Unanchored model projection
2057,arimax_level,ARIMAX (levels),0.403022508474948,Unanchored model projection
2058,arimax_level,ARIMAX (levels),0.403629538651324,Unanchored model projection
2059,arimax_level,ARIMAX (levels),0.404236580249742,Unanchored model projection
2060,arimax_level,ARIMAX (levels),0.404843629786124,Unanchored model projection
2061,arimax_level,ARIMAX (levels),0.405450684839143,Unanchored model projection
2062,arimax_level,ARIMAX (levels),0.406057743726053,Unanchored model projection
2063,arimax_level,ARIMAX (levels),0.406664805277396,Unanchored model projection
2064,arimax_level,ARIMAX (levels),0.40727186868044,Unanchored model projection
2065,arimax_level,ARIMAX (levels),0.407878933370356,Unanchored model projection
2066,arimax_level,ARIMAX (levels),0.408485998954609,Unanchored model projection
2026,arimax_diff,ARIMAX (differences),0.389380683860474,Unanchored model projection
2027,arimax_diff,ARIMAX (differences),0.393733025323455,Unanchored model projection
2028,arimax_diff,ARIMAX (differences),0.397119820772608,Unanchored model projection
2029,arimax_diff,ARIMAX (differences),0.398785505016538,Unanchored model projection
2030,arimax_diff,ARIMAX (differences),0.399319563724223,Unanchored model projection
2031,arimax_diff,ARIMAX (differences),0.399528682470076,Unanchored model projection
2032,arimax_diff,ARIMAX (differences),0.399054448211923,Unanchored model projection
2033,arimax_diff,ARIMAX (differences),0.399485705259276,Unanchored model projection
2034,arimax_diff,ARIMAX (differences),0.399976916192185,Unanchored model projection
2035,arimax_diff,ARIMAX (differences),0.400071712256719,Unanchored model projection
2036,arimax_diff,ARIMAX (differences),0.400606746581771,Unanchored model projection
2037,arimax_diff,ARIMAX (differences),0.401240705320419,Unanchored model projection
2038,arimax_diff,ARIMAX (differences),0.401874664059066,Unanchored model projection
2039,arimax_diff,ARIMAX (differences),0.402508622797714,Unanchored model projection
2040,arimax_diff,ARIMAX (differences),0.403142581536361,Unanchored model projection
2041,arimax_diff,ARIMAX (differences),0.403776540275008,Unanchored model projection
2042,arimax_diff,ARIMAX (differences),0.404410499013655,Unanchored model projection
2043,arimax_diff,ARIMAX (differences),0.405044457752302,Unanchored model projection
2044,arimax_diff,ARIMAX (differences),0.405678416490949,Unanchored model projection
2045,arimax_diff,ARIMAX (differences),0.406312375229597,Unanchored model projection
2046,arimax_diff,ARIMAX (differences),0.406946333968245,Unanchored model projection
2047,arimax_diff,ARIMAX (differences),0.407580292706891,Unanchored model projection
2048,arimax_diff,ARIMAX (differences),0.408214251445539,Unanchored model projection
2049,arimax_diff,ARIMAX (differences),0.408848210184185,Unanchored model projection
2050,arimax_diff,ARIMAX (differences),0.409482168922833,Unanchored model projection
2051,arimax_diff,ARIMAX (differences),0.41011612766148,Unanchored model projection
