variant,model,specification,arima_order,aic,aicc,bic,observations.x,driver_variant,ecm_adjustment,observations.y,r_squared,in_sample_mae_pp,in_sample_rmse_pp,residual_sd_pp,official_period_mae_pp,official_period_rmse_pp,model_only_join,model_only_2066,anchored_2066,baseline_aic,baseline_bic,delta_aic_from_baseline,delta_bic_from_baseline,model_label,variant_label,rolling_rmse_all_pp,rolling_mae_all_pp,rolling_rmse_1y_pp,rolling_rmse_2y_pp,rolling_rmse_3y_pp,rolling_rmse_4y_pp,rolling_rmse_5y_pp,rolling_rank_all,rolling_rank_5y
baseline,ardl_ecm,dy ~ y_lag + age_0_14_l1 + age_65p_l1 + rp_z_l1 + d_rp_z + unemployment_l1 +      d_unemployment + d_tot_z + d_tot_z_l1 + dy_lag + covid_fy2020 +      covid_fy2021 + covid_fy2022,,-292.950161266102,,-266.187316757328,44,baseline,-0.238145042714228,44,0.895940166801296,0.433454380763972,0.61652491509048,0.623652607548768,0.450759719871136,0.530275849560364,0.380458550653319,0.44235287904881,0.432894328395491,-292.950161266102,-266.187316757328,0,0,ARDL error-correction model,Current controls only,5.02412729625042,3.71147037314316,2.16387096857442,3.45741192138161,4.54537957259354,5.89091393193555,7.36273714521094,6,7
baseline,arimax_diff,Benchmark: annual change in spending/GDP with differenced drivers and FY2020-22 interventions; no drift,"0,0,0",-305.275574670574,-300.132717527717,-289.015612262642,45,baseline,,45,0.877566859121315,0.512108904729517,0.666497308994182,0.673526636108063,0.3912275064431,0.441786020362969,0.378021513195528,0.351479207124267,0.344457693928739,-305.275574670574,-289.015612262642,0,0,ARIMAX (differences),Current controls only,3.64478840434683,2.46009172754279,1.70904583707339,2.85841140093765,3.60228572815461,4.19866201305374,4.97250781647955,2,2
baseline,arimax_level,Spending/GDP in levels with age and macro xreg; stationary ARMA errors,"2,0,0",-311.800440449875,-304.035734567523,-291.685385088495,46,baseline,,46,0.891794400380526,0.494014906694493,0.630814086544043,0.637301476535181,0.36827354427449,0.405295489018596,0.373776918549495,0.412707370458353,0.409930451908859,-311.800440449875,-291.685385088495,0,0,ARIMAX (levels),Current controls only,4.83233578902465,3.93826935533464,2.91489200387656,3.87674781901011,4.64155159423234,5.49002731581798,6.44570986879109,5,5
baseline,dynamic_diff,"Change in spending/GDP with selected d(age shares), d(scale/income drivers), d(relative prices), d(unemployment) + lag, d(TOT) + lag, FY2020-22 interventions; ARMA errors","0,0,0",-294.953024640719,-286.703024640719,-275.326938667618,44,baseline,,44,0.880744933815345,0.499136921312666,0.660005399068444,0.66722710188814,0.485994423921515,0.610714275188882,0.382490888309153,0.358164835642549,0.346673947333396,-294.953024640719,-275.326938667618,0,0,Dynamic differences,Current controls only,3.66585378883093,2.50036098176083,1.70747789677004,2.8479042458316,3.62913168540859,4.2469912372135,4.99588323372772,3,3
baseline,hybrid,Structural level OLS using selected age shares + scale/income drivers + relative prices + FY2020-22 interventions; macro residual change uses d(unemployment) + lag and d(TOT) + lag; ARMA errors,"0,0,0",-293.315558406724,-291.736611038303,-284.394610237133,44,baseline,,44,0.837414010656213,0.560136915577262,0.770638369442211,0.766767597770034,0.752853822296093,1.0084296120587,0.389783922421037,0.411600793732846,0.392816871311809,-293.315558406724,-284.394610237133,0,0,Hybrid structural/macro,Current controls only,4.57566414080031,3.55867307278623,3.08428235774876,3.62615932867417,4.24024183839811,5.14359530584307,6.13069808336586,4,4
baseline,structural_ols,y ~ age_0_14 + age_65p + tot_z + rp_z + unemployment + covid_fy2020 +      covid_fy2021 + covid_fy2022,,-270.027353713638,,-251.740939748747,46,baseline,,46,0.70908179740856,0.712036764800087,1.03433676729206,1.04576624981049,1.97111880319574,2.05609657847335,0.360648010200117,0.388450945305579,0.398802935105462,-270.027353713638,-251.740939748747,0,0,Structural OLS (levels),Current controls only,5.03434336807632,4.18091611698751,3.26928433366623,4.05336066914983,4.76449611207334,5.68449674562945,6.67766325273072,7,6
baseline,univariate_arima,Automatic ARIMAX benchmark with scale/income drivers and FY2020-22 interventions,"1,0,2",-298.243124648127,-294.351232756235,-283.613993476214,46,baseline,,46,0.834814198442823,0.626623683791213,0.779404434479855,0.787572968853008,1.47875376040947,1.55555993833591,0.35740001422625,0.354480912729307,0.368080898503057,-298.243124648127,-283.613993476214,0,0,ARIMAX benchmark with real GDP per capita and COVID controls,Current controls only,2.77561023094919,1.74703555163827,2.63079942107179,2.76383822313736,2.77128472316046,2.76855826784413,2.93516942507441,1,1
population_and_real_gdp_per_capita,ardl_ecm,dy ~ y_lag + age_0_14_l1 + age_65p_l1 + rp_z_l1 + d_rp_z + log_population_l1 +      log_real_gdp_per_capita_l1 + d_log_population + d_log_real_gdp_per_capita +      unemployment_l1 + d_unemployment + d_tot_z + d_tot_z_l1 +      dy_lag + covid_fy2020 + covid_fy2021 + covid_fy2022,,-300.506230526752,,-266.606627482305,44,population+real_gdp_per_capita,-0.290841136828514,44,0.926929916811748,0.391091424059426,0.516629106359701,0.522601895609576,1.3142575895491,1.36653190130718,0.360667632780709,0.394073427186449,0.40440579440574,-292.950161266102,-266.187316757328,-7.55606926065025,-0.419310724977208,ARDL error-correction model,Add population and real GDP per capita,6.17919870470415,5.00172537672112,2.68838495694801,4.29576556729498,5.61019753649212,7.20069201565728,9.05025887874889,7,7
population_and_real_gdp_per_capita,arimax_diff,Benchmark: annual change in spending/GDP with differenced drivers and FY2020-22 interventions; no drift,"0,0,0",-310.12474720529,-302.12474720529,-290.251459817816,45,population+real_gdp_per_capita,,45,0.899423682875519,0.442248480740046,0.60408321572135,0.610606896116794,1.31104616810182,1.6632506433076,0.397298257495203,0.340440108607604,0.314141851112401,-305.275574670574,-289.015612262642,-4.84917253471514,-1.23584755517447,ARIMAX (differences),Add population and real GDP per capita,3.15706682305911,2.24627857164451,1.66844520912544,2.65797772389942,3.2629683914395,3.61467743631309,4.03409766088768,2,2
population_and_real_gdp_per_capita,arimax_level,Spending/GDP in levels with age and macro xreg; stationary ARMA errors,"0,0,2",-332.935890137049,-321.560890137049,-309.163551982691,46,population+real_gdp_per_capita,,46,0.936236417625636,0.377584108658082,0.484242462274543,0.489581857556028,1.40917345390791,1.82066870537237,0.400728926174672,0.368689021942151,0.338960095767479,-311.800440449875,-291.685385088495,-21.1354496871738,-17.4781668941956,ARIMAX (levels),Add population and real GDP per capita,3.71976359948869,2.64467888873601,2.68946575223427,3.28637508438557,3.66527988109329,4.09597110843617,4.57585653455209,4,4
population_and_real_gdp_per_capita,dynamic_diff,"Change in spending/GDP with selected d(age shares), d(scale/income drivers), d(relative prices), d(unemployment) + lag, d(TOT) + lag, FY2020-22 interventions; ARMA errors","0,0,0",-299.722124876254,-287.588791542921,-276.527659635317,44,population+real_gdp_per_capita,,44,0.902293617937649,0.438717507048492,0.597407314191503,0.604057119643111,1.29549982911524,1.64977700737773,0.397410427502721,0.343230523646028,0.316820096143307,-294.953024640719,-275.326938667618,-4.76910023553467,-1.20072096769815,Dynamic differences,Add population and real GDP per capita,3.33794092027452,2.41877856377406,1.82001245113629,2.76166499051787,3.40615611039734,3.84518988418281,4.28749628574225,3,3
population_and_real_gdp_per_capita,hybrid,Structural level OLS using selected age shares + scale/income drivers + relative prices + FY2020-22 interventions; macro residual change uses d(unemployment) + lag and d(TOT) + lag; ARMA errors,"0,0,0",-319.371860117463,-317.792912749042,-310.450911947872,44,population+real_gdp_per_capita,,44,0.910071190500451,0.444030269508129,0.573137059803343,0.579758037669732,1.97267851788366,2.43130393797898,0.408878778643114,0.381084136350403,0.343205357707288,-293.315558406724,-284.394610237133,-26.0563017107392,-26.0563017107392,Hybrid structural/macro,Add population and real GDP per capita,3.76149319219194,2.73926324049621,2.88453193914338,3.27417122586186,3.65086729833014,4.15332416887507,4.59613965938299,5,5
population_and_real_gdp_per_capita,structural_ols,y ~ age_0_14 + age_65p + tot_z + rp_z + unemployment + log_population +      log_real_gdp_per_capita + covid_fy2020 + covid_fy2021 + covid_fy2022,,-304.321424890791,,-282.377728132922,46,population+real_gdp_per_capita,,46,0.873459510923308,0.532869892310835,0.682167883914982,0.68970587942127,1.59655568103852,1.9701112886023,0.401601630839054,0.339885308049473,0.309283677210419,-270.027353713638,-251.740939748747,-34.2940711771527,-30.6367883841745,Structural OLS (levels),Add population and real GDP per capita,4.08808977161533,2.89989656939797,2.87636029772013,3.51734244324987,4.01761446145075,4.57702425377283,5.08201401986052,6,6
population_and_real_gdp_per_capita,univariate_arima,Automatic ARIMAX benchmark with scale/income drivers and FY2020-22 interventions,"2,0,0",-319.759392848489,-314.759392848489,-303.301620280088,46,population+real_gdp_per_capita,,46,0.900365082922784,0.441096879950795,0.605316199561587,0.611618910997499,0.89553924656225,1.10505830752282,0.390208867657649,0.412095072049986,0.392886204392337,-298.243124648127,-283.613993476214,-21.5162682003622,-19.6876268038731,ARIMAX benchmark with real GDP per capita and COVID controls,Add population and real GDP per capita,2.49100725691535,2.07573037298261,2.33749975625174,2.42232213284415,2.6229533555772,2.56748124948901,2.49443217431736,1,1
population_only,ardl_ecm,dy ~ y_lag + age_0_14_l1 + age_65p_l1 + rp_z_l1 + d_rp_z + log_population_l1 +      d_log_population + unemployment_l1 + d_unemployment + d_tot_z +      d_tot_z_l1 + dy_lag + covid_fy2020 + covid_fy2021 + covid_fy2022,,-291.027259375416,,-260.696035598805,44,population,-0.308072693203069,44,0.900738351520298,0.446754132262164,0.602143234429655,0.609104659160111,1.13488983189166,1.18578993052534,0.36341998692836,0.410319495906041,0.417899508977681,-292.950161266102,-266.187316757328,1.92290189068615,5.49128115852267,ARDL error-correction model,Add population,5.86765054267486,4.3113231758284,2.78382435602641,4.25291976798998,5.45780220666181,6.85607374631793,8.33764101617506,7,7
population_only,arimax_diff,Benchmark: annual change in spending/GDP with differenced drivers and FY2020-22 interventions; no drift,"0,0,0",-303.876547105095,-297.405958869801,-285.809922207392,45,population,,45,0.87919107692917,0.49938283042541,0.662061618292969,0.669420739947129,0.546114356786911,0.698605407699429,0.383888972595408,0.347800172592355,0.334911199996947,-305.275574670574,-289.015612262642,1.39902756547895,3.20569005524931,ARIMAX (differences),Add population,3.72624341849518,2.49251087198628,1.72661780090293,2.89830628362845,3.68219315042683,4.31216770438957,5.08819467173254,3,3
population_only,arimax_level,Spending/GDP in levels with age and macro xreg; stationary ARMA errors,"0,0,2",-311.383017217603,-300.008017217603,-287.610679063245,46,population,,46,0.898851824933424,0.472279520008991,0.609895656790015,0.616531070442379,0.557341033396767,0.638432348457268,0.376126271662228,0.342879300715952,0.337753029053724,-311.800440449875,-291.685385088495,0.417423232272142,4.07470602525035,ARIMAX (levels),Add population,4.82333052448237,3.92405485050255,2.94569952463392,3.87855276112568,4.60641155322657,5.45701284718832,6.45013588381477,6,6
population_only,dynamic_diff,"Change in spending/GDP with selected d(age shares), d(scale/income drivers), d(relative prices), d(unemployment) + lag, d(TOT) + lag, FY2020-22 interventions; ARMA errors","0,0,0",-293.186393729974,-283.121877600942,-271.776118122955,44,population,,44,0.88137576955025,0.494419251224949,0.65825743533681,0.665703215710824,0.621472867478963,0.807678171989502,0.386006294714203,0.355672259238987,0.340665964524785,-294.953024640719,-275.326938667618,1.76663091074551,3.55082054466374,Dynamic differences,Add population,3.75425187579854,2.54460751661307,1.71666738059923,2.87082799823273,3.70579212419825,4.38159418366485,5.13343672265848,4,4
population_only,hybrid,Structural level OLS using selected age shares + scale/income drivers + relative prices + FY2020-22 interventions; macro residual change uses d(unemployment) + lag and d(TOT) + lag; ARMA errors,"0,0,0",-298.4189114268,-296.839964058379,-289.497963257209,44,population,,44,0.855219075978085,0.541889367945811,0.727218203337923,0.732302231650233,1.7126447179654,2.04024988529081,0.403875593542708,0.405260018906991,0.372384425364283,-293.315558406724,-284.394610237133,-5.10335302007644,-5.10335302007644,Hybrid structural/macro,Add population,3.47932869787589,2.66354447859733,2.45922561600622,2.70687662607034,3.17230576066962,3.88788818980823,4.68769355061724,2,2
