year,model,value,variant,variant_label,model_label
2026,structural_ols,0.361966324862483,baseline,Current controls only,Structural OLS (levels)
2027,structural_ols,0.362913972915624,baseline,Current controls only,Structural OLS (levels)
2028,structural_ols,0.363027192151714,baseline,Current controls only,Structural OLS (levels)
2029,structural_ols,0.361888559710274,baseline,Current controls only,Structural OLS (levels)
2030,structural_ols,0.360648010200117,baseline,Current controls only,Structural OLS (levels)
2031,structural_ols,0.359192688266364,baseline,Current controls only,Structural OLS (levels)
2032,structural_ols,0.357888309146879,baseline,Current controls only,Structural OLS (levels)
2033,structural_ols,0.358804704978525,baseline,Current controls only,Structural OLS (levels)
2034,structural_ols,0.359949706414607,baseline,Current controls only,Structural OLS (levels)
2035,structural_ols,0.361194876766857,baseline,Current controls only,Structural OLS (levels)
2036,structural_ols,0.362807784349855,baseline,Current controls only,Structural OLS (levels)
2037,structural_ols,0.363662556381712,baseline,Current controls only,Structural OLS (levels)
2038,structural_ols,0.364517328413569,baseline,Current controls only,Structural OLS (levels)
2039,structural_ols,0.365372100445427,baseline,Current controls only,Structural OLS (levels)
2040,structural_ols,0.366226872477285,baseline,Current controls only,Structural OLS (levels)
2041,structural_ols,0.367081644509141,baseline,Current controls only,Structural OLS (levels)
2042,structural_ols,0.367936416541,baseline,Current controls only,Structural OLS (levels)
2043,structural_ols,0.368791188572857,baseline,Current controls only,Structural OLS (levels)
2044,structural_ols,0.369645960604714,baseline,Current controls only,Structural OLS (levels)
2045,structural_ols,0.370500732636572,baseline,Current controls only,Structural OLS (levels)
2046,structural_ols,0.37135550466843,baseline,Current controls only,Structural OLS (levels)
2047,structural_ols,0.372210276700287,baseline,Current controls only,Structural OLS (levels)
2048,structural_ols,0.373065048732144,baseline,Current controls only,Structural OLS (levels)
2049,structural_ols,0.373919820764002,baseline,Current controls only,Structural OLS (levels)
2050,structural_ols,0.37477459279586,baseline,Current controls only,Structural OLS (levels)
2051,structural_ols,0.375629364827717,baseline,Current controls only,Structural OLS (levels)
2052,structural_ols,0.376484136859574,baseline,Current controls only,Structural OLS (levels)
2053,structural_ols,0.377338908891432,baseline,Current controls only,Structural OLS (levels)
2054,structural_ols,0.37819368092329,baseline,Current controls only,Structural OLS (levels)
2055,structural_ols,0.379048452955146,baseline,Current controls only,Structural OLS (levels)
2056,structural_ols,0.379903224987005,baseline,Current controls only,Structural OLS (levels)
2057,structural_ols,0.380757997018862,baseline,Current controls only,Structural OLS (levels)
2058,structural_ols,0.381612769050719,baseline,Current controls only,Structural OLS (levels)
2059,structural_ols,0.382467541082577,baseline,Current controls only,Structural OLS (levels)
2060,structural_ols,0.383322313114434,baseline,Current controls only,Structural OLS (levels)
2061,structural_ols,0.384177085146292,baseline,Current controls only,Structural OLS (levels)
2062,structural_ols,0.385031857178149,baseline,Current controls only,Structural OLS (levels)
2063,structural_ols,0.385886629210007,baseline,Current controls only,Structural OLS (levels)
2064,structural_ols,0.386741401241864,baseline,Current controls only,Structural OLS (levels)
2065,structural_ols,0.387596173273722,baseline,Current controls only,Structural OLS (levels)
2066,structural_ols,0.388450945305579,baseline,Current controls only,Structural OLS (levels)
2026,arimax_level,0.384513149345993,baseline,Current controls only,ARIMAX (levels)
2027,arimax_level,0.382460671596482,baseline,Current controls only,ARIMAX (levels)
2028,arimax_level,0.379348638770943,baseline,Current controls only,ARIMAX (levels)
2029,arimax_level,0.376040781622353,baseline,Current controls only,ARIMAX (levels)
2030,arimax_level,0.373776918549495,baseline,Current controls only,ARIMAX (levels)
2031,arimax_level,0.372318681376099,baseline,Current controls only,ARIMAX (levels)
2032,arimax_level,0.371875556464432,baseline,Current controls only,ARIMAX (levels)
2033,arimax_level,0.37269222927377,baseline,Current controls only,ARIMAX (levels)
2034,arimax_level,0.374125259603164,baseline,Current controls only,ARIMAX (levels)
2035,arimax_level,0.375837465890105,baseline,Current controls only,ARIMAX (levels)
2036,arimax_level,0.378092035019386,baseline,Current controls only,ARIMAX (levels)
2037,arimax_level,0.379347549432478,baseline,Current controls only,ARIMAX (levels)
2038,arimax_level,0.380579918203815,baseline,Current controls only,ARIMAX (levels)
2039,arimax_level,0.381784286890534,baseline,Current controls only,ARIMAX (levels)
2040,arimax_level,0.382964311046398,baseline,Current controls only,ARIMAX (levels)
2041,arimax_level,0.384126512503717,baseline,Current controls only,ARIMAX (levels)
2042,arimax_level,0.385277298402894,baseline,Current controls only,ARIMAX (levels)
2043,arimax_level,0.386421719157751,baseline,Current controls only,ARIMAX (levels)
2044,arimax_level,0.387563218180594,baseline,Current controls only,ARIMAX (levels)
2045,arimax_level,0.388703853712842,baseline,Current controls only,ARIMAX (levels)
2046,arimax_level,0.389844675781364,baseline,Current controls only,ARIMAX (levels)
2047,arimax_level,0.390986092050231,baseline,Current controls only,ARIMAX (levels)
2048,arimax_level,0.392128154268641,baseline,Current controls only,ARIMAX (levels)
2049,arimax_level,0.393270752531877,baseline,Current controls only,ARIMAX (levels)
2050,arimax_level,0.394413730749059,baseline,Current controls only,ARIMAX (levels)
2051,arimax_level,0.395556945089326,baseline,Current controls only,ARIMAX (levels)
