variant,model,horizon,n,mean_error_pp,mae_pp,rmse_pp
baseline,structural_ols,1,11,-2.32371532557106,2.32371532557106,3.26928433366623
baseline,arimax_level,1,11,-1.82040254967909,1.82040254967909,2.91489200387656
baseline,arimax_diff,1,11,-0.88659797756703,1.04832719207648,1.70904583707339
baseline,dynamic_diff,1,11,-0.863974764610719,1.07459184242241,1.70747789677004
baseline,hybrid,1,11,-1.62260961535584,1.65411507058204,3.08428235774876
baseline,ardl_ecm,1,11,-1.3142118315867,1.36621067895251,2.16387096857442
baseline,univariate_arima,1,11,-1.02159152542126,1.39186955900485,2.63079942107179
baseline,structural_ols,2,11,-3.25759764755913,3.25759764755913,4.05336066914983
baseline,arimax_level,2,11,-3.04886638141169,3.04886638141169,3.87674781901011
baseline,arimax_diff,2,11,-1.64028533359677,1.71500353847587,2.85841140093765
baseline,dynamic_diff,2,11,-1.64948232520101,1.74748124578658,2.8479042458316
baseline,hybrid,2,11,-2.59428725502142,2.59428725502142,3.62615932867417
baseline,ardl_ecm,2,11,-2.34774422019859,2.34851251973119,3.45741192138161
baseline,univariate_arima,2,11,-1.30979007933057,1.65097126607419,2.76383822313736
baseline,structural_ols,3,11,-4.08422369399551,4.08422369399551,4.76449611207334
baseline,arimax_level,3,11,-3.94218105033772,3.94218105033772,4.64155159423234
baseline,arimax_diff,3,11,-2.27140609535257,2.56929348427286,3.60228572815461
baseline,dynamic_diff,3,11,-2.29577953305375,2.57350133137197,3.62913168540859
baseline,hybrid,3,11,-3.4590293634131,3.4590293634131,4.24024183839811
baseline,ardl_ecm,3,11,-3.48855961782095,3.49387763251842,4.54537957259354
baseline,univariate_arima,3,11,-1.38291914274696,1.74028697358894,2.77128472316046
baseline,structural_ols,4,11,-5.08590101191481,5.08590101191481,5.68449674562945
baseline,arimax_level,4,11,-4.92927053272835,4.92927053272835,5.49002731581798
baseline,arimax_diff,4,11,-3.04603670470742,3.0629942201657,4.19866201305374
baseline,dynamic_diff,4,11,-3.06768055042696,3.13615633191591,4.2469912372135
baseline,hybrid,4,11,-4.49309051930079,4.49309051930079,5.14359530584307
baseline,ardl_ecm,4,11,-4.92940778672091,4.92940778672091,5.89091393193555
baseline,univariate_arima,4,11,-1.64560940984022,1.83167879881096,2.76855826784413
baseline,structural_ols,5,11,-6.15314290589705,6.15314290589705,6.67766325273072
baseline,arimax_level,5,11,-5.95062626251633,5.95062626251633,6.44570986879109
