year,primary_fiscal_pp,model,model_label,path_type,underlying_model,income_case,income_case_label
2025,36.4354044063882,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2026,37.0260083783825,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2027,37.9122249424123,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2028,39.1209958369083,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2029,39.8125454890758,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2030,40.257833634794,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2031,40.9397543392211,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2032,41.5486887147598,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2033,42.0864608209857,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2034,42.5724624029581,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2035,43.0079933769066,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2036,43.4495691872138,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2037,43.5212895624189,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2038,43.5903213419198,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2039,43.6567174805087,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2040,43.7205293837208,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2041,43.781806967684,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2042,43.8405987161074,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2043,43.8969517345688,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2044,43.9509118022566,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2045,44.0025234213034,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2046,44.0518298638507,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2047,44.0988732169592,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2048,44.1436944254948,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2049,44.1863333330877,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2050,44.2268287212727,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2051,44.265218346906,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2052,44.3015389779498,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2053,44.3358264277057,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2054,44.3681155875819,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
2055,44.3984404584667,central_gdp,GDP PC model: 1.03% growth,Latest National Accounts actual; deterministic model changes thereafter,with_income,central_gdp,GDP PC model: 1.03% growth
