year,revenue_ratio
2025,0.363
2026,0.363
2027,0.367
2028,0.364
2029,0.358
2030,0.357
2031,0.358714285714286
2032,0.360428571428571
2033,0.362142857142857
2034,0.363857142857143
2035,0.365571428571429
2036,0.367285714285714
2037,0.369
2038,0.369
2039,0.369
2040,0.369
2041,0.369
2042,0.369
2043,0.369
2044,0.369
2045,0.369
2046,0.369
2047,0.369
2048,0.369
2049,0.369
2050,0.369
2051,0.369
2052,0.369
2053,0.369
2054,0.369
2055,0.369
2056,0.369
2057,0.369
2058,0.369
2059,0.369
2060,0.369
2061,0.369
2062,0.369
2063,0.369
2064,0.369
2065,0.369
2066,0.369
