model,term,vif,condition_number
with_income,d_age_0_14_pp,1.46616928045229,5.09767304647635
with_income,d_age_65_74_pp,2.59242100787453,5.09767304647635
with_income,d_age_75p_pp,2.21766246946313,5.09767304647635
with_income,d_log_relative_price,3.13578197362371,5.09767304647635
with_income,d_log_real_gdp_per_capita,3.65079084724675,5.09767304647635
with_income,d_unemployment,4.06019847871429,5.09767304647635
with_income,d_unemployment_l1,1.78085778469689,5.09767304647635
with_income,d_log_terms_of_trade,3.50705366227031,5.09767304647635
with_income,d_log_terms_of_trade_l1,1.58829801033899,5.09767304647635
no_income,d_age_0_14_pp,1.45308265764627,4.07383045169258
no_income,d_age_65_74_pp,2.38975638306159,4.07383045169258
no_income,d_age_75p_pp,2.2173524639662,4.07383045169258
no_income,d_log_relative_price,3.10495876641662,4.07383045169258
no_income,d_unemployment,1.35158810914874,4.07383045169258
no_income,d_unemployment_l1,1.31055423071951,4.07383045169258
no_income,d_log_terms_of_trade,3.24717067034654,4.07383045169258
no_income,d_log_terms_of_trade_l1,1.50832732951491,4.07383045169258
structural_only,d_age_0_14_pp,1.26046431445346,2.66897178940557
structural_only,d_age_65_74_pp,2.06225521829857,2.66897178940557
structural_only,d_age_75p_pp,1.81502457182161,2.66897178940557
structural_only,d_log_relative_price,1.07359955555524,2.66897178940557
structural_only,d_log_real_gdp_per_capita,1.16606036846665,2.66897178940557
