year,primary_fiscal_ratio,nominal_gdp,nominal_gdp_growth,revenue_ratio,official_net_debt,official_gross_debt,official_interest,net_debt_ratio,gross_debt_ratio,interest_ratio,total_fiscal_expenditure_ratio,fiscal_deficit_ratio,effective_interest_rate,model,model_label,anchor_type,anchor_label
2025,,2776242,,0.363,0.288,0.516,0.015,0.288,0.516,0.015,,,0.0290697674418605,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2026,0.371,2959816.32694817,0.0661233159602694,0.363,0.31,0.534,0.016,0.31,0.534,0.016,0.387,0.024,0.0330580873165975,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2027,0.371,3092714.09358704,0.0449006802985978,0.367,0.333,0.554,0.018,0.333,0.554,0.018,0.389,0.022,0.0352213712460201,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2028,0.364,3183066.81155288,0.0292147011433073,0.364,0.353,0.575,0.02,0.353,0.575,0.02,0.384,0.02,0.0371557653842349,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2029,0.357,3328609.76397991,0.0457241274040448,0.358,0.363,0.583,0.021,0.363,0.583,0.021,0.378,0.0200000000000001,0.0381916637834521,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2030,0.349,3505963.3234439,0.0532815715988089,0.357,0.365,0.58,0.022,0.365,0.58,0.022,0.371,0.014,0.0397464743999551,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2031,0.355819207044271,3660225.70967544,0.0440000000000025,0.358714285714286,,,,0.369140735631003,0.584140735631003,0.0224189560634706,0.378238163107742,0.0195238773934559,0.0403541209142472,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2032,0.361908550799658,3821275.64090114,0.0439999999999947,0.360428571428571,,,,0.377982060395472,0.592982060395472,0.0229190009180586,0.384827551717717,0.0243989802891451,0.0409617674285393,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2033,0.367286271861917,3989411.76910081,0.0440000000000051,0.362142857142857,,,,0.390806228056916,0.605806228056916,0.0236110313498586,0.390897303211776,0.0287544460689184,0.0415694139428315,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2034,0.372146287681641,4164945.88694123,0.043999999999996,0.363857142857143,,,,0.407098870842675,0.622098870842675,0.0244742585307075,0.396620546212349,0.0327634033552057,0.0421770604571236,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2035,0.376501597421126,4348203.50596666,0.0440000000000038,0.365571428571429,,,,0.426366173388898,0.641366173388898,0.0254945573718892,0.401996154793015,0.0364247262215867,0.0427847069714157,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2036,0.380917355524198,4539524.46022921,0.0440000000000038,0.367285714285714,,,,0.448685818535767,0.663685818535767,0.0266574594918264,0.407574815016024,0.0402891007303101,0.0433923534857079,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2037,0.381634559276249,4739263.53647929,0.0439999999999989,0.369,,,,0.470381680494009,0.685381680494008,0.027971432965109,0.409605992241358,0.040605992241358,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2038,0.382324877071258,4947791.13208435,0.043999999999994,0.369,,,,0.492767860247262,0.707767860247262,0.0288858179518549,0.411210695023113,0.0422106950231129,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2039,0.382988838457147,5165493.94189609,0.0440000000000058,0.369,,,,0.515818001386398,0.730818001386398,0.02982929679203,0.412818135249177,0.043818135249177,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2040,0.383626957489268,5392775.6753395,0.0439999999999965,0.369,,,,0.53950626155766,0.75450626155766,0.0308007586791203,0.414427716168388,0.0454277161683883,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2041,0.3842397333289,5630057.80505447,0.0440000000000058,0.369,,,,0.563807297568549,0.778807297568549,0.0317991144717786,0.416038847800679,0.0470388478006786,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2042,0.384827650813133,5877780.34847686,0.0439999999999987,0.369,,,,0.588696251063675,0.803696251063675,0.0328232960661075,0.417650946879241,0.0486509468792405,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2043,0.385391180997748,6136402.68380979,0.0439999999999912,0.369,,,,0.614148734743421,0.829148734743421,0.0338722557919559,0.419263436789704,0.0502634367897039,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2044,0.385930781674626,6406404.40189743,0.0440000000000016,0.369,,,,0.640140819100038,0.855140819100038,0.0349449658320981,0.420875747506724,0.0518757475067242,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2045,0.386446897865094,6688286.19558095,0.0440000000000051,0.369,,,,0.666649019647121,0.881649019647121,0.0360404176632198,0.422487315528314,0.0534873155283138,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2046,0.386939962290567,6982570.78818646,0.0439999999999923,0.369,,,,0.693650284619686,0.908650284619686,0.037157621517695,0.424097583808262,0.055097583808262,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2047,0.387410395821652,7289803.90286669,0.0440000000000038,0.369,,,,0.721121983123327,0.936121983123327,0.0382956058651973,0.425706001686849,0.0567060016868493,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2048,0.387858607907008,7610555.27459282,0.0439999999999994,0.369,,,,0.749041893712328,0.964041893712328,0.0394534169132437,0.427312024820252,0.0583120248202518,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2049,0.388284996982937,7945419.70667491,0.0440000000000009,0.369,,,,0.777388193377257,0.992388193377257,0.0406301181258069,0.428915115108744,0.0599151151087439,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2050,0.388689950864787,8295018.17376862,0.0440000000000018,0.369,,,,0.806139446924035,1.02113944692403,0.0418247897591947,0.430514740623982,0.0615147406239817,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2051,0.38907384712112,8659998.97341444,0.044,0.369,,,,0.835274596727147,1.05027459672715,0.0430365284144229,0.432110375535543,0.0631103755355429,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2052,0.389437053431558,9041038.92824466,0.0439999999999983,0.369,,,,0.864772952840699,1.0797729528407,0.0442644466053588,0.433701500036917,0.0647015000369168,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2053,0.389779927929117,9438844.64108742,0.0439999999999996,0.369,,,,0.894614183451809,1.10961418345181,0.0455076723419452,0.435287600271062,0.0662876002710622,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2054,0.390102819527879,9854153.80529532,0.0440000000000056,0.369,,,,0.924778305661675,1.13977830566167,0.0467653487278538,0.436868168255733,0.0678681682557328,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2055,0.390406068236727,10287736.5727283,0.0439999999999985,0.369,,,,0.955245676580396,1.1702456765804,0.0480366335719481,0.438442701808675,0.069442701808675,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2056,0.390690005459806,10740396.9819283,0.0439999999999956,0.369,,,,0.985996984722198,1.2009969847222,0.0493206990129671,0.440010704472773,0.071010704472773,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2057,0.39095495428448,11212974.4491331,0.0439999999999958,0.369,,,,1.01701324168867,1.23201324168867,0.0506167311568744,0.441571685441354,0.0725716854413544,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2058,0.391201229757288,11706345.324895,0.0440000000000038,0.369,,,,1.04827577412795,1.26327577412795,0.0519239297263424,0.44312515948363,0.0741251594836304,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2059,0.391429139148577,12221424.5191904,0.0440000000000018,0.369,,,,1.07976621595852,1.29476621595852,0.0532415077218676,0.444670646870445,0.0756706468704446,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2060,0.391638982206345,12759167.1980348,0.0440000000000018,0.369,,,,1.11146650084685,1.32646650084685,0.0545686910940371,0.446207673300382,0.0772076733003821,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2061,0.391831051399774,13320570.5547483,0.0439999999999976,0.369,,,,1.14335885492862,1.35835885492862,0.0559047184264959,0.44773576982627,0.0787357698262698,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2062,0.392005632153018,13906675.6591572,0.043999999999998,0.369,,,,1.17542578976364,1.39042578976364,0.0572488406291758,0.449254472782194,0.0802544727821938,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2063,0.392163003069685,14518569.3881602,0.044000000000006,0.369,,,,1.20765009551531,1.42265009551531,0.0586003206413789,0.450763323711064,0.0817633237110639,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2064,0.392303436148413,15157386.4412392,0.0439999999999967,0.369,,,,1.24001483434572,1.45501483434572,0.0599584331443234,0.452261869292736,0.0832618692927364,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2065,0.392427196990015,15824311.4446538,0.0440000000000049,0.369,,,,1.27250333401772,1.48750333401772,0.0613224642827693,0.453749661272784,0.0847496612727843,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2066,0.392534544996602,16520581.1482184,0.0439999999999896,0.369,,,,1.30509918169632,1.52009918169632,0.0626917113953833,0.455226256391985,0.0862262563919853,0.044,central_gdp,GDP PC model: 1.03% growth,pbo,PBO forecast through 2029-30
2025,,2776242,,0.363,0.288,0.516,0.015,0.288,0.516,0.015,,,0.0290697674418605,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2026,0.371,2956248.13236951,0.0648380553170473,0.363,0.31,0.534,0.016,0.31,0.534,0.016,0.387,0.024,0.0330182342733968,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2027,0.371,3085243.7260513,0.0436349006936696,0.367,0.333,0.554,0.018,0.333,0.554,0.018,0.389,0.022,0.0351787045177641,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2028,0.364,3171522.24394209,0.0279648953378522,0.364,0.353,0.575,0.02,0.353,0.575,0.02,0.384,0.02,0.0371106460410777,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2029,0.357,3312505.0653655,0.0444527298185282,0.358,0.363,0.583,0.021,0.363,0.583,0.021,0.378,0.0200000000000001,0.0381452301325028,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2030,0.349,3484753.42999711,0.0519994267880777,0.357,0.365,0.58,0.022,0.365,0.58,0.022,0.371,0.014,0.0396980915769086,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2031,0.357052130505201,3621451.71564813,0.0392275345722619,0.358714285714286,,,,0.372059021371588,0.587059021371588,0.0224987658405346,0.379550896345736,0.0208366106314499,0.0403126499230645,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2032,0.364374397721519,3763512.33802547,0.0392275345722553,0.360428571428571,,,,0.385080558609885,0.600080558609885,0.0231197558135226,0.387494153535042,0.0270655821064702,0.0409272082692204,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2033,0.370985042244708,3911145.6483785,0.0392275345722624,0.362142857142857,,,,0.40337461566802,0.61837461566802,0.0239874384452841,0.394972480689992,0.032829623547135,0.0415417666153763,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2034,0.377077981525362,4064570.24951742,0.0392275345722621,0.363857142857143,,,,0.426453747369814,0.641453747369814,0.0250844019994074,0.402162383524769,0.0383052406676265,0.0421563249615323,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2035,0.382666214725779,4224013.31950173,0.0392275345722566,0.365571428571429,,,,0.453851199592402,0.668851199592402,0.0263999388616334,0.409066153587412,0.043494725015984,0.0427708833076882,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2036,0.388314896289781,4389710.94802619,0.0392275345722646,0.367285714285714,,,,0.485671994308079,0.700671994308079,0.0279230521995007,0.416237948489282,0.0489522342035674,0.0433854416538441,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2037,0.390265023502763,4561908.48600211,0.0392275345722588,0.369,,,,0.518270294124489,0.733270294124489,0.0296658496084255,0.419930873111189,0.0509308731111886,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2038,0.392188264758701,4740860.90885223,0.0392275345722568,0.369,,,,0.552941537022185,0.767941537022185,0.0310460335856644,0.423234298344365,0.0542342983443654,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2039,0.394085149605521,4926833.19405653,0.0392275345722648,0.369,,,,0.589668886210088,0.804668886210088,0.0325139841900778,0.426599133795599,0.0575991337955988,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2040,0.395956192098571,5120100.71350814,0.0392275345722599,0.369,,,,0.628435941632545,0.843435941632545,0.034068988566413,0.430025180664984,0.061025180664984,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2041,0.397801891399135,5320949.64126074,0.0392275345722612,0.369,,,,0.669226727080872,0.884226727080872,0.0357103523504183,0.433512243749553,0.0645122437495533,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2042,0.399622732344299,5529677.37727053,0.0392275345722561,0.369,,,,0.712025677815616,0.927025677815616,0.0374373991231593,0.437060131467458,0.0680601314674583,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2043,0.401419185989843,5746592.98776084,0.0392275345722575,0.369,,,,0.756817628674831,0.971817628674831,0.0392494698869538,0.440668655876797,0.0716686558767968,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2044,0.40319171012765,5972017.66286096,0.0392275345722644,0.369,,,,0.803587802645177,1.01858780264518,0.0411459225618884,0.444337632689538,0.0753376326895384,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2045,0.40494074977905,6206285.19219699,0.0392275345722608,0.369,,,,0.852321799873882,1.06732179987388,0.0431261315019281,0.448066881280978,0.0790668812809781,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2046,0.406666737665453,6449742.45913918,0.0392275345722564,0.369,,,,0.903005587100842,1.11800558710084,0.0451894870296911,0.451856224695144,0.0828562246951441,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2047,0.408370094657468,6702749.95443726,0.0392275345722637,0.369,,,,0.955625487491334,1.17062548749133,0.0473353949890138,0.455705489646482,0.0867054896464818,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2048,0.410051230203754,6965682.31000415,0.0392275345722581,0.369,,,,1.01016817085091,1.22516817085091,0.0495632763144781,0.459614506518232,0.0906145065182321,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2049,0.411710542740614,7238928.85363922,0.0392275345722604,0.369,,,,1.06662064420489,1.28162064420489,0.0518725666171152,0.463583109357729,0.0945831093577292,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2050,0.413348420083394,7522894.18551149,0.039227534572261,0.369,,,,1.12497024272604,1.33997024272604,0.0542627157855525,0.467611135868946,0.0986111358689465,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2051,0.414965239800657,7817998.77725713,0.0392275345722644,0.369,,,,1.18520462099477,1.40020462099477,0.0567331876018976,0.471698427402555,0.102698427402555,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2052,0.416561369572026,8124679.59457785,0.0392275345722575,0.369,,,,1.24731174457698,1.46231174457698,0.0592834593717032,0.475844828943729,0.106844828943729,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2053,0.418137167530515,8443390.74426268,0.039227534572259,0.369,,,,1.31127988190561,1.52627988190561,0.0619130215673796,0.480050189097895,0.111050189097895,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2054,0.419692982590208,8774604.14659038,0.0392275345722641,0.369,,,,1.37709759645256,1.59209759645256,0.0646213774844674,0.484314360074675,0.115314360074675,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2055,0.421229154759987,9118810.23410862,0.0392275345722566,0.369,,,,1.44475373917847,1.65975373917847,0.0674080429102046,0.488637197670192,0.119637197670192,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2056,0.422746015443994,9476518.67782499,0.0392275345722597,0.369,,,,1.5142374412481,1.7292374412481,0.0702725458038514,0.493018561247846,0.124018561247846,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2057,0.424243887729599,9848259.14188405,0.0392275345722612,0.369,,,,1.58553810700044,1.80053810700044,0.0732144259882731,0.497458313717872,0.128458313717872,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2058,0.425723086663337,10234582.0678489,0.0392275345722619,0.369,,,,1.65864540716234,1.87364540716234,0.0762332348522954,0.501956321515632,0.132956321515632,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2059,0.427183919515557,10636059.4897481,0.0392275345722624,0.369,,,,1.73354927229569,1.94854927229569,0.0793285350633773,0.506512454578934,0.137512454578934,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2060,0.428626686034256,11053285.8810948,0.0392275345722593,0.369,,,,1.81023988646827,2.02523988646827,0.0824999002901696,0.511126586324426,0.142126586324426,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2061,0.430051678688615,11486879.0351325,0.0392275345722581,0.369,,,,1.88870768113917,2.10370768113917,0.0857469149345447,0.51579859362316,0.14679859362316,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2062,0.431459182902789,11937480.9796105,0.0392275345722577,0.369,,,,1.96894332924979,2.18394332924979,0.0890691738727093,0.520528356775498,0.151528356775498,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2063,0.432849477280387,12405758.9274439,0.0392275345722626,0.369,,,,2.05093773951233,2.26593773951233,0.0924662822050247,0.525315759485412,0.156315759485412,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2064,0.434222833820045,12892406.2646653,0.0392275345722577,0.369,,,,2.13468205088753,2.34968205088753,0.0959378550141853,0.53016068883423,0.16116068883423,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2065,0.435579518122578,13398143.5771321,0.0392275345722617,0.369,,,,2.22016762724418,2.43516762724418,0.0994835171314086,0.535063035253987,0.166063035253987,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2066,0.436919789590094,13923719.7175081,0.0392275345722561,0.369,,,,2.30738605219334,2.52238605219334,0.103102902910329,0.540022692500423,0.171022692500423,0.044,midpoint_gdp,GDP PC model: 0.56% growth,pbo,PBO forecast through 2029-30
2025,,2776242,,0.363,0.288,0.516,0.015,0.288,0.516,0.015,,,0.0290697674418605,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2026,0.371,2952684.23941336,0.0635543441145838,0.363,0.31,0.534,0.016,0.31,0.534,0.016,0.387,0.024,0.0329784292748708,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2027,0.371,3077791.40298699,0.0423706544383107,0.367,0.333,0.554,0.018,0.333,0.554,0.018,0.389,0.022,0.0351360894754487,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2028,0.364,3160019.54697027,0.026716607208493,0.364,0.353,0.575,0.02,0.353,0.575,0.02,0.384,0.02,0.0370655814876712,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2029,0.357,3296478.2855628,0.0431828780057268,0.358,0.363,0.583,0.021,0.363,0.583,0.021,0.378,0.0200000000000001,0.0380988529358613,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2030,0.349,3463671.84923888,0.050718842714153,0.357,0.365,0.58,0.022,0.365,0.58,0.022,0.371,0.014,0.0396497676495907,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2031,0.358285053966132,3583088.46749609,0.0344768856447677,0.358714285714286,,,,0.374984968848535,0.589984968848535,0.0225788641430341,0.380863918109166,0.0221496323948804,0.0402712294139349,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2032,0.36684024464338,3706622.19884502,0.0344768856447624,0.360428571428571,,,,0.392221204116728,0.607221204116728,0.0233220030971621,0.390162247740542,0.0297336763119707,0.0408926911782791,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2033,0.3746838126275,3834414.98852297,0.0344768856447713,0.362142857142857,,,,0.41605840845727,0.63105840845727,0.0243681364828116,0.399051949110312,0.0369090919674545,0.0415141529426233,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
2034,0.382009675369083,3966613.67559688,0.0344768856447728,0.363857142857143,,,,0.446048456100143,0.661048456100143,0.0257038454172656,0.407713520786349,0.0438563779292058,0.0421356147069674,pressure_gdp,GDP PC model: 0.10% growth,pbo,PBO forecast through 2029-30
