year,primary_fiscal_pp,model,model_label,path_type,standard_error_pp,lower_80_pp,upper_80_pp,lower_95_pp,upper_95_pp
2019,34.0792684143503,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0,34.0792684143503,34.0792684143503,34.0792684143503,34.0792684143503
2020,35.0930481601006,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.270134587309936,34.7468567568258,35.4392395633754,34.5635940979945,35.6225022222067
2021,34.729861993155,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,0.626193880384623,33.9273622454136,35.5323617408964,33.5025445402618,35.9571794460482
2022,33.5299356308699,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,1.06465662846513,32.1655232618929,34.8943479998468,31.4432469831764,35.6166242785634
2023,33.5175094780269,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,1.19162585178984,31.9903795021222,35.0446394539316,31.1819657254719,35.8530532305818
2024,35.3350659648415,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,1.19238898339242,33.8069579964368,36.8631739332461,32.99802650183,37.6721054278529
2025,36.7220588322163,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,1.32590275816275,35.0228460767329,38.4212715876996,34.1233371792149,39.3207804852176
2026,37.3126628042106,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,1.45232566412318,35.4514325756729,39.1738930327482,34.4661568087059,40.1591687997152
2027,38.1988793682404,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,1.63976864216162,36.0974312977472,40.3003274387336,34.9849918866255,41.4127668498553
2028,39.4076502627363,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,1.87296753606738,37.007345784675,41.8079547407977,35.7367013478315,43.0785991776411
2029,40.0991999149038,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,2.03531282036763,37.4908415835887,42.707558246219,36.1100600897106,44.088339740097
2030,40.5444880606221,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,2.17066738888636,37.7626658701181,43.326310251126,36.2900581559892,44.7989179652549
2031,41.2264087650491,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,2.33662268587294,38.2319063038816,44.2209112262166,36.6467124552789,45.8061050748193
2032,41.8353431405878,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,2.50326763473807,38.6272765843121,45.0434096968635,36.9290287328364,46.7416575483392
2033,42.3731152468137,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,2.67970257934007,38.9389382110666,45.8072922825609,37.1209947020281,47.6252357915993
2034,42.8591168287861,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,2.85504183676711,39.2002334931819,46.5180001643904,37.2633376543675,48.4548960032048
2035,43.2946478027346,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.02914500296543,39.4126422819227,47.1766533235466,37.3576326929729,49.2316629124963
2036,43.7362236130418,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.21626925668277,39.614408711927,47.8580385141566,37.4324517053602,50.0399955207235
2037,43.8079439882469,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.28151961758318,39.6025073849679,48.013380591526,37.3762837232223,50.2396042532716
2038,43.8769757677478,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.34663133380917,39.5880951426041,48.1658563928916,37.3176988839486,50.4362526515471
2039,43.9433719063368,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.41160527876313,39.5712238203177,48.3155199923559,37.2567484304943,50.6299953821792
2040,44.0071838095489,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.47644256324257,39.5519434000995,48.4624242189983,37.1934815912713,50.8208860278264
2041,44.0684613935121,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.54114449879263,39.5303021172647,48.6066206697594,37.1279457118264,51.0089770751978
2042,44.1272531419354,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.60571256596273,39.506346558122,48.7481597257488,37.060186374045,51.1943199098259
2043,44.1836061603968,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.67014838678232,39.480121749535,48.8870905712587,36.9902475043857,51.376964816408
2044,44.2375662280846,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.73445370087386,39.4516712412759,49.0234612148933,36.9181714724395,51.5569609837297
2045,44.2891778471315,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.79863034470551,39.4210371819489,49.157318512314,36.8439991809277,51.7343565133352
2046,44.3384842896788,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.86268023356345,39.3882603891573,49.2887081902002,36.7677701480996,51.9091984312579
2047,44.3855276427872,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.9266053458785,39.3533804145008,49.4176748710736,36.6895225833629,52.0815327022116
2048,44.4303488513228,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,3.99040770960019,39.3164356039234,49.5442620987222,36.6092934568755,52.2514042457702
2049,44.4729877589158,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,4.0540893903495,39.2774631538556,49.6685123639759,36.5271185637248,52.4188569541067
2050,44.5134831471007,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,4.11765248112049,39.2364991635521,49.7904671306493,36.4430325832526,52.5839337109489
2051,44.551872772734,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,4.18109909333449,39.1935786839741,49.9101668614939,36.3570691340053,52.7466764114627
2052,44.5881934037778,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,4.24443134907425,39.1487357635251,50.0276510440305,36.2692608247396,52.9071259828161
2053,44.6224808535338,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,4.30765137434898,39.1020034909165,50.1429582161511,36.1796393018553,53.0653224052123
2054,44.65477001341,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,4.37076129326355,39.0534140354063,50.2561259914136,36.0882352935917,53.2213047332282
2055,44.6850948842948,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,4.43376322297873,39.0029986846323,50.3671910839572,35.9950786512782,53.3751111173113
2056,44.7134886066026,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,4.49665926936399,38.9507878802285,50.4761893329767,35.900198387901,53.5267788253042
2057,44.73998348907,with_income,Structural-change model with real GDP per capita,FY2018-19 actual; deterministic structural changes thereafter,4.55945152326072,38.8968112514105,50.5831557267295,35.8036227142227,53.6763442639173
