year,primary_fiscal_pp,model,model_label,path_type,standard_error_pp,lower_80_pp,upper_80_pp,lower_95_pp,upper_95_pp
2025,36.4354044063882,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0,36.4354044063882,36.4354044063882,36.4354044063882,36.4354044063882
2026,37.0260083783825,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.131019346415561,36.858100329867,37.193916426898,36.76921517813,37.282801578635
2027,37.9122249424123,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.322486415712498,37.4989419714891,38.3255079133356,37.2801631821124,38.5442867027123
2028,39.1209958369083,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.562092652050012,38.4006451186925,39.8413465551241,38.0193144829157,40.2226771909009
2029,39.8125454890758,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.724364526214303,38.8842349964809,40.7408559816707,38.3928171060173,41.2322738721343
2030,40.257833634794,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,0.858013634676016,39.1582449180163,41.3574223515717,38.5761578125847,41.9395094570033
2031,40.9397543392211,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,1.02559760673152,39.6253981206955,42.2541105577467,38.9296199673968,42.9498887110453
2032,41.5486887147598,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,1.19464810623029,40.0176855639455,43.0796918655741,39.2072214523494,43.8901559771701
2033,42.0864608209857,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,1.37376239083174,40.325913478329,43.8470081636424,39.3939360116398,44.7789856303315
2034,42.5724624029581,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,1.55179920321345,40.583751704669,44.5611731012472,39.5309918534218,45.6139329524944
2035,43.0079933769066,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,1.72918424768749,40.7919545971676,45.2240321566456,39.6188545288051,46.3971322250081
2036,43.4495691872138,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,1.91889371592075,40.9904079414618,45.9087304329657,39.6886066138489,47.2105317605787
2037,43.5212895624189,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,1.98476010159339,40.9777171469914,46.0648619778464,39.6312312453438,47.411347879494
2038,43.5903213419198,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,2.05058961425232,40.9623850114852,46.2182576723544,39.5712395509134,47.6094031329262
2039,43.6567174805087,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,2.11636993986972,40.9444802707972,46.3689546902203,39.5087086204009,47.8047263406166
2040,43.7205293837208,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,2.18209087876652,40.924067401877,46.5169913655647,39.4437098503451,47.9973489170966
2041,43.781806967684,with_income,Structural-change model with real GDP per capita,Latest National Accounts actual; deterministic model changes thereafter,2.24774400506648,40.9012071190476,46.6624068163205,39.3763096712879,48.1873042640802
