year,primary_fiscal_pp,model,model_label,path_type,standard_error_pp,lower_80_pp,upper_80_pp,lower_95_pp,upper_95_pp
2026,37.1,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,37.1,37.1,37.1,37.1
2027,37.1,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,37.1,37.1,37.1,37.1
2028,36.4,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,36.4,36.4,36.4,36.4
2029,35.7,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,35.7,35.7,35.7,35.7
2030,34.9,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0,34.9,34.9,34.9,34.9
2031,35.5819207044271,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.173572845135203,35.359478153008,35.8043632558461,35.2417241792679,35.9221172295862
2032,36.1908550799658,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.350700505589364,35.7414142979904,36.6402958619411,35.5034947196506,36.8782154402809
2033,36.7286271861917,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.537522347677101,36.0397645800109,37.4174897923725,35.6751027438591,37.7821516285242
2034,37.2146287681641,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.721448516459141,36.2900552924361,38.1392022438921,35.8006156592043,38.6286418771239
2035,37.6501597421126,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,0.905094746854142,36.4902341523155,38.8100853319097,35.8762066356821,39.4241128485431
2036,38.0917355524198,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.09878724032035,36.6835830443868,39.4998880604527,35.9381521347197,40.2453189701198
2037,38.1634559276249,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.16647141987684,36.6685626533187,39.6583492019311,35.877213955671,40.4496978995788
2038,38.2324877071258,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.2341617588851,36.6508457728913,39.8141296413603,35.8135751086144,40.6514003056372
2039,38.2988838457147,with_income,Structural-change model with real GDP per capita,PBO through 2029-30; deterministic model changes thereafter,1.3018267524052,36.630525733102,39.9672419583274,35.7473502968898,40.8504173945396
